k1 k2 k3 k4 k5
6.207809264615668510e-02 -7.955364459419439482e-03 1.954075535154892185e-03 -4.957567764357628803e-05 5.845403851005848139e-04
6.283461552323998944e-02 -7.091266504714408003e-03 2.255484729934115196e-03 2.994049622951633349e-04 -5.879654391315325412e-04
6.219314508670351072e-02 -7.893855041636421710e-03 1.527523645099698735e-03 7.581126519003167363e-05 -2.149011420138485784e-04
6.306968796476916661e-02 -7.464485196786135868e-03 1.535592282593450930e-03 -5.220643307778244369e-04 -1.431794627525795338e-04
6.312514560707352396e-02 -6.902339224711936949e-03 1.818439524032072763e-03 2.689832064991098948e-04 9.027280602257742315e-04
6.436719144048574925e-02 -7.868906071665113244e-03 1.136334773432473577e-03 1.173222852355049195e-04 6.699969539564476495e-04
6.410631756706580697e-02 -7.285731543200196780e-03 1.223564703837137779e-03 -5.612513730832990877e-04 3.264575204622033322e-04
6.319885719066883900e-02 -7.164901821462427156e-03 2.605806104455085648e-03 -1.057936918002919113e-03 8.169973183753398427e-04
6.361115657235241749e-02 -7.389304008240948907e-03 6.671339146136212594e-04 -4.408107170170011413e-04 1.308389028930975750e-03
6.343374173016066986e-02 -7.836610401473445564e-03 1.711773408981251410e-03 -9.168566780629189283e-04 -1.208892654989968118e-04
6.364895346950558142e-02 -7.194512873732503144e-03 1.393752347077809040e-03 -9.850716527945446721e-05 7.208625997271872476e-04
6.410759255532180734e-02 -6.928080982626344531e-03 4.783659493132474960e-04 -2.569559445998376157e-03 -5.677082484037559995e-04
6.266635751175034241e-02 -7.668304715175211506e-03 1.309779667332505726e-03 -4.402828806439745835e-04 4.891598967364518824e-04
6.264355465247420374e-02 -8.358652845673053555e-03 9.568699467729785413e-04 8.205775634566314647e-05 9.040560724026952544e-04
6.345662538166335631e-02 -6.879861295062100757e-03 1.477272348229405341e-03 5.823815752779709642e-04 -5.466193403216856872e-05
6.369103203864442952e-02 -6.400867168981791422e-03 1.902388818667818948e-03 7.700556520438828212e-04 -3.735216194578339088e-04
6.289131499399555625e-02 -7.879892364220916767e-03 1.514305408675670206e-03 1.515431822338986212e-04 7.624117107447314634e-04
6.153900212473206732e-02 -7.640933579629902161e-03 2.306739997030751721e-03 -1.112840775057813425e-03 -2.097569888057926324e-04
6.284222754424326207e-02 -7.698723842540444728e-03 1.644583969778429244e-03 3.574958703783936986e-04 4.118849452776907061e-04
6.329651717602297056e-02 -7.675086344897205648e-03 1.212254961952735632e-03 -1.777391412086937184e-04 3.402284010272510484e-04
6.344142539879313314e-02 -6.924658814674439222e-03 1.609731643673215085e-03 -7.531603054863750257e-04 -2.230361984383033569e-04
6.307481161149802729e-02 -7.862980206352912504e-03 1.831818582194430500e-03 -1.148117276828689026e-03 -1.742847076216386126e-04
6.273488447808947543e-02 -6.878519445041225699e-03 1.754931606221865614e-03 4.835885196616401815e-04 7.374437540309114469e-04
6.345249038713204892e-02 -7.725288575893787812e-03 2.457235284702430356e-03 2.799912140951932304e-04 -2.608403607318177109e-04
6.339506301243677533e-02 -8.871999369836569560e-03 1.480132507848994083e-03 -3.046068617850589133e-04 -4.947615653454195961e-05
6.223608998320490082e-02 -6.847720910792581828e-03 1.562551738152700986e-03 -8.851153714767301395e-05 8.443858085578626049e-05
6.327082894610128183e-02 -7.439965208211260506e-03 2.014232474266908213e-03 -9.361819179674879532e-05 -1.363520916124932869e-03
6.363322225192277748e-02 -7.840542126834715297e-03 1.535628211995238024e-03 -1.214393562544879845e-03 -8.927032379135863005e-04
6.330510785332660317e-02 -7.848933279997985513e-03 1.160967220908776243e-03 4.971353842498915654e-04 3.217306213584847363e-05
6.323979197891574366e-02 -6.923829665805597555e-03 1.492541926152418652e-03 -5.027648619603947155e-04 6.837513691343860556e-04
6.318115598061688210e-02 -7.493568624914986875e-03 1.126992226715500811e-03 -7.049092247654459298e-04 -3.911719462290907945e-04
6.359217293859423248e-02 -7.498281734061570947e-03 1.452868313364913400e-03 1.633742422630923841e-04 -1.145072754702158857e-04
6.458689825771155024e-02 -7.762832063374650038e-03 1.770816572257277732e-03 -8.603919830843520522e-04 2.964148130467220144e-04
6.365324287698323480e-02 -7.991304231827839333e-03 4.574464378835907397e-04 -7.703961931202762958e-04 1.937376949097124879e-04
6.239962777683094597e-02 -8.247341791117218657e-03 8.765923415178511480e-04 -5.282540328921531136e-04 -4.486558546938357317e-04
6.313688435377481922e-02 -7.467098354332207810e-03 1.162472300400646530e-03 -1.467724538800618816e-04 -2.055012498250186059e-04
6.355014428017255468e-02 -6.902747463207015155e-03 -4.670735047141855167e-04 -9.026501298459027600e-04 -4.109300052423242589e-04
6.377066668769851288e-02 -7.225553939795376079e-03 1.821866502082741812e-03 -6.004873659277709663e-04 7.931343495681808520e-05
6.284537178477789254e-02 -9.520979639413756912e-03 1.068995519969195840e-03 -9.966763261443356559e-04 -2.606132018102835790e-04
6.280369801529595009e-02 -7.711039444886838568e-03 1.394144561706320284e-03 -1.057232880100969497e-03 2.803976108471661899e-04
6.309646097633966888e-02 -7.443267701773642608e-03 2.409440051614988865e-03 -2.423310952849588862e-04 2.699659119355102277e-04
6.296560605596479565e-02 -7.135247202320685322e-03 1.188628510532183102e-03 -6.246757563656557544e-04 4.254403266677198037e-04
6.281889052326936063e-02 -7.841887956281129446e-03 5.011450675237033581e-04 -4.696662519100142097e-04 1.957533843587322409e-04
