k1 k2 k3
6.282509795475144099e-02 -1.339407645749464415e-02 7.385698953015634727e-04
6.219199642461475941e-02 -1.102854162021953133e-02 2.217028746496804703e-03
6.318649289126407331e-02 -1.265351855740264042e-02 3.954815383235193993e-03
6.547937952640497938e-02 -9.591465958182193718e-03 1.225037850554791530e-03
6.446962701263678208e-02 -1.161944627052691192e-02 1.035601181028772411e-03
6.167649913518311044e-02 -1.114450964742089156e-02 4.064659526709979431e-03
6.452244990495209498e-02 -1.218302511861400761e-02 8.995169108072520459e-04
6.598189859246100797e-02 -1.088538501748663456e-02 2.408637130646318347e-03
6.327328803514334354e-02 -1.136410758838865553e-02 6.063697967733455707e-03
6.402850338781751471e-02 -1.200011120587751723e-02 2.215639831089605272e-03
6.486412314639297683e-02 -9.857640799020211952e-03 3.121851627671173857e-03
6.421278866299651167e-02 -1.232197618171207432e-02 1.453011065091019960e-03
6.495504368640855897e-02 -9.876859001364757251e-03 1.089177518660028321e-03
6.510141487906348501e-02 -1.080195584764886974e-02 1.994990045577099691e-03
6.474277383220347626e-02 -1.044601022318168704e-02 3.063554562109910284e-03
6.376806659620912199e-02 -1.079071866615963216e-02 1.436964724028627627e-03
6.326815040930583445e-02 -1.103359721352728529e-02 2.723507593269336446e-03
6.396807923146016761e-02 -9.776340186865004056e-03 1.948264335989227658e-03
6.368538333505049942e-02 -9.283309791461968885e-03 1.038733226027405143e-03
6.427216503058327812e-02 -1.075144570779493214e-02 2.591565852787747204e-03
6.341876874228152827e-02 -1.133813951560058708e-02 1.407368247912363368e-03
6.396569392347453697e-02 -1.028513340011263932e-02 2.936542721558896285e-03
6.410846078641699308e-02 -1.163023865567955339e-02 2.179128976370292570e-03
6.366045848435772370e-02 -1.113437567680733431e-02 2.791093546195624886e-03
6.287676889598328711e-02 -9.837772214461276699e-03 4.163308010498356637e-03
6.429622679681892827e-02 -1.036920530909248017e-02 3.298673351387809705e-03
6.369014987980217701e-02 -1.049042608385578057e-02 1.024694505843970482e-03
6.101314117783870894e-02 -1.099973236847739955e-02 2.369789981457176564e-04
6.434807816222828936e-02 -1.113277296804601746e-02 3.218048514159452256e-03
6.378421471035186641e-02 -1.108687633243926607e-02 2.867315897787062196e-03
6.308167256362484654e-02 -1.026267577006162446e-02 3.363644032727639011e-03
6.238839920289285246e-02 -1.337804375589382588e-02 2.211789812671186017e-03
6.377875086346571076e-02 -1.074003727070653447e-02 2.686225210520837292e-03
6.314683876589935463e-02 -1.024977537755958346e-02 2.748154320608112156e-03
6.291434892619443553e-02 -1.177272893997585723e-02 3.859419666991104059e-03
6.375036940267761465e-02 -1.125809347788581105e-02 1.076359004379939810e-03
6.351729282639465013e-02 -1.168612178881267560e-02 3.792887293537480775e-03
6.178229467682219700e-02 -1.027155199370519134e-02 3.766345151493877275e-03
6.470317648910109409e-02 -1.072125802884278667e-02 5.989261368695569798e-04
6.244115470885466812e-02 -1.055222294721348819e-02 4.133356622245037970e-03
6.295387043877287425e-02 -1.145257889205208990e-02 3.206248254618085380e-03
6.441775277080319384e-02 -8.628778815349041897e-03 3.721296336281959549e-03
6.549883107496076717e-02 -8.035715105164514815e-03 2.855961294586026322e-03
6.359604476460886668e-02 -8.801497221687298866e-03 2.533178460291440892e-03
6.304499974335475709e-02 -9.605304394850897043e-03 3.821912613356209798e-03
6.349035481489573307e-02 -1.168113740543703927e-02 1.615652675401049732e-03
6.464877495987284006e-02 -1.169559827838244359e-02 1.072830575545899445e-03
6.343021690537525847e-02 -1.019888388451535566e-02 2.705188916124451337e-03
6.166198179865095552e-02 -1.192625559995182105e-02 3.233876867928017762e-03
6.306908642544403754e-02 -1.083851240166142094e-02 2.287969693541475058e-03
6.339209554422087223e-02 -8.654710272374799285e-03 2.066265918056850448e-03
6.352121411300507003e-02 -1.171529170328428071e-02 2.275287985155888260e-03
6.315723676929071995e-02 -1.093773529795276367e-02 1.954722332946065566e-03
6.296658374723954066e-02 -1.185359602610920604e-02 4.060933466301513972e-03
6.334255595129703598e-02 -1.079424227406805548e-02 3.583151843548779136e-03
6.279442923118558340e-02 -1.103590171696586242e-02 1.487407592985601212e-03
6.408283730052471983e-02 -9.849993147529684245e-03 3.790978094754399175e-03
6.430100618836517845e-02 -1.207703220450209725e-02 8.226435048035718456e-04
6.420452028427983682e-02 -1.181982672382797528e-02 2.218910711438787375e-03
6.390516629712694741e-02 -9.434152300215575826e-03 2.201833309416229012e-03
6.388136329170096550e-02 -1.287246530676212919e-02 2.936235043762794317e-03
6.410177089082477742e-02 -1.004430195383712587e-02 2.456595281848189538e-03
6.148787003905825665e-02 -9.902642870907113481e-03 3.271738887752853597e-03
6.375114321775096626e-02 -1.082032345555268560e-02 4.839432051514533373e-03
6.333163205647315830e-02 -1.166630148242622789e-02 3.008308342075355357e-03
6.523172024930654067e-02 -1.035641117167059033e-02 4.364831525995455097e-04
6.427905776786985159e-02 -8.508581509364468443e-03 2.376882158100876441e-03
6.369014987980217701e-02 -1.049042608385578057e-02 1.024694505843970482e-03
6.530443190165960421e-02 -1.075699826129002112e-02 2.965473571700447120e-03
6.434807816222828936e-02 -1.113277296804601746e-02 3.218048514159452256e-03
6.140955818872612104e-02 -1.000963180313213519e-02 5.783315112977555073e-03
6.411054410174998885e-02 -1.034292449081081200e-02 2.555621758863632631e-03
6.489697291195598017e-02 -9.467942917672056424e-03 3.772351749987398750e-03
6.436197560690190556e-02 -1.128144653552883014e-02 2.940601624053365559e-03
6.254114877693892072e-02 -1.155322360039047480e-02 3.227702354769518278e-03
6.445976271309916683e-02 -1.185542237508159513e-02 3.246653427446857809e-03
6.415795252414022154e-02 -9.590639104811837790e-03 3.257374705541840609e-03
6.337519772083285985e-02 -1.066200456134898389e-02 3.739190355501270657e-03
6.415287819310314110e-02 -1.105678124640738225e-02 2.073398135135601228e-03
6.514197756962075703e-02 -1.111417154456936784e-02 2.141889719310396956e-03
6.497449534984334196e-02 -9.874434281753691200e-03 2.308131605382124363e-03
6.368696516979030497e-02 -1.071926432445427513e-02 1.313205463112115945e-03
6.241702597189333068e-02 -1.121115807702478817e-02 1.340978544704565789e-03
6.402935615683266746e-02 -1.263893453862045824e-02 3.533851209768484880e-03
6.390968928466653209e-02 -1.038983834306153597e-02 2.131497861687162154e-03
6.365949210462934493e-02 -8.361806603787616532e-03 3.952612878641764693e-03
6.173633046344417785e-02 -1.098732462204315974e-02 3.112833666316719428e-03
6.318649289126407331e-02 -1.265351855740264042e-02 3.954815383235193993e-03
6.415919357631938436e-02 -1.183941060248634713e-02 3.988853293405300593e-03
6.351128585087514877e-02 -1.058068292553632217e-02 3.117224675105195741e-03
6.297431780619083819e-02 -1.266197051238074356e-02 2.382146752424346703e-03
6.340480301704817800e-02 -9.290564747723495387e-03 1.835567676629651368e-03
6.423555673348244066e-02 -1.134468437463378998e-02 1.433596203852346984e-03
6.375535665299933430e-02 -1.113438459409026027e-02 2.429762213511127422e-03
6.216267689015034237e-02 -1.384376634601622302e-02 1.693014729206299140e-04
6.486412314639297683e-02 -9.857640799020211952e-03 3.121851627671173857e-03
6.327072589616214437e-02 -1.101208543973221377e-02 3.099139938652031856e-03
6.401026491354233627e-02 -1.148449828902593783e-02 3.270294863648381956e-03
6.492097207324076802e-02 -1.116127154460502813e-02 2.345165895777975851e-03
6.467852928466832907e-02 -1.059044528373490057e-02 2.434870932765315077e-03
6.465618880903592491e-02 -9.849665868927576229e-03 3.008941137315729319e-03
6.242615324816808142e-02 -1.155727259751856972e-02 4.142591507233922554e-04
6.142523113147685399e-02 -1.055633176300929676e-02 7.670198711421660764e-04
6.232709763415111848e-02 -1.113521760164279395e-02 2.349139132090297122e-03
6.362498725566148594e-02 -1.009095207946701656e-02 4.579110464838748173e-03
6.428806469823244996e-02 -1.059373452895200074e-02 3.728653662911085576e-03
6.510141487906348501e-02 -1.080195584764886974e-02 1.994990045577099691e-03
6.408249349059816358e-02 -9.063765910512472379e-03 4.065887301627352235e-03
6.263990300242747167e-02 -1.026517932824058676e-02 2.570881696520685433e-03
6.351010355748551439e-02 -1.236941560313660482e-02 -2.490045254150835552e-04
6.411015975368636322e-02 -1.074872580966437785e-02 7.725861211768936254e-04
6.423357235740195792e-02 -1.209327822338633618e-02 2.562658918976862266e-03
6.543722934649651157e-02 -9.362086308566552884e-03 3.238604539409967176e-03
6.327837708166253461e-02 -9.705040539179005110e-03 2.652816224203546902e-03
6.403532813002177360e-02 -1.104222696757202471e-02 2.244200691997016994e-03
6.384827828339045830e-02 -1.193482335666266880e-02 3.572082072873364322e-03
6.467835490255918751e-02 -1.015880496737582572e-02 2.288380136067538762e-03
6.322269061391722067e-02 -8.896018108915174083e-03 4.058445781723624135e-03
6.326144612172218684e-02 -9.531905462200424006e-03 1.191797976714620289e-03
6.581704158229229051e-02 -8.904470520446045034e-03 3.005146163289063033e-03
6.316487306055901252e-02 -9.829272009423711820e-03 3.409248072401546703e-03
6.203441702326872864e-02 -1.109418415902477251e-02 1.656717901259319170e-03
6.294771432555992807e-02 -1.116053043811178480e-02 1.204690552014470173e-03
6.414987073293740294e-02 -9.818294784094988570e-03 3.453262236410153951e-03
6.472757721701119515e-02 -1.033826613494716329e-02 4.094999003195903819e-03
6.397079359893445560e-02 -1.301900752244733450e-02 1.573519902197714759e-03
6.722775184845536378e-02 -1.068358187427823069e-02 1.255662441283306174e-03
6.457003124880256184e-02 -1.232648095178258407e-02 2.526264055865395930e-03
6.296290960944592174e-02 -1.049255358408776595e-02 1.774528232719646548e-03
6.272695257971908078e-02 -9.855999994310082890e-03 4.179126119495821245e-03
6.393442980260327646e-02 -1.078770871553208499e-02 2.399608783409903912e-03
6.428806469823244996e-02 -1.059373452895200074e-02 3.728653662911085576e-03
6.174195599503914944e-02 -1.167206164748249564e-02 2.363596522518537912e-03
6.464877495987284006e-02 -1.169559827838244359e-02 1.072830575545899445e-03
6.260129712582124251e-02 -1.136307949072876133e-02 3.226172790074394170e-03
6.217251132065823582e-02 -1.226649642990250422e-02 2.839710601783479449e-03
6.378763882260007900e-02 -1.163302108176064720e-02 2.731583513507912508e-03
6.296658374723954066e-02 -1.185359602610920604e-02 4.060933466301513972e-03
6.331766752824444233e-02 -1.263204241895080071e-02 3.765518097415987420e-03
6.304761585921619949e-02 -1.000126479454316319e-02 2.120281916457272819e-03
6.508268892617069534e-02 -1.257215306108537545e-02 5.761939816048278207e-04
6.306070283780579322e-02 -1.377149947200385915e-02 1.807041985969010112e-03
6.348686967794286984e-02 -9.455920858596339462e-03 3.009015391151587115e-03
6.246809657648208503e-02 -1.188094458399557851e-02 1.574831765146209039e-03
6.403676619190981634e-02 -9.563697725588640730e-03 1.576780492427043434e-03
6.384375946951495462e-02 -1.013352325480612603e-02 3.248473767588105909e-03
6.467852928466832907e-02 -1.059044528373490057e-02 2.434870932765315077e-03
6.453682652225328775e-02 -1.178412077257715018e-02 3.098848688620398084e-03
6.353080704282429436e-02 -1.011941892055299996e-02 3.050198576598980860e-03
6.418632333719676009e-02 -1.093581323085117407e-02 1.374760480708697719e-03
6.360382690634891478e-02 -1.296793396307793778e-02 2.880354696558895533e-03
6.225568916370655126e-02 -1.011360140754143100e-02 4.032475895241208197e-03
6.570343843507303605e-02 -1.113509816459869184e-02 1.319070330368446453e-03
6.353248763188221182e-02 -1.238771428010905507e-02 3.186455664791615350e-03
6.282509795475144099e-02 -1.339407645749464415e-02 7.385698953015634727e-04
6.441388057156352542e-02 -1.175451717833513043e-02 1.881137867508514416e-03
6.313151173512987491e-02 -1.106599228834954929e-02 2.385409400144200553e-03
6.513485111369313185e-02 -1.180792307503752969e-02 2.759957307978483376e-03
6.434929984624404575e-02 -1.064367517862527257e-02 2.809788309802163653e-04
6.244295549861350603e-02 -1.016555363068141760e-02 2.761248494029852618e-03
6.098807247047063895e-02 -1.200344710536410675e-02 2.819917003703015235e-03
6.452890474219616368e-02 -1.083924281514395127e-02 1.322336811971386306e-03
6.420298431236753922e-02 -1.227580011080467437e-02 7.228055612262113128e-04
6.406511347040119708e-02 -7.927947377940253171e-03 1.629087638268827964e-03
6.386805318777127871e-02 -1.105619156832757244e-02 1.311715260431570163e-03
6.371525826726340269e-02 -1.125537135671433875e-02 2.904706824004149590e-03
6.446616967578408519e-02 -1.014349193423483286e-02 1.685294575363413538e-03
6.519697439251512239e-02 -9.778051767659251547e-03 3.142033505740160493e-03
6.244662855161906001e-02 -1.182065575540615365e-02 2.745037972547478833e-03
6.359258960609873168e-02 -9.916954572224037645e-03 2.975014646412213470e-03
6.257192347125878351e-02 -1.077964273483808522e-02 2.298921714505700042e-03
6.359971868630068248e-02 -1.086012874842087750e-02 4.523603589080549270e-04
6.284182345303138129e-02 -1.040912440727181920e-02 3.623738801211334737e-03
6.273104452956956845e-02 -1.251093090086055626e-02 4.327699066739132405e-03
6.421063450736433365e-02 -1.029823711487234950e-02 8.212600713460443957e-04
6.509203079857658891e-02 -9.775221951734150427e-03 2.090775538287875657e-03
6.372096773026914018e-02 -1.164626625107137436e-02 1.494481055525478941e-03
6.525157414515245224e-02 -9.690878293784135900e-03 2.345216076302975017e-03
6.249398440188752568e-02 -1.185989217992892975e-02 7.657877230255599743e-04
6.506501768056968671e-02 -9.300636983124846435e-03 2.683070438422793802e-03
6.394354192917658941e-02 -9.849530406371959090e-03 1.595694372537009853e-03
6.262929461236957374e-02 -1.077110313241405604e-02 2.515184938543163495e-03
6.533400032293223969e-02 -8.500976569036061692e-03 3.309465657113833115e-03
6.341450564729164685e-02 -1.228218969913988379e-02 2.315805591317054990e-03
6.405443385464584805e-02 -1.133178728735995122e-02 2.059565657878792422e-03
6.380040012477258826e-02 -9.211541483433158262e-03 2.414375843360974661e-03
6.563256716639653821e-02 -1.035763214740872962e-02 2.263146022871947993e-03
6.297665789932296865e-02 -1.139059395808440789e-02 2.309807786311582345e-03
6.386335251525573908e-02 -1.017592834552134839e-02 4.314767629729182596e-03
6.341227714809125060e-02 -1.042240351670176146e-02 1.843432084770141310e-03
6.291384575111177990e-02 -1.224858754079155565e-02 2.381981368960367496e-03
6.453173800084882616e-02 -1.060167096043450330e-02 2.499158374237309133e-04
6.374225348380163636e-02 -1.039394636061428956e-02 2.301560201941013628e-03
6.484256740732247115e-02 -8.900501626073059613e-03 3.718206883138591712e-03
6.582973606810885170e-02 -1.082302907679426329e-02 4.384258297117485381e-03
6.433406162573981901e-02 -1.018581807909123282e-02 1.028783816676856477e-03
6.315507115129653792e-02 -1.170299101022728716e-02 1.703760839813633909e-03
6.373084311244173183e-02 -1.241723529157585937e-02 2.711879547891718478e-03
6.467536982137461754e-02 -1.037719038202834787e-02 3.482951712639320574e-03
6.363936719723167768e-02 -1.153210133824167372e-02 3.284426174946702970e-03
6.349455599802353301e-02 -8.097344161335978674e-03 3.457521307512687048e-03
6.304761585921619949e-02 -1.000126479454316319e-02 2.120281916457272819e-03
6.483341201790329689e-02 -1.246584238537205847e-02 3.178589905888179468e-03
6.412184979638294036e-02 -1.134085937238993314e-02 1.225156937766008758e-03
6.273775100968259633e-02 -9.934383947477989918e-03 3.293793689909965683e-03
6.182270038016193792e-02 -1.063439841554811305e-02 2.177946683450837639e-03
6.261445966432166443e-02 -1.070934689997372902e-02 2.599249419353036328e-03
6.233940213486785509e-02 -1.069460171260452896e-02 2.311379926371009974e-03
6.492097207324076802e-02 -1.116127154460502813e-02 2.345165895777975851e-03
6.091428900871959096e-02 -1.187282088975330496e-02 2.460092402509633791e-03
6.242615324816808142e-02 -1.155727259751856972e-02 4.142591507233922554e-04
6.321019376414982460e-02 -1.209497982795994242e-02 4.894050193644944313e-04
6.426556433128660650e-02 -1.102582451153855114e-02 1.332999064203505002e-03
6.451310530860340786e-02 -9.951403919254253605e-03 3.072626674016157300e-03
6.341461403197407032e-02 -1.032413664696081590e-02 2.356287812738375176e-03
6.438816082230516824e-02 -9.416519015884472488e-03 1.477162600806214421e-03
6.502782319067940131e-02 -1.191404326145553694e-02 1.863050958776882315e-03
6.416976638929683396e-02 -1.007583086157100294e-02 3.624046070833775168e-03
6.351729282639465013e-02 -1.168612178881267560e-02 3.792887293537480775e-03
6.364034092745579629e-02 -7.670120237191907497e-03 3.151271849525322244e-03
6.246673290953938529e-02 -1.003104988942805920e-02 2.119190697942904822e-03
6.390502509522297259e-02 -1.047301836410557963e-02 2.194446247186079835e-03
6.437689325094658743e-02 -1.087452136391216240e-02 1.012378658972218348e-03
6.327837708166253461e-02 -9.705040539179005110e-03 2.652816224203546902e-03
6.256993416637063321e-02 -1.170725324743010498e-02 3.491902826844348051e-03
6.268210487576389434e-02 -1.274849660424079434e-02 1.690308754246958034e-03
6.249699967536576084e-02 -1.121537188362956017e-02 3.276103911456343387e-03
6.433778414101440357e-02 -9.992822926176689324e-03 3.182362289566920133e-03
6.230646644863899186e-02 -9.752957331603973046e-03 2.510067789993256082e-03
6.541766031324805497e-02 -1.146793866337034173e-02 1.958467826370352549e-03
6.396458050056413880e-02 -9.740100080382133041e-03 2.362393454903854995e-03
6.437134091192642238e-02 -1.242018697792654502e-02 1.793382658602654667e-03
6.421063450736433365e-02 -1.029823711487234950e-02 8.212600713460443957e-04
6.365225636908020124e-02 -9.697004017267377152e-03 3.169388542358639316e-03
6.297431780619083819e-02 -1.266197051238074356e-02 2.382146752424346703e-03
6.174248854692393484e-02 -1.111104460487985501e-02 2.539683782760079889e-03
6.445976271309916683e-02 -1.185542237508159513e-02 3.246653427446857809e-03
6.308700205332604116e-02 -1.045925640503517218e-02 3.608328848697939240e-04
6.497449534984334196e-02 -9.874434281753691200e-03 2.308131605382124363e-03
6.323725679930866650e-02 -1.189501672054700532e-02 1.428016362467060540e-03
6.358402088392681173e-02 -1.346106909685322595e-02 2.986348280316658554e-03
6.542466547931813370e-02 -1.213331989598143146e-02 3.658848829556221594e-03
6.202059649548399833e-02 -1.173879505486703778e-02 4.194996697527694773e-03
6.210296256916833513e-02 -9.248371353519094229e-03 3.959098236012120742e-03
6.342568219191657697e-02 -1.155687846531380791e-02 2.206185029498680672e-03
6.316110893747392541e-02 -1.056790341680563516e-02 2.953891040855943784e-03
6.294380826978435151e-02 -1.064616667290993468e-02 3.592042358196240182e-03
6.319264035832095061e-02 -1.208811143374827202e-02 2.694028833041400839e-03
6.401981690225880262e-02 -9.591727737126437559e-03 2.709153385055285135e-03
6.479334374176906608e-02 -1.072838677711122901e-02 4.778996596499898719e-03
6.321039403270614643e-02 -1.047038173508235692e-02 8.784542594133526450e-04
6.296658374723954066e-02 -1.185359602610920604e-02 4.060933466301513972e-03
6.518098525305554558e-02 -1.075757869382940046e-02 1.558108056124815621e-03
6.389925105598368016e-02 -9.867995738831264463e-03 2.372629814385240898e-03
6.449940854940558466e-02 -1.096167161661724954e-02 3.621915735799730029e-03
6.484060111279335570e-02 -1.020128861383917673e-02 2.460284536089735186e-03
6.387308207747141586e-02 -9.996507825191361385e-03 2.577243243098228942e-03
6.251588006784941642e-02 -1.023761499422895516e-02 2.404339821708706415e-03
6.374417807088372800e-02 -1.026669566707949510e-02 1.154404231363662103e-03
6.464877495987284006e-02 -1.169559827838244359e-02 1.072830575545899445e-03
6.378864830467140257e-02 -1.115569923748307990e-02 1.340063336734309551e-03
6.456134109600580873e-02 -9.374757339374414911e-03 4.938135804272159035e-04
