,theta0,theta1,theta2,theta3,theta4,theta5,theta6
0,1.0822667445316745,-1.4583436711888715,-1.0463388400566604,-3.0744538835938555,1.6633855516985532,-0.47236633649451315,2.614963485360514
1,0.06248305945864343,-2.7888116969863765,-1.8505265277795468,2.8646592789743113,0.9787301692674151,-1.0234009883422823,1.4695889629844845
2,-1.6433218230523527,1.6504708917603361,2.9720643410059293,1.108106647156745,-0.9437861621743332,-2.498445216465017,0.35380887149010337
3,1.0099650566741394,-1.8600315117530488,-1.1256468356696925,-2.918765087489731,1.3625735424997223,-0.24489955172192673,2.61886830761199
4,-1.6541769142435225,1.8460435949601395,2.673894777557786,0.7049396076650587,-1.015152341830359,-3.137764042630347,-0.21286701454160906
5,-0.7334809835266394,2.338710433120214,-2.40003318057045,2.1608016422612977,0.033349566334408415,-2.1220542141911976,0.6600069355162239
6,-1.5813850550733473,1.8337690148814856,2.7490047597143805,1.5918675659481971,-0.6831471806644656,-2.1378071361727207,0.12705262365585746
7,-2.0884913835382806,1.135385583890372,2.8344877030386093,1.022069194606868,-1.1123440777561628,-2.725417711578417,0.1079889983751384
8,2.932026549761287,0.5541070561526447,1.4292487787900938,-0.3867143289138164,-1.8815380281131042,2.5162916288631294,-1.3720022923992707
9,2.8500330432660577,0.5949421457454759,1.021785174351449,-1.1090879592525975,-2.148603975279564,1.583207439920225,-1.8247914285260431
10,2.450125582044806,-0.013154061173947577,0.709118868685178,-0.993673281580331,-2.4578654027072147,1.693740149022058,-2.2169447193230316
11,2.6566902643544323,-0.21350075745222427,0.8640440736608854,-0.8263302191539842,-2.898708181167881,1.8760052666406482,-1.6929755547227547
12,2.8076760571396404,0.20392657867549324,1.369308797225836,-0.8702363559180943,-2.2379341907597627,1.544436733147661,-1.8559894132267807
13,-0.9245327812122986,2.543203356643767,-2.3980184525614376,1.9116259930607362,0.12297364864825666,-1.8431529004572471,0.9440637954532825
14,-1.9716905313246602,1.6353855204799714,2.9687571736036484,0.6679078825670981,-0.8078205714388859,-3.078658914393115,-0.08294361418266394
15,-1.2933434250298714,2.4555352094954284,2.946080991430183,1.2917514929264444,-0.5283159082100989,-2.0368675240337115,0.6066245304634024
16,-1.9502081929184605,1.4034225098936812,2.1584888006245766,0.6399806503478761,-1.5928980255068756,-2.8711879058401375,-0.22147412846462206
17,1.784349917265601,-1.257400491123672,-0.17871521637254342,-2.049842890234129,2.134770207436124,0.34854302188165864,-2.9935950057758562
18,2.789236882256074,0.36987712012239515,0.843425204096341,-1.2100773193365406,-2.5409672493387596,1.3756012662469104,-1.9368597653796027
19,2.0353362072188466,-0.6927898286198607,0.1262921407898531,-1.4044339564235486,2.9471757789151325,1.1593962622897873,-2.612372017784171
