,sweep,permcount,dH,pdeconfined,pconfined,action,wilson,acceptance,nmat,ndec,ntime,ntau,udtau,adtau,temperature,pdec,pdec_var,pcon,pcoeff,utau,atau,mdtu,freq
0,10.0,0.0,0.03603927764925174,0.202092095307082,0.0,35.8348799245754,0.04211241693333519,0.7,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,10.0,
1,20.0,0.0,-0.04407913208706304,0.195427928515986,0.0,35.8131472510107,0.05056601659842207,0.85,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,20.0,10.0
2,30.0,0.0,-0.153358457930153,0.195058565722263,0.0,36.1923250121103,0.02616552054380086,0.866666666666667,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,30.0,10.0
3,40.0,0.0,0.101464724881225,0.202955722430772,0.0,35.7779452840154,0.02413556216986047,0.875,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,40.0,10.0
4,50.0,0.0,0.153275802993448,0.201256452883696,0.0,35.5795040827934,0.03777942360830232,0.88,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,50.0,10.0
5,60.0,0.0,0.572356476433924,0.197811891277067,0.0,36.0481519352371,0.03072860150605553,0.866666666666667,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,60.0,10.0
6,70.0,0.0,-0.03899356820329558,0.195570607768142,0.0,35.9555490113807,0.04108053241293405,0.885714285714286,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,70.0,10.0
7,80.0,0.0,0.03451882830995601,0.195286730331805,0.0,35.6000748132148,0.03415037157046479,0.8625,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,80.0,10.0
8,90.0,0.0,0.45328077346494,0.203308773299699,0.0,36.1853323021025,0.04488178967396328,0.866666666666667,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,90.0,10.0
9,100.0,0.0,0.04109599177900236,0.199744471515341,0.0,36.2380924604074,0.0329325153617231,0.88,32,32,24,625,0.0016,0.001,0.3,0.2,0.005,0.005,50000000.0,1.0,0.625,100.0,10.0
