k1 k2
6.338648693523843414e-02 -7.228575446952864580e-03
6.313815168736694461e-02 -8.053955292984263381e-03
6.351871727149610569e-02 -8.420561415554195239e-03
6.253960000277172804e-02 -7.848756213010010807e-03
6.350683760822506407e-02 -8.164361813210979646e-03
6.263482830828190351e-02 -7.635684094746478245e-03
6.426359463719719112e-02 -8.334334143893437630e-03
6.310209259261964632e-02 -8.397578187187254573e-03
6.193062347324168604e-02 -8.164629557917940650e-03
6.363156988458298913e-02 -7.025292080012277007e-03
6.354768089314519197e-02 -8.658077158585603117e-03
6.354768089314519197e-02 -8.658077158585603117e-03
6.312108675547997705e-02 -7.056719731211580360e-03
6.300926365179140842e-02 -8.316540238166719723e-03
6.293304945315997267e-02 -7.875892122735372869e-03
6.361250209408189638e-02 -7.732307114659081604e-03
6.319655115264363743e-02 -8.105954588533512140e-03
6.380712900403762156e-02 -7.647886591374858378e-03
6.323078310703952876e-02 -7.210157747957968155e-03
6.284351938936527660e-02 -8.760678496526300152e-03
6.368626528044760149e-02 -8.063844300219252803e-03
6.301623601724701262e-02 -8.425291801535575442e-03
6.327931405337991477e-02 -7.887608444698074317e-03
6.277594850265044713e-02 -8.593792658560056585e-03
6.286762339874021888e-02 -7.532657276146076386e-03
6.351489056773826358e-02 -8.112327985957512588e-03
6.363065298817208171e-02 -7.818914132244475512e-03
6.300349976118432838e-02 -7.253420947411284847e-03
6.306642891268146589e-02 -8.281651019737962249e-03
6.318677537071723527e-02 -8.614382910219847700e-03
6.321521082677875047e-02 -7.840077674733464397e-03
6.279795035945481829e-02 -8.483327270625812266e-03
6.312722158092751168e-02 -7.792227464833031969e-03
6.357170351933780217e-02 -8.025004304787114462e-03
6.313325956142962214e-02 -7.512927118460049902e-03
6.339502254308601592e-02 -8.447645385066315793e-03
6.274813767739970127e-02 -8.514422039403793385e-03
6.437949203535794918e-02 -7.209370104186124673e-03
6.339742012176854957e-02 -8.400160891297983601e-03
6.324234961593577786e-02 -7.319992265194891212e-03
6.269666383307156976e-02 -7.470493591196100680e-03
6.265151971595298019e-02 -8.231061903120076573e-03
6.344873951136995038e-02 -7.615497733589854379e-03
6.352063638795954481e-02 -7.490109556444551897e-03
6.277624790400648802e-02 -8.626879828014660800e-03
6.396516715232800077e-02 -7.762663713531112175e-03
6.290907400351630763e-02 -7.851499466673267369e-03
6.233097403822138172e-02 -8.239473372096142723e-03
6.391754235453245281e-02 -8.434258990867818384e-03
6.342845699231969281e-02 -7.652024237603055612e-03
6.263307372081974855e-02 -8.955813526577025008e-03
6.295261971138396695e-02 -7.847664427361553119e-03
6.292565169726052621e-02 -8.105521473422985790e-03
6.320287786736175639e-02 -8.142049494589492786e-03
6.277594850265044713e-02 -8.593792658560056585e-03
6.330569358224219512e-02 -7.294166624897249762e-03
6.334101611035589108e-02 -7.127596034152722249e-03
6.317470205688063833e-02 -7.893614753279543095e-03
6.259007655430962047e-02 -8.488681562744487819e-03
6.278602477422060013e-02 -9.155527131026144905e-03
6.359131470093346006e-02 -7.960008328618914386e-03
6.199525771770494909e-02 -7.622097260807370045e-03
6.307160949187448629e-02 -8.041418610324563288e-03
6.317986904109534896e-02 -7.294168385511834440e-03
