weight logl k1 k2 k3
0.000000000000000000e+00 -1.808910849056122452e+07 1.640695861751676476e-01 1.403980870582482998e-01 1.740871480862052900e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.362802954418045331e-01 6.929167359741472687e-02 3.483578510263640737e-01
0.000000000000000000e+00 -1.808910849056122452e+07 4.020809261607993790e-02 4.104061503335563188e-01 4.811201578807877688e-02
0.000000000000000000e+00 -1.808910849056122452e+07 7.699137081919892323e-01 5.201346020455011043e-02 6.723747235612098638e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.078489079648050408e-01 1.588919275908963202e-01 1.315011031200762348e-01
0.000000000000000000e+00 -1.808910849056122452e+07 3.369801116345491065e-01 6.587806624734815486e-02 1.674465835508830436e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.231303436573972787e-01 6.275752432518288959e-02 4.330021447386888100e-01
0.000000000000000000e+00 -1.808910849056122452e+07 9.336772758336289169e-01 7.928341913409084896e-01 5.039990984586095735e-02
0.000000000000000000e+00 -1.808910849056122452e+07 8.593464914261741416e-01 2.372920533607359994e-01 7.053325669821680632e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.247107799513906601e-01 4.195305081505029676e-02 2.589095873037937645e-01
0.000000000000000000e+00 -1.808910849056122452e+07 9.878220100526903247e-01 3.341211239746110229e-01 6.616096225481733484e-01
0.000000000000000000e+00 -1.808910849056122452e+07 5.729004789711196199e-01 6.306203329834891846e-03 6.634137131341988347e-02
0.000000000000000000e+00 -1.808910849056122452e+07 7.282667642197316882e-01 2.826667256922793525e-01 9.021444237975224656e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.901732305747835028e-01 9.077831566703853383e-02 2.716623146278722700e-01
0.000000000000000000e+00 -1.808910849056122452e+07 9.058115003207189986e-03 5.337275842269957327e-01 1.876078829929572755e-02
0.000000000000000000e+00 -1.808910849056122452e+07 6.734648746794748009e-01 3.230768461170766548e-01 9.529940768201369261e-01
0.000000000000000000e+00 -1.808910849056122452e+07 8.408776982204764217e-01 1.196629793032270017e-01 8.872257614087688538e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.441307391915223057e-01 9.618158281840440971e-01 8.621848104426326209e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.231995880513171215e-02 1.844794708495671731e-01 2.467731078906487685e-01
0.000000000000000000e+00 -1.808910849056122452e+07 7.387881588967362134e-01 9.889159219537242418e-01 1.457570460765167386e-02
0.000000000000000000e+00 -1.808910849056122452e+07 8.332783605366856916e-01 3.241570749611955016e-03 8.254565804378510840e-01
0.000000000000000000e+00 -1.808910849056122452e+07 4.226426778358916003e-02 4.877244620340505099e-01 1.541186320071274984e-01
0.000000000000000000e+00 -1.808910849056122452e+07 5.849775831881565136e-02 8.472770303780222667e-01 9.798392484557411075e-01
0.000000000000000000e+00 -1.808910849056122452e+07 8.112235188472072256e-02 6.535446900015129401e-02 4.914316704031612693e-01
0.000000000000000000e+00 -1.808910849056122452e+07 4.181552504151404559e-01 7.625737752565864280e-02 9.773639527205701949e-02
0.000000000000000000e+00 -1.808910849056122452e+07 1.095889599685426763e-01 9.898999155619750967e-01 9.994522766532557556e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.774509314938172766e-01 2.878169781974483366e-01 7.077198718937349753e-02
0.000000000000000000e+00 -1.808910849056122452e+07 3.341920146717693996e-01 1.819260328098426527e-02 9.552022615023680885e-02
0.000000000000000000e+00 -1.808910849056122452e+07 7.124878897418673862e-02 9.876334528426869985e-01 9.535824145544036234e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.748644314058946714e-01 1.103955495607347181e-01 1.147851749002989363e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.220837767547108266e-01 7.207227186136255792e-02 3.459489304472376237e-01
0.000000000000000000e+00 -1.808910849056122452e+07 8.592770414787023192e-01 1.859537609999125651e-01 6.520525798110869964e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.211822665808529598e-01 4.854937937265153547e-01 9.539076538103297143e-02
0.000000000000000000e+00 -1.808910849056122452e+07 9.097560798390307291e-01 1.765685442909853409e-01 6.279277290621937402e-01
0.000000000000000000e+00 -1.808910849056122452e+07 6.179508290135227178e-02 9.473375566518171809e-01 9.191646222455750470e-01
0.000000000000000000e+00 -1.808910849056122452e+07 9.080775200620564425e-01 1.485399590355240829e-01 7.199383306233132496e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.332964424512854462e-01 9.952018321813296264e-01 9.264273777949754152e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.145081306941998500e-01 7.246173556654345038e-02 4.242651094706683113e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.480262519533845911e-01 1.418315583085413278e-01 4.127968913000416018e-01
0.000000000000000000e+00 -1.808910849056122452e+07 5.411669714352013161e-01 1.693727138293750212e-01 9.521229142992762018e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.027641428711611793e-01 1.751154115581589066e-01 2.480422232820556072e-02
0.000000000000000000e+00 -1.808910849056122452e+07 1.504977419369581959e-01 1.662707867695623065e-04 4.207673556383639824e-01
0.000000000000000000e+00 -1.808910849056122452e+07 9.045345820640249279e-02 1.669204830260893058e-01 7.669615512895600062e-02
0.000000000000000000e+00 -1.808910849056122452e+07 8.057269469276832075e-01 6.106511419742777225e-02 7.763024160394556006e-01
0.000000000000000000e+00 -1.808910849056122452e+07 1.282922200973044546e-01 3.052690068165847537e-01 9.915267973165886595e-03
0.000000000000000000e+00 -1.808910849056122452e+07 4.675558281898506419e-02 9.495738667068165384e-01 8.911429878446053277e-01
0.000000000000000000e+00 -1.808910849056122452e+07 2.620546086042642164e-01 7.661829113087259557e-02 1.383561882152447575e-01
0.000000000000000000e+00 -1.808910849056122452e+07 9.950758870278266777e-01 9.548982881033507564e-02 6.399786502444521075e-01
0.000000000000000000e+00 -1.808910849056122452e+07 3.785969616244229119e-01 1.143045191507041647e-01 1.760987816898529346e-01
0.000000000000000000e+00 -1.916981564142515708e+05 1.156567259258204361e-01 9.946530180426355061e-01 8.065858920659335629e-01
0.000000000000000000e+00 -1.827530825699596317e+05 1.084284668830711729e-01 6.470332703836076949e-01 9.907852076530199170e-01
0.000000000000000000e+00 -1.823759055964147556e+05 3.711352296305467924e-01 8.796747758066546519e-01 9.973124613679341666e-01
0.000000000000000000e+00 -1.801329823460917978e+05 2.164440752770717680e-01 8.603780501816803428e-01 9.201263439164987235e-01
0.000000000000000000e+00 -1.793228829605010105e+05 1.075237233914435597e-01 1.728334650712104459e-02 6.408402966202061402e-01
0.000000000000000000e+00 -1.789518262729059788e+05 9.268464040837792739e-01 9.633004119978203494e-01 1.721874151104275663e-01
0.000000000000000000e+00 -1.771427152753242408e+05 2.026325214475954706e-02 4.095960178616911973e-01 9.643741822438142153e-01
0.000000000000000000e+00 -1.737243491572720523e+05 2.957529556099192103e-02 4.710629405365835964e-01 2.521951832234753388e-01
0.000000000000000000e+00 -1.727355467315270798e+05 3.729927097170282480e-02 1.453876388077235404e-01 7.268895692299692790e-01
0.000000000000000000e+00 -1.725737029877904861e+05 8.469550847864066867e-01 8.207636001395146597e-01 4.727782178845174599e-02
0.000000000000000000e+00 -1.715753761421333475e+05 1.238198036654377665e-01 6.972213869782672990e-02 9.875754368127841465e-01
0.000000000000000000e+00 -1.713941375286270631e+05 1.206530247322111782e-01 1.017724707478528945e-01 9.973320247891860335e-01
0.000000000000000000e+00 -1.709412320576324710e+05 3.436349876765627531e-01 1.269605678103035151e-01 2.451835946937258592e-01
0.000000000000000000e+00 -1.706006415690549766e+05 9.934788058484644857e-02 3.518341699789544474e-01 9.859290437226537751e-01
0.000000000000000000e+00 -1.703850157166888239e+05 4.576669136021238593e-02 1.686965917497100786e-01 7.588011619730981039e-01
0.000000000000000000e+00 -1.683334156564120203e+05 5.996309076722439180e-03 6.985782222981665734e-01 7.290011127992211959e-01
0.000000000000000000e+00 -1.683328241286019911e+05 6.231791651142950528e-01 9.555724713700257666e-01 9.841181050800860142e-01
0.000000000000000000e+00 -1.680527230907283956e+05 3.498698833681623821e-02 3.767279568482562180e-01 4.304709349135006358e-01
0.000000000000000000e+00 -1.672591250590634590e+05 2.662426559299584383e-01 2.725550413984912934e-01 2.020487716489468566e-01
0.000000000000000000e+00 -1.670503312051345420e+05 1.028470547546163072e-01 5.212244157544133616e-01 8.986489643417792106e-01
0.000000000000000000e+00 -1.669568444614759646e+05 3.700158451384231162e-01 9.258646529825919069e-01 8.568902311957419249e-01
0.000000000000000000e+00 -1.669066060608879197e+05 1.187311413792686565e-01 4.608668367403693233e-01 9.320937508697944018e-01
0.000000000000000000e+00 -1.667411613625287428e+05 8.062213042999776258e-01 8.346059102419078890e-01 5.332268355243030555e-02
0.000000000000000000e+00 -1.663341672447123274e+05 1.386549821429783336e-02 3.721451151521331102e-01 6.999962956295561201e-01
0.000000000000000000e+00 -1.661493800841859484e+05 1.462597065712395450e-01 8.363608679069989282e-01 7.527203544231291232e-01
0.000000000000000000e+00 -1.660813409590849769e+05 6.429752963801802501e-01 8.688134312835742445e-01 1.703304149114470700e-02
0.000000000000000000e+00 -1.659295204340724740e+05 2.391589649705732068e-01 2.724784708886873741e-01 2.473907434135240724e-01
0.000000000000000000e+00 -1.655395055364459404e+05 3.269768830178673147e-01 9.756726057816520470e-01 7.546769687088762391e-01
0.000000000000000000e+00 -1.652129899987110693e+05 1.414389415295417285e-01 3.474774700796855464e-01 3.156028019282318686e-01
0.000000000000000000e+00 -1.648483660964166920e+05 1.088930127071474629e-01 6.418721312431781012e-01 9.811280772202524147e-02
0.000000000000000000e+00 -1.642680379937882826e+05 1.823539406034135890e-01 2.266672892430513508e-01 9.795196061964484002e-01
0.000000000000000000e+00 -1.640541022195913829e+05 1.090434293833230095e-01 2.435263209989270150e-01 8.362221068770951948e-01
0.000000000000000000e+00 -1.638248823984116898e+05 2.070104994675424637e-01 3.016699360728890555e-01 2.849140288540936705e-01
0.000000000000000000e+00 -1.638100461138752580e+05 4.509996166527282524e-01 9.866229294646863268e-01 9.618300650315392275e-02
0.000000000000000000e+00 -1.637198822185507161e+05 1.465610106088255371e-02 6.124378792083070566e-01 6.445491479994704953e-01
0.000000000000000000e+00 -1.635979744065123959e+05 4.504140710420040383e-01 8.191771179007389936e-01 9.601498830690450292e-01
0.000000000000000000e+00 -1.634786776249370014e+05 5.933121025539643822e-01 9.960090116520206038e-01 8.701145420517183426e-01
0.000000000000000000e+00 -1.632216378388579760e+05 6.183366337014972736e-02 6.906830542450429489e-01 1.794053940706199501e-01
0.000000000000000000e+00 -1.631975198731864803e+05 1.180925459234570818e-01 4.598371838752143281e-01 8.586225552486178580e-01
0.000000000000000000e+00 -1.631335820257809246e+05 1.314063591022419653e-01 7.704113188447421212e-01 5.963614864748334465e-02
0.000000000000000000e+00 -1.630092118502322992e+05 1.914872931172325599e-01 1.406131788381285164e-01 5.381442845435451261e-01
0.000000000000000000e+00 -1.627537739660450607e+05 1.489740920816714498e-01 9.724286943170783459e-01 1.878106475891474503e-01
0.000000000000000000e+00 -1.626508212518190558e+05 1.121408524088561842e-01 2.331543993022588968e-01 7.316431565451716468e-01
0.000000000000000000e+00 -1.625878584041242138e+05 1.886279395496459621e-03 6.865354304287025755e-01 3.955642144556391626e-01
0.000000000000000000e+00 -1.624556930750166357e+05 3.988036668583475608e-01 9.955793708341668102e-01 1.259803251163903459e-01
0.000000000000000000e+00 -1.621110236084423086e+05 3.307875034369689438e-02 8.288930366558472373e-01 2.986793676811082543e-01
0.000000000000000000e+00 -1.621006730708205723e+05 1.618502871982758773e-01 2.117142043347360891e-01 8.755477539366118833e-01
0.000000000000000000e+00 -1.620990894794027845e+05 6.310246355983639699e-02 9.056363825433757508e-01 3.529877957901789154e-01
0.000000000000000000e+00 -1.617486553306252754e+05 5.936872483998855143e-01 6.250933137546155205e-02 9.194883658957042627e-02
0.000000000000000000e+00 -1.617074679213556810e+05 9.921370869582525343e-01 5.372290986083901876e-01 8.023781520326900285e-03
0.000000000000000000e+00 -1.614613052685870789e+05 1.266648959455849432e-01 2.365224503707515913e-01 6.899582048496571973e-01
0.000000000000000000e+00 -1.613498561043352238e+05 8.977360503481923715e-02 9.105831984076718788e-01 2.999654227441412857e-01
0.000000000000000000e+00 -1.613038673976012797e+05 5.620427030004337965e-02 4.593573046283010441e-01 6.090548854656633315e-01
0.000000000000000000e+00 -1.612900734017105715e+05 2.197973278123329655e-01 2.103252969593559785e-01 4.166467391684586241e-01
0.000000000000000000e+00 -1.612653726410130621e+05 2.112739155138001479e-01 1.016162096188389929e-01 6.202217413433105397e-01
0.000000000000000000e+00 -1.612068159054507851e+05 2.156436811422155486e-01 5.620091653512550023e-01 9.019707844311801725e-01
0.000000000000000000e+00 -1.611821215103870782e+05 1.201913202379963908e-01 2.627656868344144803e-01 6.705847055972405935e-01
0.000000000000000000e+00 -1.611516756378767604e+05 1.473681746811509319e-01 9.605001535609718477e-01 2.770717376795820419e-01
0.000000000000000000e+00 -1.611141575067565718e+05 1.609244265965216192e-01 8.472689794833230259e-01 1.039943726423073755e-01
0.000000000000000000e+00 -1.610248048536909628e+05 1.761510342332480716e-01 4.181426722559780096e-01 2.579166450690812962e-01
0.000000000000000000e+00 -1.609797844944834942e+05 3.259464113095438265e-01 8.990082121840574647e-01 7.556563721330730177e-01
0.000000000000000000e+00 -1.609463439626660838e+05 1.448759575868817651e-01 4.803263670487160075e-01 8.367861566088037328e-01
0.000000000000000000e+00 -1.607838861788337817e+05 1.879016630672493138e-01 1.861094241181728837e-01 8.665805271369435570e-01
0.000000000000000000e+00 -1.607702993002875592e+05 2.744018240842244216e-01 5.510812266076381416e-01 2.855451945687781379e-02
0.000000000000000000e+00 -1.606361570081057143e+05 4.794872995404165783e-01 9.766060942109275889e-01 7.731795037270816628e-01
