weight logl k1 k2 k3
0.000000000000000000e+00 -1.473654459516189247e+07 -9.212186372372524468e-02 7.559729177722407378e-03 -8.704961413748052435e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -3.468758333895352597e-02 -7.594524839391857129e-02 -9.124645015156424011e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -2.605199300401202234e-02 -9.193220543714804294e-02 -6.282915063814495382e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -4.474322355895372916e-02 -8.471018998082771589e-02 -8.047492846644639652e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -5.910879791754262286e-02 -8.990984028317312859e-02 -4.351812183820374241e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -9.301948385148775533e-02 -8.375056386613351223e-02 6.182725865456539793e-03
0.000000000000000000e+00 -1.473654459516189247e+07 -8.098868910857540127e-02 -5.571035637381831912e-02 -9.715826212495758119e-02
0.000000000000000000e+00 -1.473654459516189247e+07 4.144034713951444404e-03 -7.905446710020543055e-02 9.885924005417384697e-02
0.000000000000000000e+00 -1.473654459516189247e+07 7.920903738838158681e-02 8.914881644775102254e-02 -9.272586468442156615e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -7.821184171710177102e-02 -3.979858246309060654e-02 -5.192935072664604107e-02
0.000000000000000000e+00 -1.473654459516189247e+07 4.229840038266691193e-02 -7.220547432515503350e-02 6.412296027882286031e-02
0.000000000000000000e+00 -1.473654459516189247e+07 3.035254347409088727e-02 -3.228559665079931695e-02 9.751142954763930559e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -6.021227062367892624e-03 -9.122150999703432239e-02 -8.777546942649437633e-02
0.000000000000000000e+00 -1.473654459516189247e+07 8.910355257989102662e-02 -9.472508208969238064e-02 7.823627165228791425e-02
0.000000000000000000e+00 -1.473654459516189247e+07 8.125721216404566127e-02 -6.439697087365411909e-02 8.277108100793173495e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -9.854775826448758380e-02 -8.375953967108279441e-02 -4.371656083131154891e-02
0.000000000000000000e+00 -1.473654459516189247e+07 9.966288331267778022e-02 8.571610321777378694e-02 -8.927481385863896002e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -9.958058427125203449e-02 -8.349215846943332242e-02 -8.946633369529054247e-02
0.000000000000000000e+00 -1.473654459516189247e+07 2.450729418490976697e-03 -9.582742404670835379e-02 8.327712514469684524e-02
0.000000000000000000e+00 -1.473654459516189247e+07 3.229964165911908269e-02 -8.398935110105038016e-02 8.054539209104152886e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -6.113304882167183707e-02 -4.637685774110549691e-02 -7.688221379626183904e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -8.238641905772806084e-02 5.826456724092513029e-02 9.707581258455177942e-02
0.000000000000000000e+00 -1.473654459516189247e+07 8.978750485377487434e-02 -3.641373465799294107e-02 4.260097099738582860e-02
0.000000000000000000e+00 -1.473654459516189247e+07 4.206600976218771715e-02 -7.997886266404796718e-02 6.706213025976387465e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -5.377942444940864153e-02 -7.767849630528063376e-02 -5.337982861422849862e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -7.476654160134138527e-02 -3.862981338018289801e-02 -9.450155002030542761e-02
0.000000000000000000e+00 -1.473654459516189247e+07 6.891589320346655501e-02 -6.056792382808653952e-02 9.677008439593390299e-02
0.000000000000000000e+00 -1.473654459516189247e+07 2.732067205214555594e-02 -7.387580385961407814e-02 7.967988624473695825e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -8.962283411025354085e-02 -7.781019407936407006e-03 -7.672008337173602532e-02
0.000000000000000000e+00 -1.473654459516189247e+07 -9.966666734154848439e-02 -1.624395636111311547e-02 -8.333546938653935143e-02
