,sweep,permcount,dH,pdeconfined,pconfined,action,wilson,acceptance,nmat,ndec,ntime,ntau,udtau,adtau,temperature,pdec,pdec_var,pcon,pcoeff,utau,atau,mdtu,freq
0,1.0,0.0,-0.26736212805553805,0.004904845614837498,0.0,48.8480702450571,0.074444233872749,1.0,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,2.001,
1,2.0,0.0,-0.20655774616170675,0.004989973294004693,0.0,49.119481510639005,0.06501384574965298,1.0,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,4.002,2.001
2,3.0,0.0,0.07818440494520473,0.004046833144246028,0.0,48.71510684199576,0.05892006484033586,1.0,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,6.003,2.0010000000000003
3,4.0,0.0,0.5114135894255014,0.004046833144246028,0.0,48.71510684199577,0.05892006484033586,0.75,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,8.004,2.0009999999999994
4,5.0,0.0,-0.03142938429664355,0.002778612880903936,0.0,48.44157244152103,0.057052081722482,0.8,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,10.004999999999999,2.0009999999999994
5,6.0,0.0,0.09873358363256557,0.003978691734292214,0.0,48.04853247879638,0.07263657897915622,0.8333333333333334,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,12.006,2.0010000000000012
6,7.0,0.0,-0.12927419342304347,0.004666511773134013,0.0,48.66242756440683,0.0622312063524183,0.8571428571428571,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,14.007,2.0009999999999994
7,8.0,0.0,0.09988012605754193,0.005184165606262272,0.0,48.497320336435735,0.08283680454663651,0.875,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,16.008,2.0009999999999994
8,9.0,0.0,0.018312584001250798,0.00473072940830462,0.0,48.4236365523203,0.08914476499664231,0.8888888888888888,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,18.009,2.0010000000000012
9,10.0,0.0,0.2457505812526506,0.00473072940830462,0.0,48.4236365523203,0.08914476499664231,0.8,16,16,32,667,0.003,0.0015,0.29,0.0,0.005,0.005,10000000.0,2.001,1.0005,20.009999999999998,2.0009999999999977
