,sweep,permcount,dH,pdeconfined,pconfined,action,wilson,acceptance,nmat,ndec,ntime,ntau,udtau,adtau,temperature,pdec,pdec_var,pcon,pcoeff,utau,atau,mdtu,freq
0,10.0,4.0,-0.0008442729304078966,0.406726787730882,0.0001692940013702075,23.8597564140056,0.01976393694009253,1.0,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,
1,20.0,6.0,0.007234732795041054,0.406641335949094,0.001607369974859451,23.8485959804728,0.01977323874238473,1.0,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
2,30.0,7.0,-0.00170422057271935,0.407123768519574,0.001574517758147681,23.8431011000514,0.01981147889157484,1.0,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
3,40.0,8.0,-0.002450735511956736,0.407192363222942,0.004100009881902496,23.8421409455968,0.01982358701193311,1.0,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
4,50.0,9.0,-0.00569585632183589,0.409111990506377,0.004631832401372171,23.8270274200622,0.01988537824546831,0.98,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
5,60.0,12.0,-0.003963021357776597,0.407396158734378,0.001238962277228101,23.8380158342796,0.01989610624424762,0.983333333333333,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
6,70.0,16.0,-0.002296797203598544,0.407216205309402,0.002172430184783779,23.8359299226617,0.01991286293460586,0.985714285714286,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
7,80.0,22.0,-0.008048535353736952,0.410049267268982,0.00552801223242562,23.8366966042927,0.01989935495184883,0.9875,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
8,90.0,23.0,0.003706287185195833,0.408853669501926,0.004965512110258593,23.8297214272603,0.01989964348913613,0.988888888888889,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
9,100.0,24.0,-0.003161569533403963,0.406669336828669,0.002450102345404171,23.8238064693234,0.01987591547781165,0.99,64,39,16,0,0.00125,0.0008,0.29,0.41025641,0.005,0.005,10000000.0,0.0,0.0,0.0,0.0
10,10.0,2.0,-0.177569117804524,0.405205269627867,0.003088384507133099,23.8336780968736,0.01698751376243144,0.8,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,10.0,
11,20.0,2.0,-0.007533025607699528,0.404893041536648,0.003681622026987138,23.9544538875108,0.01540862063445709,0.7,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,20.0,10.0
12,30.0,4.0,0.321670971403364,0.408337851475572,0.00353444995160644,23.8416952380216,0.01933082389259629,0.766666666666667,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,30.0,10.0
13,40.0,6.0,0.2639170208422,0.409665379109108,0.001014644306733593,23.8635673089712,0.01772894892391181,0.75,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,40.0,10.0
14,50.0,10.0,1503941.65488575,0.408361883452894,0.003939044544533463,24.0366643456253,0.01265857396153518,0.72,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,50.0,10.0
15,60.0,12.0,0.1483465214842,0.406166831595575,0.003300566733673536,23.8689067060714,0.02087984179455455,0.733333333333333,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,60.0,10.0
16,70.0,14.0,-0.266500810830621,0.406970432139479,0.00365412273509647,23.9268803369048,0.01631273472152401,0.742857142857143,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,70.0,10.0
17,80.0,18.0,0.262831953557907,0.41084061183181,0.001578285749958571,23.9772791757605,0.0140939507341706,0.7125,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,80.0,10.0
18,90.0,20.0,0.0654428719135467,0.407186443141724,0.005124629977814866,23.9713427400622,0.01653363557846096,0.722222222222222,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,90.0,10.0
19,100.0,24.0,-0.03367586841341108,0.404919551681006,0.003794482322975924,23.8629856754978,0.01891301254167802,0.72,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,10000000.0,1.0,1.0,100.0,10.0
20,10.0,4.0,0.03028311204980128,0.413448553678001,0.00339149767178895,23.9046696672014,0.02026103301339914,0.8,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,20000000.0,1.0,1.0,10.0,
21,20.0,7.0,0.349382372340187,0.409935150759591,0.003511102085869249,23.9766561897146,0.01680193823791431,0.75,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,20000000.0,1.0,1.0,20.0,10.0
22,30.0,10.0,0.05590580764692277,0.410698112515893,0.005061798502906214,23.8926311634011,0.01398882692194671,0.766666666666667,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,20000000.0,1.0,1.0,30.0,10.0
23,40.0,12.0,-0.212511789315613,0.412855247260154,0.002773927373352554,24.0517118344838,0.01777022028231212,0.75,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,20000000.0,1.0,1.0,40.0,10.0
24,50.0,12.0,0.07157731856568716,0.413010373786072,0.004955877969435438,23.8938264634604,0.01366807153539485,0.78,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,20000000.0,1.0,1.0,50.0,10.0
25,60.0,16.0,1.3450984164956,0.40629443023202,0.001875833282906552,24.0125942547281,0.01087118454389923,0.766666666666667,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,20000000.0,1.0,1.0,60.0,10.0
26,70.0,16.0,-0.413966981199337,0.40758826636241,0.001939014160613888,24.005168912453,0.01911577921973174,0.757142857142857,64,39,16,800,0.00125,0.00125,0.29,0.41025641,0.005,0.005,20000000.0,1.0,1.0,70.0,10.0
