weight logl k1 k2 k3
0.000000000000000000e+00 -2.210481689274283871e+07 -8.706475692284332268e-02 -2.437498514727580445e-02 -7.027966281437936225e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -7.691880719594489102e-02 -9.320434377032682516e-02 -6.970359641531079231e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -8.866050407376031839e-02 1.772883964981028515e-03 -7.883759456745753624e-02
0.000000000000000000e+00 -2.210481689274283871e+07 9.716106912997099498e-02 5.705832244005140663e-02 -9.969061073582473342e-02
0.000000000000000000e+00 -2.210481689274283871e+07 6.149206435220855305e-02 -9.488790692107110236e-02 3.215114045794681408e-02
0.000000000000000000e+00 -2.210481689274283871e+07 7.108687610045336114e-02 -2.617181694263230607e-02 8.097621857248163413e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.796271672230660865e-02 2.459945784447276074e-03 -7.839645046956755792e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -5.153936142667697035e-02 -6.677283430795410979e-02 -4.085045100439872734e-02
0.000000000000000000e+00 -2.210481689274283871e+07 9.854432989305481061e-02 -7.537000244445682395e-02 7.031328409968584658e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.101001935201308291e-02 -5.236414350758387265e-02 -4.067484506926943855e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -8.998146508673504629e-03 -8.364029477955199632e-02 -8.269619900735913909e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.469213589545721899e-02 -8.303359551353949042e-02 -5.910225715719059913e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -3.901426763109858836e-02 -9.408461967183581742e-02 -4.774327211388356557e-02
0.000000000000000000e+00 -2.210481689274283871e+07 4.716972742082631287e-02 -8.109447882140219388e-02 7.900108716383855145e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.640332515834300342e-02 -7.213224691714069381e-02 -2.792287084734235147e-02
0.000000000000000000e+00 -2.210481689274283871e+07 8.114181067452305718e-02 -4.520310857807170735e-02 7.553931016793200004e-02
0.000000000000000000e+00 -2.210481689274283871e+07 4.753823639275889246e-02 -7.794736376300676062e-02 6.595228698444591253e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.990565142463823933e-02 2.908706872241331731e-02 9.864840010738593068e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -5.341637259982146002e-02 -8.600226549328351955e-02 -1.986234916695310548e-02
0.000000000000000000e+00 -2.210481689274283871e+07 3.070246645812424457e-02 -9.179025458641246193e-02 7.838143982879847149e-02
0.000000000000000000e+00 -2.210481689274283871e+07 9.178174691681692532e-02 8.330282883486581080e-02 -9.158994708491026426e-02
0.000000000000000000e+00 -2.210481689274283871e+07 7.659243824137559886e-02 -9.734870799780032113e-02 3.109979151179670387e-02
0.000000000000000000e+00 -2.210481689274283871e+07 7.764027955542776582e-02 -9.716565354083328554e-02 3.658364942062353187e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -6.410123112751438257e-02 -9.455890872725354612e-02 -7.851492371270743509e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -4.575678864140775293e-02 -4.355555990990472165e-02 -9.979582424576745325e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -4.015630367875307194e-02 -4.775953688166034716e-02 -9.930451671638934608e-02
0.000000000000000000e+00 -2.210481689274283871e+07 9.579176798811789295e-02 -8.843598219885438760e-02 -9.392057768337916390e-03
0.000000000000000000e+00 -2.210481689274283871e+07 -9.261607247519521025e-02 -7.116368234970760209e-02 9.393823250443411599e-05
0.000000000000000000e+00 -2.210481689274283871e+07 7.763493432993148757e-02 8.659778683227370433e-02 -7.361188544653525512e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -7.166882890104474269e-02 -7.367019690512953412e-02 -9.531315209449851833e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -8.936620779554263483e-02 -3.650495995367208923e-02 -8.784041088230883088e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.965039864045943663e-02 -4.707193948217421042e-02 -3.923453088754327855e-02
0.000000000000000000e+00 -2.210481689274283871e+07 6.915510811611358388e-02 -1.368828685239627252e-02 9.647993100653623477e-02
0.000000000000000000e+00 -2.210481689274283871e+07 8.761331692679635852e-02 -9.733981936680335956e-02 9.143281485633078520e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.068228888348189853e-02 -6.154364309019882268e-02 -5.607300776765151984e-02
0.000000000000000000e+00 -2.210481689274283871e+07 7.066874225043826008e-02 -8.176758987945523249e-02 1.227033481527813052e-02
0.000000000000000000e+00 -2.210481689274283871e+07 3.752386164435606020e-02 -8.555844459678695058e-02 9.371108307545872318e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -6.120762336969889916e-02 9.851689229615631649e-02 7.689661947115980500e-02
0.000000000000000000e+00 -2.210481689274283871e+07 4.793779023237745851e-02 -9.603738376621458184e-02 5.327750031621256155e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.540146768702424673e-02 -9.026471658833033762e-02 -7.534923937636242575e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.743170226263984934e-02 -6.595209700008677900e-02 -7.304838893102283404e-02
0.000000000000000000e+00 -2.210481689274283871e+07 9.355807733103022050e-02 -7.779124852916992350e-02 5.197140342201539420e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.515186234120670550e-02 -8.487098124827648082e-02 -1.476026282007665558e-02
0.000000000000000000e+00 -2.210481689274283871e+07 7.444393534536294932e-02 -6.982628032913758276e-02 3.178433637381469778e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -8.185928655936286491e-02 -7.247290434610964560e-02 -1.183376533642961637e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -4.599140315237333632e-02 9.237284172936122140e-02 9.045225769689627104e-02
0.000000000000000000e+00 -2.210481689274283871e+07 3.856678516903683240e-02 -5.661266321805702439e-02 9.212652329819490116e-02
0.000000000000000000e+00 -2.210481689274283871e+07 1.756100473274613272e-02 -8.383991177764826830e-02 7.675852301292185320e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -5.969778781840232029e-02 9.423910685316935765e-02 9.054814663627949733e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -5.945443244456314474e-02 -2.741610903058493143e-02 -8.726098129409620707e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -4.833991533596382340e-02 -7.868691574847384851e-02 -8.176954147373415027e-02
0.000000000000000000e+00 -2.210481689274283871e+07 4.213590171488795777e-02 8.241496932834513345e-02 -9.696401865279553889e-02
0.000000000000000000e+00 -2.210481689274283871e+07 8.161375849834170970e-02 7.587621805062119695e-02 -8.822257570376841607e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -5.766683487197910019e-02 -8.086335890213801336e-02 -6.778577112925024406e-02
0.000000000000000000e+00 -2.210481689274283871e+07 9.803516840889101025e-02 -5.702934496751424498e-02 9.675191472223929057e-02
0.000000000000000000e+00 -2.210481689274283871e+07 2.971246494772722402e-02 -9.537712598604144998e-02 7.399232714220166374e-02
0.000000000000000000e+00 -2.210481689274283871e+07 -9.846717760185436097e-02 -7.974717609703191323e-02 -4.048638591288566957e-04
0.000000000000000000e+00 -2.364991203748619591e+05 -9.650005616395170016e-02 3.659163960149641737e-02 8.990960190425825727e-02
0.000000000000000000e+00 -2.225499448088212812e+05 1.224586966269136656e-02 9.744207115756828297e-02 9.958127373969793972e-02
