weight logl k1 k2 k3 k4 k5
0.000000000000000000e+00 -1.355577895947454497e+07 -2.383234975339239281e-02 -2.104384145359117220e-02 -5.024280513713202945e-03 -5.003981765102821083e-02 -8.614653924904527860e-02
0.000000000000000000e+00 -1.355577895947454497e+07 9.270087532980017531e-02 2.459742054673834388e-02 7.593002855902131198e-02 -6.150239767246026834e-02 -2.751507550127803292e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -2.111389095503943270e-03 9.515159499424907796e-02 9.680308770363618698e-02 9.398479351350558231e-02 9.712879149055919648e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -3.468294584917212819e-02 -9.762484869412509092e-02 -8.649363782252145194e-02 -4.855525752078396207e-02 -4.143679699708344155e-03
0.000000000000000000e+00 -1.355577895947454497e+07 -6.864379230080486227e-02 -5.369822747143533637e-02 -1.263628333326090314e-02 -7.517380121611927368e-02 -5.336969760091985621e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -4.261152485844237753e-02 7.133408499178803264e-02 -9.290183848811416067e-02 -6.395316899924050058e-03 6.941755022289136656e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -5.089275133367814757e-02 -3.276211935623378479e-02 -1.971379528736119657e-02 -5.380537027069703243e-02 -4.251372234726824573e-02
0.000000000000000000e+00 -1.355577895947454497e+07 9.814132556444324362e-02 -1.212983396179383166e-02 -6.234627248666368970e-02 -5.297909775021769629e-02 6.727312872345822536e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -5.527873291264362443e-02 3.274817265320734139e-02 -7.127243721960865863e-02 -9.885297430966953625e-02 7.840575596137089320e-02
0.000000000000000000e+00 -1.355577895947454497e+07 9.390403016561604810e-03 6.169698366833736847e-02 -6.987160516953375144e-02 -6.173989489578213252e-02 3.713666935555071102e-02
0.000000000000000000e+00 -1.355577895947454497e+07 9.758090684235246060e-02 -5.095908777742668566e-02 3.711361283670400191e-02 -1.041809726377726508e-02 4.144740104901220579e-03
0.000000000000000000e+00 -1.355577895947454497e+07 9.020255610331678886e-02 -9.909551714437646319e-02 -7.168879403102559889e-02 -7.993222597559579423e-02 -6.471856033642298112e-02
0.000000000000000000e+00 -1.355577895947454497e+07 4.558002135540722977e-02 6.398420475572103028e-02 4.666824349730483434e-02 -1.533994565949126088e-02 -9.751968994343380992e-02
0.000000000000000000e+00 -1.355577895947454497e+07 6.356068824385960325e-02 -9.925920362737689073e-02 -9.052650389149191623e-02 -3.386888995541080527e-02 8.886918769486909508e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -5.647260176747579546e-02 -3.362110524778909315e-02 -6.585596887703734637e-02 -8.647758602153679530e-03 -9.534974118654576669e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -8.038123475104626270e-02 9.297018173453719392e-02 -8.491125834255977556e-02 -9.474780099509499953e-03 8.964396396103968545e-02
0.000000000000000000e+00 -1.355577895947454497e+07 7.449419985845862069e-02 -2.647142340703441399e-02 9.896926868200711658e-02 5.632728210448217920e-03 4.740945207864402655e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -6.500321633075056837e-02 7.453163512155755455e-02 -8.591900223535234304e-02 -8.967376903984088099e-02 -2.492398330657033534e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -9.023548296171686467e-02 -5.675939330657602672e-02 -5.671584373256627343e-03 6.108085581300023992e-02 -7.218913663320875029e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -7.264496090435515474e-03 5.606573330858088955e-02 -7.551577319090783946e-02 -9.952390909511704686e-02 5.445294536706429822e-02
0.000000000000000000e+00 -1.355577895947454497e+07 6.328565764132565441e-02 -6.626680732637213467e-02 8.460890706965815133e-02 8.323808945695040928e-02 -6.102898940312043163e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -8.055403305020061855e-02 4.423956449675042757e-02 -6.422623358004811434e-02 -4.884063474568015040e-02 -7.111469457147026607e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -7.418533490196635438e-02 2.488671709712933500e-02 7.653190629112960330e-02 5.286908934486064804e-02 8.282635129815169028e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -2.729574258856892754e-03 2.601251876765012239e-02 9.741385451458003941e-02 7.093433853264283218e-02 -2.966155556677145533e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -4.669994348845338955e-02 -6.879323948825627477e-02 7.003020928383074661e-02 -4.739346461002469368e-02 -9.331284859623086014e-02
0.000000000000000000e+00 -1.355577895947454497e+07 2.670136785300047944e-02 7.803939847172780553e-02 -4.611253189148700748e-02 5.293816228289421888e-02 -9.218657013383474430e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -4.749912357186823059e-02 -2.550083295094678071e-02 2.625614654906080481e-02 -6.266979148067491900e-02 -9.372183827351650287e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -4.863753430670201411e-02 -5.148389057864995177e-02 -5.252790836341252739e-02 -8.318201436646011082e-02 -1.861877081214408092e-04
0.000000000000000000e+00 -1.355577895947454497e+07 -5.305419621849876560e-02 -8.114133976062150311e-02 4.984109011718376725e-02 -3.604770078275508494e-02 8.533008935008162821e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -5.985025947028817239e-02 3.165090305837947593e-02 -4.637122685406611794e-02 9.751651966408772521e-02 6.182525064455043906e-02
0.000000000000000000e+00 -1.355577895947454497e+07 -1.548141422680530954e-02 9.748334140894424071e-02 6.283093163800099190e-02 -8.352662898045758177e-02 -8.311490462034827609e-02
