k1 k2
6.409765660679181409e-02 -7.770310732672841558e-03
6.430106730720006047e-02 -8.148698237948892587e-03
6.417129141584651530e-02 -7.127489287955271480e-03
6.331894520171993390e-02 -7.958840606700143261e-03
6.461556856995326337e-02 -7.853924849934995622e-03
6.356649050614854302e-02 -7.554494133300393433e-03
6.322690133897188036e-02 -8.799108920598458505e-03
6.439868269984289073e-02 -8.526281429888482588e-03
6.240393611094927073e-02 -7.249237790104931523e-03
6.315051977979194153e-02 -8.632518355454490977e-03
6.440877381158280346e-02 -7.752905150302705217e-03
6.380183763409752462e-02 -7.407141467200256679e-03
6.475228842566288501e-02 -6.589577853174807820e-03
6.355370831691400935e-02 -8.660719002571662384e-03
6.332969100012392216e-02 -7.655760616107690208e-03
6.301813602675768178e-02 -7.433475782036499946e-03
6.357539252837626775e-02 -7.213053549780357177e-03
6.478039687162101545e-02 -7.815277264422951231e-03
6.365848058537601495e-02 -7.227322163171359670e-03
6.339639468764587948e-02 -6.650130287309610755e-03
6.409765660679181409e-02 -7.770310732672841558e-03
6.408420407701578836e-02 -8.373059539673724516e-03
6.376230918288985916e-02 -6.281321462397279620e-03
6.423876791653915230e-02 -6.813323169124932410e-03
6.369808773946414315e-02 -6.326305908853982474e-03
6.343479944477067867e-02 -7.700040606347297034e-03
6.332908030052289416e-02 -7.476938726055024076e-03
6.362334641012798442e-02 -7.370830856402943443e-03
6.319712586285991529e-02 -7.226389597470198045e-03
6.324985195791102410e-02 -7.160601801162666535e-03
6.239773138887269588e-02 -7.814529495368205403e-03
6.399819451113142321e-02 -7.196648399827421105e-03
6.315773404581206951e-02 -8.426626065375489305e-03
6.232312531255743138e-02 -8.080158258821690254e-03
6.363749846267918731e-02 -8.666697883929222468e-03
6.280896874700955812e-02 -7.346035580170121038e-03
6.379122067695316978e-02 -7.999240589953146574e-03
6.370111944689088590e-02 -6.700784689958272367e-03
6.368891927812997400e-02 -7.991681990591775753e-03
6.235630588418780706e-02 -6.417794167274309958e-03
6.461556856995326337e-02 -7.853924849934995622e-03
6.314507396955015839e-02 -7.996201610187242403e-03
6.379122067695316978e-02 -7.999240589953146574e-03
6.316971324762488127e-02 -9.394303127335884573e-03
6.498721699270310070e-02 -7.115340765567551573e-03
6.343557566762139666e-02 -7.067055722513038152e-03
6.379435113613779462e-02 -6.439928852617932131e-03
6.310311626821615838e-02 -9.207322736846088040e-03
6.253980204635170570e-02 -7.431951565961686379e-03
6.349746758107385758e-02 -7.320486692553557218e-03
6.362702055131083667e-02 -7.170534618872612120e-03
6.308516999939051129e-02 -8.284776263530357898e-03
6.366845844990617898e-02 -7.630230414713640164e-03
6.326311563689371309e-02 -9.074550636666275927e-03
6.336908730079157670e-02 -7.718653680177559040e-03
6.323016204000495022e-02 -6.545525623428971596e-03
6.253562517381891506e-02 -7.931378729892801793e-03
6.309016371641992804e-02 -7.420968546831191448e-03
6.339562971723697316e-02 -9.476762984334308193e-03
6.273677179238912327e-02 -6.525994732417453315e-03
6.430952141044862791e-02 -7.928854579581368078e-03
6.309728482532026006e-02 -7.049355069877791258e-03
6.226718650009252509e-02 -7.498708974211579226e-03
6.410851396173719574e-02 -8.689512850132322108e-03
6.334888544165548363e-02 -6.663000390325871103e-03
6.448246215561148631e-02 -7.154574769992455563e-03
6.341284395862931134e-02 -7.593253647607225987e-03
6.310197203753256656e-02 -7.310902823657081107e-03
6.349512653894753833e-02 -6.309194231012754672e-03
6.280896874700955812e-02 -7.346035580170121038e-03
6.337232453160362988e-02 -6.794057497367167464e-03
6.428661147447814472e-02 -7.887581294572218460e-03
6.361031005463699262e-02 -8.426520391477926308e-03
6.400607841139732690e-02 -7.323964763701854008e-03
6.415904639720401703e-02 -7.463927729671054889e-03
6.345972154517573460e-02 -7.524335060094547445e-03
6.399168597798837732e-02 -8.480891287172415138e-03
6.183283849910301000e-02 -7.935953667829939717e-03
6.363424379298729394e-02 -7.305147620957144761e-03
