k1 k2 k3 k4 k5
6.404159608813506099e-02 -7.313881522272677738e-03 2.836497152108513609e-03 -2.688063768317150437e-04 2.012895443995049716e-04
6.295092436023649873e-02 -1.000162656818132101e-02 2.246402507502007206e-03 -5.790076044141917455e-04 -8.411206595936443486e-04
6.321695763941281854e-02 -9.282704915801215373e-03 3.207880151060840679e-03 -6.039742085151150741e-04 -3.000929528239743016e-04
6.411407569852919930e-02 -8.840358858032901224e-03 3.510391974715407204e-03 -1.158597744623859893e-03 5.111345503488323727e-04
6.375955544726777391e-02 -1.006849453327295085e-02 9.847134206528301847e-04 -5.997990003250575075e-04 -1.070615108335198906e-03
6.276040507110788869e-02 -9.696205176019989658e-03 1.615732820734350206e-03 -1.496057568791092640e-03 6.423312366207467594e-04
6.349871844879845240e-02 -9.939432496758132674e-03 1.468795825291732693e-03 -2.336101939499901636e-05 -1.285530455269870420e-03
6.418773095769633730e-02 -8.644057686554795783e-03 1.107122024864209964e-03 -8.374025492394882031e-04 -1.277619767393767258e-03
6.378886402428521341e-02 -8.860092512958203659e-03 3.857784883495724015e-04 -1.744657886644990219e-03 9.352185801718426728e-04
6.284930523286214044e-02 -9.505423753677202936e-03 1.664519702119268696e-03 -7.198864197842380630e-04 1.075037766814918028e-04
6.469658624330451580e-02 -8.396575628483241016e-03 2.327605676256741529e-03 -2.343353207842027719e-03 2.446799320577619508e-04
6.310980114259034934e-02 -9.461555062877227695e-03 1.673191635107124098e-03 -4.155338626440630012e-04 9.468618194845290770e-04
6.393891533873452548e-02 -8.996751919672335562e-03 2.479519419157610871e-03 -1.788056707508492438e-03 -1.281923339799401207e-04
6.394147886054898922e-02 -9.349977710202558856e-03 3.284192891246290325e-03 -7.705683900880305748e-04 9.157272431621066300e-04
6.287674726751066312e-02 -1.043228811884402973e-02 1.683529005248485255e-03 -1.275421065584453340e-03 -1.766553360055267419e-04
6.332519183080642655e-02 -7.249802882802774961e-03 2.505868630601246205e-03 -7.511639133533504209e-04 -4.852883122587192677e-05
6.429278082870654165e-02 -8.661083052074469713e-03 9.657036895268644727e-04 -6.662420733763718683e-04 -6.753235405597968199e-04
6.283552155247143500e-02 -8.745600383651436216e-03 4.506412762814715478e-04 3.726496681625696139e-04 1.544658891871358852e-03
6.352520735200542501e-02 -1.033170546148531876e-02 2.176026474753539608e-03 6.815446305560857176e-05 8.698335892908665157e-04
6.410563731446869418e-02 -8.598475075570322090e-03 7.807890108399162532e-04 -2.587150386233430521e-03 -1.391605108194013396e-03
6.358183604743072870e-02 -7.773370454873168578e-03 3.649854817697195664e-03 -1.232779671706318858e-03 -5.627383026994559057e-04
6.396764975260832431e-02 -8.738925739529140868e-03 2.905995315198167672e-03 -4.450587350379175966e-04 -9.794727279077708459e-06
6.451232884630489495e-02 -8.610153171498990954e-03 8.767998657293885056e-04 -1.559620655005033996e-04 1.228995676098354473e-03
6.419394116056120758e-02 -9.896021281693478944e-03 2.811312005041782802e-03 -1.429601569810923234e-04 6.963415792766991519e-05
6.352886659937859171e-02 -1.080814518023444359e-02 2.644495982143710289e-03 -8.278300127219917481e-04 2.733733010367445093e-04
6.279277882207021100e-02 -9.293002066150440887e-03 2.163433101106115863e-03 -6.465138942869236294e-04 4.491279322254015938e-04
6.355592471156723544e-02 -9.068051086286554874e-03 1.916446317140801936e-03 -1.568123211102778747e-03 3.577422645223149456e-04
6.294522165307223083e-02 -7.932543356580015748e-03 1.889604409020056996e-03 -5.189762052512647550e-05 -3.620908243975734520e-04
6.379753594967552122e-02 -9.841907575074068659e-03 2.584537200485098607e-03 -1.979679195447670015e-04 -1.440310564945479488e-04
6.436021318705073546e-02 -9.274222217615743502e-03 4.498721388680737565e-04 -1.398234389836328084e-03 -9.923800658011294740e-05
6.330590999789062479e-02 -7.922807680037322053e-03 1.582456052627939647e-03 -5.738555800949007857e-04 -6.800377836350263161e-04
6.384814315869721812e-02 -9.801930743984874073e-03 2.807196945946749400e-03 -1.312666372695753259e-04 8.777146649719957949e-04
6.258677722420968870e-02 -1.052844019090198868e-02 1.306261745449649458e-03 -2.207578352259070842e-03 -1.031479234418833379e-03
6.361534346425959385e-02 -9.725792083735917970e-03 2.548342518514407073e-03 -6.193565447532439761e-04 8.774114605988869720e-05
6.403619498649315567e-02 -9.416339585173932880e-03 3.099469467036347625e-03 -8.282212654854570477e-05 -1.415950618873770828e-03
6.319335481763388440e-02 -9.857006379884486469e-03 8.916658440243085959e-04 2.395559031197758149e-04 1.314269494301092966e-03
6.485493623886007253e-02 -8.378294391449769840e-03 1.564291613769808187e-03 -6.365709945103936729e-05 8.701525173468172003e-04
6.412814116329643155e-02 -8.884804743280863559e-03 2.248144341507690713e-03 -3.533150684451313861e-04 4.074921904878847645e-04
6.399332705490293205e-02 -8.901557164923440402e-03 8.174396381328830063e-04 1.520265064190173820e-04 9.296001209250920327e-04
6.424090655866249167e-02 -8.442886759490147996e-03 2.873783572542268350e-03 -1.069393516885605577e-03 7.746148478478820376e-04
6.380240249546850761e-02 -7.911873297412150285e-03 3.564583258096165608e-03 2.942463239081344328e-04 3.154030614231639884e-05
6.319465284053121801e-02 -9.738335804114456318e-03 3.179033097377520489e-03 -1.169298182353145643e-04 3.080772633808903649e-04
6.286224219575020644e-02 -9.687719418392387594e-03 2.667912311672876458e-03 -1.141673458070896485e-04 8.388472102277277909e-04
6.386354234592783730e-02 -9.608283880872606209e-03 1.569781997091831971e-03 -1.026046445476019864e-03 1.683677246991505116e-04
6.346922068657331883e-02 -1.007555607809375309e-02 2.721674941520910163e-03 -3.262267289138864879e-04 -5.842534406834409832e-05
6.317537167065120918e-02 -1.025625871977008108e-02 1.564491967970774167e-03 -1.605048572786149652e-04 2.115595798584807286e-04
6.345225658805850322e-02 -7.924341692408423676e-03 2.074608943353178914e-03 -3.076577050500656219e-03 -7.534882151486177460e-04
6.375457360410818897e-02 -8.693449715216766682e-03 3.252935551948388238e-03 1.267790166361359994e-03 -8.823295386242713256e-05
