,sweep,permcount,dH,pdeconfined,pconfined,action,wilson,acceptance,nmat,ndec,ntime,ntau,udtau,adtau,temperature,pdec,pdec_var,pcon,pcoeff,utau,atau,mdtu,freq
0,10.0,0.0,-0.582209616910404,0.196740473172068,0.0,35.4819887204211,0.07553945072540419,0.8,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,10.0,
1,20.0,0.0,0.361596458446002,0.200656090437192,0.0,36.0114740730547,0.05388048013417429,0.8,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,20.0,10.0
2,30.0,0.0,0.140018057743873,0.197062386569597,0.0,36.9718969232139,0.05568210595224871,0.8,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,30.0,10.0
3,40.0,0.0,0.02394405968152569,0.19717689915361,0.0,35.8228190465703,0.07348112496018396,0.825,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,40.0,10.0
4,50.0,0.0,0.196330366026814,0.20125848038829,0.0,35.7459145397381,0.03803160186242859,0.8,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,50.0,10.0
5,60.0,0.0,399.234917097849,0.202969619644032,0.0,35.8522454284851,0.06647433266715982,0.8,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,60.0,10.0
6,70.0,0.0,-0.571770949110942,0.197712425655258,0.0,35.597435001692,0.09326245932243499,0.771428571428571,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,70.0,10.0
7,80.0,0.0,-0.03310119139132439,0.203793828414983,0.0,35.8163484969545,0.05120337501338531,0.75,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,80.0,10.0
8,90.0,0.0,0.688607514526666,0.203657224429091,0.0,36.1926537124703,0.09751284614291861,0.733333333333333,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,90.0,10.0
9,100.0,0.0,0.134939316620148,0.200308533925266,0.0,36.6966925240495,0.06337333371844107,0.74,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,100.0,10.0
10,110.0,0.0,-0.448845211922162,0.203387324576922,0.0,35.8690362776066,0.08689269026513087,0.745454545454545,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,110.0,10.0
11,120.0,0.0,3.89435515993682,0.200336883857883,0.0,35.9243003854229,0.06697195170017169,0.741666666666667,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,120.0,10.0
12,130.0,0.0,4.0702970386119,0.205205274945701,0.0,36.20094847099,0.06167708357535985,0.707692307692308,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,130.0,10.0
13,140.0,0.0,0.03609734026395017,0.199867565062782,0.0,35.9562637910935,0.06027973397976408,0.707142857142857,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,140.0,10.0
14,150.0,0.0,-0.0005410740523075219,0.197189589734915,0.0,35.5601951074494,0.04624135690132014,0.72,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,150.0,10.0
15,160.0,0.0,0.006720499332004692,0.196024692442625,0.0,35.1127160321838,0.08083159009340697,0.725,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,160.0,10.0
16,170.0,0.0,-1.47329692928179,0.195845329878778,0.0,35.5184082769833,0.08394810417669399,0.735294117647059,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,170.0,10.0
17,180.0,0.0,-0.01263655231377925,0.197989163979353,0.0,36.0353821480861,0.06145013272955128,0.738888888888889,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,180.0,10.0
18,190.0,0.0,0.03653038580887369,0.198001744421662,0.0,35.6683268951609,0.05079596858046292,0.736842105263158,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,190.0,10.0
19,200.0,0.0,-0.302511771609716,0.195538106255178,0.0,35.8046624205197,0.05189182904928428,0.745,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,200.0,10.0
20,210.0,0.0,1.35939838354534,0.201562808795799,0.0,35.5844969412729,0.05780267976928303,0.738095238095238,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,210.0,10.0
21,220.0,0.0,-0.242352139342984,0.199816070592482,0.0,36.5071704465252,0.09771525782531902,0.745454545454545,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,220.0,10.0
22,230.0,0.0,-0.10231028407361,0.204495553711582,0.0,35.7279669491112,0.05834247348585602,0.747826086956522,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,230.0,10.0
23,240.0,0.0,0.08947630230977666,0.201390943836982,0.0,35.8318225667554,0.04761179274570913,0.75,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,240.0,10.0
24,250.0,0.0,0.09461231866589515,0.196468973727353,0.0,36.0752839441759,0.03885969892262445,0.756,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,250.0,10.0
25,260.0,0.0,0.625506510892592,0.204055957401885,0.0,36.3182671840425,0.07367909660727195,0.761538461538461,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,260.0,10.0
26,270.0,0.0,0.822360452100838,0.200200757275296,0.0,36.2281300788767,0.09264172052139978,0.759259259259259,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,270.0,10.0
27,280.0,0.0,0.02350073620254989,0.1950233610118,0.0,36.2052015965687,0.0445003063365785,0.760714285714286,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,280.0,10.0
28,290.0,0.0,0.609931261624297,0.194822876206323,0.0,35.8573829892644,0.07356316610004929,0.768965517241379,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,290.0,10.0
29,300.0,0.0,2.6224345986011,0.19828306502193,0.0,36.0414208210942,0.03598512455228215,0.766666666666667,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,300.0,10.0
30,310.0,0.0,-0.121581207407871,0.196917064068526,0.0,36.2712903493838,0.04883048059745951,0.767741935483871,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,310.0,10.0
31,320.0,0.0,-0.445904953601712,0.203893599499388,0.0,35.9014892015364,0.06946624468956052,0.765625,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,320.0,10.0
32,330.0,0.0,0.003342524239997147,0.199443181462509,0.0,36.5151655604091,0.06803715511549624,0.766666666666667,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,330.0,10.0
33,340.0,0.0,-0.07028057127536158,0.2022235379583,0.0,36.5161547285641,0.05200393954168866,0.761764705882353,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,340.0,10.0
34,350.0,0.0,0.06317251120344736,0.197997666768626,0.0,35.2603100440846,0.09049109434778295,0.762857142857143,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,350.0,10.0
35,360.0,0.0,0.09790018725470873,0.204144111697686,0.0,35.789303364951,0.05027396301450977,0.758333333333333,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,360.0,10.0
36,370.0,0.0,74.2292277402012,0.202920985285338,0.0,35.8330897793332,0.04378208005875724,0.759459459459459,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,370.0,10.0
37,380.0,0.0,0.956471024044731,0.203667975689396,0.0,36.5427362293634,0.07091435135111548,0.760526315789474,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,380.0,10.0
38,390.0,0.0,-0.01152768820247729,0.202113354707409,0.0,36.0588525981754,0.07653345282996687,0.761538461538461,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,390.0,10.0
39,400.0,0.0,0.369723543411965,0.199105364934343,0.0,35.9273762805866,0.05588555749058985,0.76,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,400.0,10.0
40,410.0,0.0,0.50792456113777,0.196978731975105,0.0,36.0954394111687,0.07197986855785604,0.763414634146341,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,410.0,10.0
41,420.0,0.0,-0.07038626404028037,0.19858557910107,0.0,35.9233017393791,0.06376111918971644,0.769047619047619,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,420.0,10.0
42,430.0,0.0,0.371917968852358,0.197033084990602,0.0,36.7952041173976,0.0771546247046876,0.769767441860465,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,430.0,10.0
43,440.0,0.0,-0.001194883217976894,0.19637478310949,0.0,35.6129932041101,0.06183244082698627,0.775,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,440.0,10.0
44,450.0,0.0,-0.09325068778343848,0.199398866552705,0.0,35.7039045873584,0.0876809912080897,0.78,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,450.0,10.0
45,460.0,0.0,0.001478125726862345,0.198087596269507,0.0,36.0317151781022,0.07632297683751822,0.780434782608696,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,460.0,10.0
46,470.0,0.0,0.01734841965298983,0.198981081227408,0.0,35.951870960786,0.05968383593206515,0.778723404255319,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,470.0,10.0
47,480.0,0.0,-0.04309647027912433,0.204142841538912,0.0,36.1364204430172,0.03624147435111637,0.78125,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,480.0,10.0
48,490.0,0.0,0.08431061671944917,0.197216079396476,0.0,35.401226994466,0.07523522927074905,0.775510204081633,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,490.0,10.0
49,500.0,0.0,0.172667659357103,0.201726065681184,0.0,35.583565114476,0.08251915971983692,0.774,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,500.0,10.0
50,510.0,0.0,0.390738180736662,0.200293997931081,0.0,35.2041207162123,0.07948661224880081,0.774509803921569,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,510.0,10.0
51,520.0,0.0,-0.101944844198442,0.203911817999939,0.0,36.4608498573654,0.05699564296285885,0.776923076923077,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,520.0,10.0
52,530.0,0.0,0.587267682200036,0.194836641307419,0.0,36.2671262653987,0.03995243413679983,0.775471698113208,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,530.0,10.0
53,540.0,0.0,-0.706117168436322,0.195224731232227,0.0,35.7550679648174,0.06748626927910166,0.774074074074074,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,540.0,10.0
54,550.0,0.0,1.81504357569429,0.197533230390357,0.0,35.9196712289503,0.07032871059880812,0.769090909090909,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,550.0,10.0
55,560.0,0.0,0.0630016122267989,0.202032983152013,0.0,35.7923163179041,0.05504062587872015,0.769642857142857,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,560.0,10.0
56,570.0,0.0,-0.08765307423163904,0.20206039533756,0.0,35.6909537041387,0.0705988533080009,0.770175438596491,16,16,24,400,0.0025,0.0012,0.29,0.2,0.005,0.005,50000000.0,1.0,0.48,570.0,10.0
