weight logl k1 k2 k3 k4 k5
0.000000000000000000e+00 -2.578895304153330997e+07 5.483856631282153504e-01 7.806002645656791028e-01 1.261294141807910441e-01 9.187652335313075680e-01 8.011257437350440824e-01
0.000000000000000000e+00 -2.578895304153330997e+07 9.188109614902705280e-01 8.351995461102446061e-01 8.802738131938842026e-01 2.902815864707085636e-01 9.775509548525469494e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.797315831252451535e-01 2.562352940675397539e-01 4.632715491263311725e-01 9.892674609202467551e-01 9.691284517558278466e-01
0.000000000000000000e+00 -2.578895304153330997e+07 7.025317218791149454e-02 4.568802651958092653e-02 4.953615722138905442e-01 8.974102621437002325e-01 1.071433892920167219e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.742475742758577528e-02 9.759494444975737037e-01 7.535216364017760515e-01 8.528173803381645657e-01 4.163815619995993034e-01
0.000000000000000000e+00 -2.578895304153330997e+07 8.813091782396668128e-01 6.822039352899672560e-01 5.215049261165005667e-03 9.873671038101596853e-01 4.643565328418689520e-01
0.000000000000000000e+00 -2.578895304153330997e+07 1.705693269581622928e-01 9.346045983930895140e-02 8.975320115577071212e-01 3.590267359510981304e-01 8.136219031150352388e-01
0.000000000000000000e+00 -2.578895304153330997e+07 5.970039515694826049e-01 6.661596712946293852e-02 5.957799217992980623e-01 3.048322410753376843e-01 9.347275304647073568e-02
0.000000000000000000e+00 -2.578895304153330997e+07 1.671405487775846632e-01 6.991464596323102576e-01 9.036577513540399176e-01 6.344254298239241363e-01 9.346967739593737834e-01
0.000000000000000000e+00 -2.578895304153330997e+07 9.264612482733267651e-01 7.042572797590703759e-01 2.273826182638272186e-03 9.432167980801704488e-01 3.629218198817386609e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.942410330101807858e-02 3.621419962486727151e-02 2.027966730779937610e-01 7.177691854777690228e-01 9.940516578081638466e-01
0.000000000000000000e+00 -2.578895304153330997e+07 4.116233678986784827e-01 2.849936852770578177e-01 4.489543069642465412e-02 2.336788707565916612e-01 9.111890818447343499e-02
0.000000000000000000e+00 -2.578895304153330997e+07 8.433012618689110784e-01 2.900195311484007332e-01 6.645344568067357294e-02 8.943742678442613281e-01 1.485077056549807262e-01
0.000000000000000000e+00 -2.578895304153330997e+07 6.911069261436690869e-01 6.489072659865023907e-01 3.518931091425756552e-01 7.949821360824771421e-01 1.144594295759117086e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.376398110785545637e-01 4.316696155603240159e-01 5.054798419667821952e-01 2.561969006581031882e-01 1.556670030232273350e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.740528744200477540e-01 8.831535605323320715e-01 5.276913558053312192e-01 2.447383883013714012e-01 9.185969767683763720e-01
0.000000000000000000e+00 -2.578895304153330997e+07 7.466487608103100637e-02 4.201180998584996829e-02 1.360378717726367093e-01 3.611263226890071287e-01 9.244716307506184449e-01
0.000000000000000000e+00 -2.578895304153330997e+07 5.351489239059736835e-02 9.435346541366947948e-01 8.784379995767069849e-01 3.798687320611596752e-01 4.071269592474136001e-01
0.000000000000000000e+00 -2.578895304153330997e+07 4.709242068247648794e-01 8.699628949288036317e-01 3.748932493424805834e-01 6.155877292581557469e-02 9.294408026243206056e-02
0.000000000000000000e+00 -2.578895304153330997e+07 7.803478294394777803e-01 2.564111054701940784e-01 4.870236166825318014e-01 9.798136559897896447e-01 3.179182693264018811e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.671840720346852827e-02 1.281542995622803049e-01 8.603613746871572321e-01 1.464651472563335277e-01 4.116475358120623707e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.531551178561844972e-01 9.569089133190367136e-02 6.655479727615515317e-01 1.980422082054257293e-01 4.634416006082686668e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.296647992111285896e-01 5.612163310235853686e-01 8.949006270358026427e-01 6.322391771067962241e-01 1.679828015618819448e-01
0.000000000000000000e+00 -2.578895304153330997e+07 4.255126069924953791e-01 9.824348959157721550e-01 1.255143304329892073e-01 2.604473332275150099e-01 8.186591544632800810e-01
0.000000000000000000e+00 -2.578895304153330997e+07 6.863704104866931166e-01 8.219214880398096890e-01 2.628179791771740881e-01 4.919260143260010265e-01 9.110381762917173498e-01
0.000000000000000000e+00 -2.578895304153330997e+07 1.628718160792896885e-02 4.903800014629092763e-01 5.818014548887012749e-01 7.255546863349718878e-01 9.331063803226760101e-01
0.000000000000000000e+00 -2.578895304153330997e+07 8.182776962101887541e-01 8.393043486837016287e-01 8.136887990351608924e-01 8.876583788803175112e-01 6.576154864946226475e-02
0.000000000000000000e+00 -2.578895304153330997e+07 3.800536489880160795e-01 1.337886045562527437e-01 7.864754903924747742e-01 9.206525887107708250e-02 7.767718408638912830e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.144558686842571227e-01 8.986574114034813210e-01 2.528273723626623948e-01 3.963760468629722311e-01 9.951829266788959627e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.220326908936849364e-01 6.203524208318211830e-02 9.714976412048721421e-01 9.641350806287136699e-01 9.655973783266195154e-01
0.000000000000000000e+00 -2.578895304153330997e+07 8.095744376652688201e-01 6.076200061943314301e-01 3.209796417673183022e-02 5.571239414561612868e-03 9.103777193277931001e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.389300229594988112e-01 2.894489238563111577e-01 7.918357884500714095e-01 3.848442141872596700e-01 8.827628333111852132e-01
0.000000000000000000e+00 -2.578895304153330997e+07 7.630091085072846502e-01 7.819685716273359066e-01 3.036260950814754223e-01 9.872278779814013250e-01 3.654039025015015651e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.785998437571990394e-02 3.164843570289075370e-01 1.364341148803809300e-01 4.008781915996761924e-01 7.389819892157454273e-01
0.000000000000000000e+00 -2.578895304153330997e+07 6.253752142576545214e-01 8.310515509959182090e-01 1.732574683795357062e-01 3.059349331685342621e-01 7.462283999242513843e-01
0.000000000000000000e+00 -2.578895304153330997e+07 7.231565411695183299e-01 3.730244167878832284e-01 8.537149041138381023e-01 2.397472184079307844e-02 9.230105383489534132e-01
0.000000000000000000e+00 -2.578895304153330997e+07 1.592489087909979562e-01 9.980338888420889898e-01 6.453042398167241345e-02 5.040414943617932408e-02 1.511592917894740706e-01
0.000000000000000000e+00 -2.578895304153330997e+07 7.498820124723672986e-01 5.539462621474843251e-01 6.054189409214214557e-01 2.647558234189040238e-01 8.264134128368280097e-01
0.000000000000000000e+00 -2.578895304153330997e+07 5.826955198295283855e-01 6.407967489937460570e-01 1.141632780826906668e-01 8.175391695148308546e-01 2.022948356357214816e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.667468777885407594e-01 9.666453149976361736e-01 4.835095438701441095e-01 5.541975135689182208e-01 3.197156009745039107e-02
0.000000000000000000e+00 -2.578895304153330997e+07 5.516465544532409560e-01 6.205533122807854740e-01 4.146126816008034455e-01 9.110019743828228211e-01 1.580299116931105363e-02
0.000000000000000000e+00 -2.578895304153330997e+07 6.875299641469039269e-01 2.985805057658122985e-01 2.045008098779631522e-01 8.744839573246301345e-01 3.772643161725124372e-01
0.000000000000000000e+00 -2.578895304153330997e+07 8.791099435285556485e-01 1.278149852052691271e-01 1.614475340391863245e-02 6.884257343069793977e-01 2.881439262211106245e-01
0.000000000000000000e+00 -2.578895304153330997e+07 6.352954533459694852e-01 5.945594190781086086e-01 9.971722548821374543e-01 2.138021180591480608e-01 2.039124223644510625e-01
0.000000000000000000e+00 -2.578895304153330997e+07 9.774673755181401136e-01 8.549421816479328973e-01 1.201228888882535095e-01 9.642984163243190077e-01 2.087696484310815892e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.481126290185775574e-01 7.211268214752122319e-01 9.480918767650081680e-02 2.482569329248374146e-02 5.149456407535168978e-03
0.000000000000000000e+00 -2.578895304153330997e+07 8.381304518767362932e-01 9.545178574248143200e-01 1.118959836796602492e-01 5.894416093268668444e-01 8.590792343770807804e-01
0.000000000000000000e+00 -2.578895304153330997e+07 1.662639852767551218e-01 5.064175620703510461e-01 2.903543347067650826e-01 2.728102470812933111e-01 3.882909040841638904e-01
0.000000000000000000e+00 -2.578895304153330997e+07 8.793975462378086361e-01 4.499111547504133224e-01 9.615261507668827479e-01 2.427811423744805630e-01 4.926286188379281894e-01
0.000000000000000000e+00 -2.578895304153330997e+07 9.477866985840410763e-03 6.969976254819743033e-02 7.002593173655559111e-01 9.252095981463770435e-01 4.160814143584790070e-01
0.000000000000000000e+00 -2.578895304153330997e+07 3.462047421642937550e-01 9.862911669755450861e-01 8.382466432013790936e-02 9.723559647030135533e-01 8.714878188545014392e-01
0.000000000000000000e+00 -2.578895304153330997e+07 5.731712311512660030e-02 4.623864369589369971e-01 7.584687615240022218e-01 8.741614570583577937e-01 1.797372669155667957e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.819316761359728085e-01 3.268579113599345831e-02 2.038872633090067499e-01 4.589966844402031398e-01 6.823166667240925243e-01
0.000000000000000000e+00 -2.578895304153330997e+07 2.568228923196427260e-01 1.275707388377667062e-01 1.654693892316322357e-01 3.114099417607518738e-01 9.905920036767951187e-01
