,sweep,permcount,dH,pdeconfined,pconfined,action,wilson,acceptance,nmat,ndec,ntime,ntau,udtau,adtau,temperature,pdec,pdec_var,pcon,pcoeff,utau,atau,mdtu,freq
0,1.0,0.0,-0.117313887923956,0.25497289666735,0.0,48.0313679647302,0.01857679338899888,1.0,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,1.0,
1,2.0,0.0,0.397296440962236,0.25129236639763,0.0,47.9065016406584,0.01542006302149971,1.0,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,2.0,1.0
2,3.0,0.0,0.303886139998212,0.25129236639763,0.0,47.9065016406584,0.01542006302149971,0.666666666666667,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,3.0,1.0
3,4.0,0.0,2.76583595224656,0.25129236639763,0.0,47.9065016406584,0.01542006302149971,0.5,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,4.0,1.0
4,5.0,0.0,-0.128622831893153,0.244624255159651,0.0,48.0240343791473,0.02152703465628423,0.6,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,5.0,1.0
5,6.0,0.0,0.172947540006135,0.253486213142674,0.0,47.950790177264,0.01499462158115399,0.666666666666667,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,6.0,1.0
6,7.0,0.0,0.499817491159774,0.248934864748195,0.0,47.7700422382645,0.01509686679148103,0.714285714285714,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,7.0,1.0
7,8.0,0.0,-0.42244465299882,0.253387950753332,0.0,47.8653902572202,0.019637397522229,0.75,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,8.0,1.0
8,9.0,0.0,-0.483151474618353,0.250716519148652,0.0,47.9664265410868,0.0226854041595663,0.777777777777778,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,9.0,1.0
9,10.0,0.0,0.560612611006945,0.252231171399456,0.0,47.8820967518958,0.01397431439115564,0.8,64,64,32,800,0.00125,0.00125,0.29,0.25,0.005,0.005,10000000.0,1.0,1.0,10.0,1.0
