weight logl k1 k2
0.000000000000000000e+00 -1.356683136792091653e+07 7.662560925316108662e-02 1.101291209315672370e-01
0.000000000000000000e+00 -1.356683136792091653e+07 9.498271519119184658e-01 5.322176926545207909e-02
0.000000000000000000e+00 -1.356683136792091653e+07 3.953264969760750258e-02 2.911827044456027913e-03
0.000000000000000000e+00 -1.356683136792091653e+07 9.408910514151225257e-01 4.683733807704371088e-03
0.000000000000000000e+00 -1.356683136792091653e+07 9.197589625476300101e-01 1.142462740320244752e-01
0.000000000000000000e+00 -1.356683136792091653e+07 9.882961606555784595e-01 1.677116063464429985e-01
0.000000000000000000e+00 -1.356683136792091653e+07 8.135250445563516619e-01 2.436583827417293513e-03
0.000000000000000000e+00 -1.356683136792091653e+07 8.897755563715308291e-01 2.729655597446856152e-02
0.000000000000000000e+00 -1.356683136792091653e+07 9.247844707940100495e-01 6.026170748596881843e-02
0.000000000000000000e+00 -1.356683136792091653e+07 8.619192485438705864e-01 3.183799326344705083e-02
0.000000000000000000e+00 -1.356683136792091653e+07 2.814874276454859547e-02 5.327281586601384511e-02
0.000000000000000000e+00 -1.356683136792091653e+07 9.978761759328350633e-01 9.337175942818221053e-02
0.000000000000000000e+00 -1.356683136792091653e+07 9.592712451915468286e-01 1.223813769676762586e-02
0.000000000000000000e+00 -1.356683136792091653e+07 9.469034443079648034e-01 1.465054550938127420e-01
0.000000000000000000e+00 -1.356683136792091653e+07 1.478568942146522014e-01 3.576337718859978754e-02
0.000000000000000000e+00 -1.356683136792091653e+07 1.243418532680906630e-02 1.032569555206910294e-01
0.000000000000000000e+00 -1.430422439889691595e+05 9.492428209750380930e-02 1.139701786504663250e-01
0.000000000000000000e+00 -1.384941529123162618e+05 3.222440210588850551e-02 2.023423354771912708e-01
0.000000000000000000e+00 -1.326549205625559553e+05 1.828867649625739444e-01 5.470167803375813875e-02
0.000000000000000000e+00 -1.325941727374838665e+05 8.921158048393063034e-02 1.728416438941116073e-01
0.000000000000000000e+00 -1.323862898708198045e+05 7.574389234482636901e-02 1.929946390922480104e-01
0.000000000000000000e+00 -1.313407799587339978e+05 5.515072583755442626e-02 2.338222928121888033e-01
0.000000000000000000e+00 -1.303283771399501857e+05 1.079936755674271165e-01 1.708168663248565977e-01
0.000000000000000000e+00 -1.300788053221922164e+05 8.906134823819544799e-02 2.005292437105004044e-01
0.000000000000000000e+00 -1.294922848571899813e+05 1.937451962385128290e-02 3.191166981310845641e-01
0.000000000000000000e+00 -1.294860577920410142e+05 2.316387403751130059e-02 9.947609198184725887e-01
0.000000000000000000e+00 -1.286074683660310693e+05 1.765043713533300807e-01 9.761986393437638299e-02
0.000000000000000000e+00 -1.274969979663081322e+05 1.051631111602868707e-02 3.819291069238570646e-01
0.000000000000000000e+00 -1.273800528479831410e+05 1.631819382317113432e-01 1.306975515317652103e-01
0.000000000000000000e+00 -1.271812098178733286e+05 9.163038260152900349e-02 2.409456970078067695e-01
