k1 k2 k3 k4
7.860725120281905620e-02 -1.966545155167707948e-02 5.442006176293007202e-03 -2.649819108027667847e-03
8.004492651963410199e-02 -1.878317818986625920e-02 7.111586113377255103e-03 -2.602572652930082442e-03
7.971415526670350138e-02 -1.830340095664935440e-02 7.933215570491716773e-03 -2.940955267893508029e-03
7.995326965425011978e-02 -1.805962761694919483e-02 7.185352741068642968e-03 -2.656462587641600370e-03
7.843809363608153506e-02 -1.978052675175234754e-02 6.202027968533890823e-03 -4.122195533003927825e-03
7.962948266488353855e-02 -1.888349134272430951e-02 6.427993621866565088e-03 -3.158657312150939256e-03
7.866402926842544496e-02 -1.834415322241422786e-02 5.733002556517249881e-03 -2.069840617043780528e-03
7.746941162616025056e-02 -2.036793611212889266e-02 6.201968061037052560e-03 -3.141080382018157646e-03
8.089318563892819447e-02 -1.921328431108748624e-02 6.717913758522792156e-03 -1.108049030156418868e-03
7.964701092797221715e-02 -1.945913605196261664e-02 6.684115842785429140e-03 -3.677578868838432546e-03
7.970669629500845565e-02 -1.855403156906085260e-02 6.540543382441504905e-03 -2.432958532385731676e-03
7.977346971693130562e-02 -1.901607589576885526e-02 6.354601701327178276e-03 -2.992384767054753758e-03
7.951605317820040209e-02 -1.882097216653123850e-02 5.461525721649748699e-03 -2.910018516599097160e-03
7.952555850919554303e-02 -1.925745899068777300e-02 5.934453992357285879e-03 -4.244880450579496811e-03
7.802408791067136362e-02 -1.946828185079771401e-02 6.711804573487453740e-03 -2.114315530056726233e-03
8.020641070753881108e-02 -1.852352486420018318e-02 7.308929291868798694e-03 -2.249266124099841280e-03
7.901505151398280358e-02 -2.024021041517569397e-02 6.168367693576010113e-03 -1.526108306261028669e-03
8.041536009375033212e-02 -1.980675812392859725e-02 6.100078167841568866e-03 -2.883323627228637220e-03
8.030390792657710053e-02 -1.939598324590922906e-02 5.531722421583645799e-03 -4.013038437628110855e-03
7.967007944639822870e-02 -1.879228172528127350e-02 6.018668710676286504e-03 -3.305566087826353194e-03
7.926064287035636258e-02 -1.894371850645371058e-02 7.021239442644280904e-03 -3.351823310962315228e-03
7.889331390719117598e-02 -2.018247629918684671e-02 6.347879563983166440e-03 -2.290224216290603909e-03
7.965237777458483714e-02 -1.912046160928755623e-02 6.737468023511938853e-03 -3.082493836332703130e-03
7.935117029290114643e-02 -1.904601745378002586e-02 7.546879820773705339e-03 -2.422119509492892675e-03
7.883959050842581640e-02 -1.794512422265998053e-02 4.992916080909723386e-03 -4.004148794954406898e-03
7.899142837722136767e-02 -1.960561211567685147e-02 5.939558680594897444e-03 -2.771234232915642526e-03
7.946941242652888482e-02 -1.898183679604456553e-02 6.763659534820026797e-03 -1.624208761892287356e-03
7.790932873525927005e-02 -2.003346892760192455e-02 6.574716529398422216e-03 -3.748752663710025468e-03
8.091214991145009860e-02 -1.984970688410794826e-02 6.760452898296215318e-03 -2.688143093052888788e-03
7.856202581603452528e-02 -1.899002373992660087e-02 6.885389217840806597e-03 -2.325334295887673819e-03
8.102860210554815867e-02 -1.758980778115334931e-02 7.113538052793799693e-03 -2.970112396954244227e-03
7.987941499575140769e-02 -1.799068735886559522e-02 7.643860357960580165e-03 -1.619147554145397572e-03
7.986951361111366277e-02 -1.995454039220503906e-02 5.438937690005224423e-03 -3.370429535180713421e-03
7.912262569800543321e-02 -1.929622083216227246e-02 5.968967912794623243e-03 -2.775692544425306663e-03
7.886490900318351982e-02 -2.027880209369681275e-02 4.971295909615425224e-03 -2.326849108673575972e-03
7.972159285889590663e-02 -1.787414441735205028e-02 5.076774445982451534e-03 -2.294071764419564063e-03
7.917876049986533049e-02 -1.889981924693087678e-02 6.155796107082320279e-03 -2.369086636195061324e-03
8.005170175086667728e-02 -1.866839822448053410e-02 6.931193101180538330e-03 -2.129396493389917877e-03
7.976862175933571719e-02 -1.761506489431070854e-02 7.014351060011164707e-03 -3.127563282100939701e-03
7.945091999139064498e-02 -1.967104157981763857e-02 6.314771478861169740e-03 -2.655355850169169307e-03
7.929484863549157714e-02 -1.894462905710692091e-02 7.452326354158406163e-03 -3.547380284537021700e-03
7.931389603877223027e-02 -1.923746818956260929e-02 5.467039807783735661e-03 -1.969562456455672961e-03
7.931026209280034323e-02 -1.880644116141118316e-02 5.235722850073981638e-03 -3.258769446736184405e-03
7.968554819839365755e-02 -1.777216405991319248e-02 5.739417874457197755e-03 -4.443957279266358418e-03
7.934411968814775173e-02 -1.916599789222812877e-02 6.076449398326522200e-03 -1.783350857230303621e-03
8.027467077779776305e-02 -1.730569936494801009e-02 7.132274155510806568e-03 -3.922701715330129124e-03
7.913320920846267370e-02 -1.942938146010513012e-02 5.514353160269908072e-03 -2.232553841039264242e-03
7.759679969559257762e-02 -1.814720842312668447e-02 7.793049807778756888e-03 -2.191125604193155940e-03
7.979938582219314736e-02 -1.999959530970993327e-02 6.247048602821880792e-03 -2.199446626099416102e-03
7.762806375580452722e-02 -2.021738732727114407e-02 5.749113132367339452e-03 -2.573054606459915239e-03
7.828751750329862591e-02 -1.790393347733224005e-02 6.048086933420321332e-03 -2.922139666956841131e-03
8.009876133033672074e-02 -1.755806501705443889e-02 6.341425256022811818e-03 -2.598829687946044298e-03
7.919413317729009916e-02 -1.936902031594288365e-02 6.021740811213510680e-03 -4.117006036678111380e-03
7.849743267535136404e-02 -2.048259092321087771e-02 5.470131843694492346e-03 -3.767306954890789483e-03
8.173401610520814042e-02 -1.763400276430152069e-02 5.600507658816256118e-03 -4.386473396097115285e-03
7.971710875092816173e-02 -1.937885745380152347e-02 4.882873333594967002e-03 -2.097263760594797466e-03
7.978165054792210609e-02 -1.893209460453734727e-02 5.147347806303659290e-03 -4.531273446699277119e-03
8.000247553121206390e-02 -1.947477050240650764e-02 7.309750151753391378e-03 -2.077255816103559805e-03
7.917734984622257222e-02 -2.137979060949488086e-02 6.027469096786822189e-03 -2.092198996852909221e-03
8.010614149637643178e-02 -1.839418161454967060e-02 7.140397761852643188e-03 -3.748813250464111402e-03
7.835299778384255398e-02 -1.949311220670180145e-02 5.573630200076701291e-03 -2.645458295367192347e-03
7.950436114862785564e-02 -1.815541617693069987e-02 5.914038438120591823e-03 -2.543902639975254010e-03
8.104943283066975979e-02 -1.765893852905019157e-02 5.285379855270083693e-03 -2.221969634882900446e-03
8.065264580840567077e-02 -1.807601323804661209e-02 5.492606110399964048e-03 -3.234069948959500396e-03
8.099762063835719283e-02 -1.752323796093532837e-02 4.578672453106197304e-03 -2.428099924530149889e-03
8.118321291028302022e-02 -1.730429845509626197e-02 8.294848957690878488e-03 -2.658255577565160621e-03
7.833397783058199115e-02 -2.064918071174631775e-02 5.966614166280553855e-03 -4.381508299345623914e-03
8.098122179397912457e-02 -1.744121432101541913e-02 5.636630669788256220e-03 -3.849757838843781421e-03
8.009755702955326240e-02 -1.833221972005641409e-02 5.459713993119216791e-03 -3.391085790838341274e-03
7.925697382814153591e-02 -1.846172115545229031e-02 6.270631210140417688e-03 -3.306807517484550152e-03
7.912744177678290858e-02 -1.969985738070192949e-02 7.590739057221768116e-03 -1.363830679779617916e-03
8.058384099446291859e-02 -1.995687384769197215e-02 4.892003118554949515e-03 -2.266478848891820275e-03
8.033869961053169417e-02 -2.033729340051328160e-02 6.836971657348284159e-03 -2.639389835764491266e-03
7.972648064996992745e-02 -1.918241535518129537e-02 7.276438689176129015e-03 -3.695138333171615885e-03
7.976152187028195950e-02 -1.852178955095909463e-02 6.861166897379117335e-03 -4.888050043220154572e-03
7.951154654593137194e-02 -1.886199068967234216e-02 7.112785860514156400e-03 -9.719740650628305723e-04
8.004156520392718965e-02 -1.881579782991320282e-02 5.836969006493358814e-03 -2.286298356883681437e-03
7.909004433517316524e-02 -1.988690355969560675e-02 6.260368893232517995e-03 -1.463173195032946294e-03
8.030168593230430085e-02 -1.770042228952459218e-02 7.125181442075786964e-03 -3.421383247217996137e-03
7.886317362874384340e-02 -1.980772215535961389e-02 6.351389546397204211e-03 -3.244085156978451789e-03
7.871983725486372818e-02 -2.059481026183472563e-02 5.240163592209384769e-03 -3.428456149806122233e-03
