,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23
3253,-0.563689076611722,1.16853628893135,-1.62524763181396,-2.27234678302667,0.508872708475125,-1.32713895075474,-2.79888202385333,1.66571230788725,-0.353109927472757,-2.5158712520351,1.37440605460554,-0.932577080603621,0.266943177395768,0.475796234441625,2.86963308257755,0.745280188512425,-0.440127396715709,2.01772643760519,2.45003990695724,-0.118645425096786,0.870494244536034,0.08196840342373064,-1.90818524768332,-0.659141155187504
3254,-1.1570778584639,0.881711430124283,-1.97160839182097,-2.55769528468903,0.303732111660116,-1.7543114570851,2.60159875499317,1.23654357504785,-0.567382371020707,2.7613861786433,1.08504975249523,-1.31685320193619,-0.05811104575288214,0.138787681214096,2.33727629008344,0.530576694845115,-0.663723225789185,1.464573729653,1.71751995065597,-0.342776279400654,0.671588052078404,-0.173927161250121,-2.31158311379237,-1.280890336437
3255,-0.963820914656653,0.843683798649293,-1.96842515973107,-2.88921384965983,0.293933490944452,-1.80976826056089,2.67011847976642,1.21472545570874,-0.462390253193769,3.05466118833199,0.951303243888139,-1.34525501280979,-0.00307756341091365,0.240549859148173,1.97901699506285,0.45433013786973,-0.837665549236748,1.6264578399456,1.79558990863766,-0.361858225435236,0.556191358223833,-0.321781605270077,-2.376811691599,-1.19779455372529
3256,-1.06705127410085,0.995848417665898,-1.5967783617226,-2.38772957258844,0.44825018197004,-1.49192057429725,2.66516655238528,1.3860172479907,-0.465632010074194,-3.07092705870448,1.18950035812253,-1.33388392269157,0.04193071678745635,0.235263687507066,2.33023864059546,0.67386923374263,-0.704097074762123,1.69047369833825,1.83114418424162,-0.375543550833262,0.90154703416603,-0.187994876274301,-2.12814494934585,-1.14797065646942
3257,-1.00831465332025,0.627421551462496,-2.29267088229783,-2.9552948346845,0.164738517000209,-1.82486942730049,2.21699332366015,1.00469597938565,-0.626646629445568,2.78320095978961,0.812743661999902,-1.58590584913774,-0.08588097918078672,0.05667110331805148,2.10577455131913,0.351077008570647,-0.852842257420087,1.29792017312969,1.56329974148088,-0.383169407506252,0.56243945037022,-0.354286251393014,-2.80014389912328,-1.49237618461435
3258,-1.36009397042257,0.342199613681091,-2.89848275297704,2.23362122663556,-0.143865382717818,-2.52987466593814,1.7574325795319,0.869103873678883,-1.01018172028582,2.09365702758787,0.44211182360217,-2.05889519740073,-0.385520845071701,-0.217159349722257,1.58770017724947,-0.005240632977793484,-1.24561121539567,1.00608364973446,1.23056195889521,-0.887213637451351,0.20764508160474,-0.662681513953634,2.69118968790858,-1.69798991341404
3259,-1.79884880374721,0.563361429569092,-2.5060542461175,2.02415082819164,-0.118796517716277,-2.38712291236055,1.67488341792131,0.743282919315511,-1.13390592523889,1.9538656186235,0.614609313982626,-2.01538203841334,-0.546210575355118,-0.255234044109791,1.41929343913571,0.128608399188153,-1.34159689234111,1.01055353772508,1.0646829876141,-1.00553221523798,0.336061802732644,-0.630794472938419,2.5769830236431,-1.88226791154867
3260,-1.56346785795458,0.471389614359353,-2.52933434269006,2.27130430809212,0.04851254332415746,-2.26368950099924,1.75919589798212,0.878236724705665,-1.12498113972038,1.96259713360997,0.619253997416457,-1.94601803345722,-0.41395333944319,-0.09004762579190434,1.42055189478889,0.181385564106229,-1.36913620171637,0.973093835486025,1.13822015810932,-1.03603098899517,0.359293335977682,-0.644617041830366,2.82602829292255,-1.77429925675024
3261,-1.38272298481691,0.453564731727386,-2.71035193324239,2.3816772444247,0.02842497777572441,-2.15928969426502,1.8147023404945,0.833136565092612,-1.20017314240384,2.16955357741531,0.646559017817413,-1.78786834357686,-0.465433489006255,-0.196564076635735,1.48231190669778,0.253766144091667,-1.22445792152135,0.986164049154911,1.35488522053493,-0.879155882122294,0.366133814444691,-0.722612446423203,2.68258247582504,-1.65766927749562
3262,-1.47516557778645,0.640381469220615,-2.21176760599498,2.60969312860269,-0.03216545906843669,-1.99861848144155,1.87783427228049,0.980973369226853,-0.99134768896426,2.19976037477271,0.762960071370949,-1.83781643398981,-0.287579635171794,-0.137906772131102,1.5515522993616,0.290663788162228,-1.18486248366551,1.13049991324981,1.45393536569195,-0.763854378954455,0.42981466039322,-0.536491402193547,3.0416515440841,-1.62286734527399
3263,-1.41628599661231,0.606344770654255,-2.27768569735919,2.46065082302449,0.156812733534808,-2.10128015884942,1.96256136452652,1.03983995962648,-1.00330419432038,2.05381128817383,0.769705458144786,-1.89734805551863,-0.120498138851437,-0.09352414692599907,1.72496045823944,0.320554380387202,-1.18807699727162,1.10550096500649,1.27860865887813,-0.843990453229408,0.428131794835034,-0.454661372172757,-2.53531341132908,-1.67672247588264
3264,-1.25568082906658,0.726105398494648,-2.04200402444874,2.74109044632025,0.14709732834078,-1.88876751658583,2.12503646713266,1.09798522129289,-0.953851019736964,2.4608558071683,0.961668043489882,-1.54472930089772,-0.157199329308374,-0.003104680703733261,1.88494406373098,0.384747446742653,-1.10304753415785,1.3047179912809,1.64142295001391,-0.576883322873298,0.616179638343385,-0.370180208452358,-2.35313848414422,-1.37799477792111
3265,-1.2536493276005,0.774875018471195,-2.21248964873425,3.04707124607431,0.129873819225753,-1.98783656947175,2.10396452067719,1.11884246054588,-0.667217274097024,2.68173197423591,0.909553275706517,-1.6428238118522,-0.212225468336162,0.0655284423994427,1.94294303796708,0.378862539812327,-0.789197741880845,1.31272051256605,1.63308182947775,-0.43818868673029,0.494946851020489,-0.375965733241235,-2.29375179067273,-1.3741442299069
3266,-1.10557151913855,0.718642740307469,-2.36881567711194,2.74457546294775,0.04217361396720372,-1.90152308091794,2.06684050780461,1.10565386660882,-0.85618684778962,2.48776269248372,0.934482931617825,-1.60089596076512,-0.324650794223967,-0.06815918193892809,1.87182511724226,0.345285565192494,-0.913649373264466,1.22616166308325,1.56924051861919,-0.554493967496047,0.540981215359767,-0.461827986423569,-2.51216269235691,-1.43258777139363
