k1 k2 k3 k4
7.927691517025645118e-02 -1.242592278335066802e-02 4.158785796458702722e-03 -6.020065709227834239e-04
7.853671972272954771e-02 -1.212912567229129657e-02 3.489960907457720363e-03 -1.427942506305582282e-03
7.867435524897942178e-02 -1.200832869842111128e-02 4.053665391416119701e-03 -1.530207907802463851e-03
7.887109092390637288e-02 -1.188135716158282562e-02 3.028774484926916033e-03 -7.683291718058732345e-04
7.938814538565971968e-02 -1.280695273062029682e-02 3.933789296806364244e-03 -1.151453158640652896e-03
7.919409115474790317e-02 -1.085052551845834545e-02 3.551213377015430273e-03 3.984804328157898201e-04
7.944773214898767644e-02 -1.229384888167703305e-02 4.265224223141531046e-03 -7.154781564716466979e-04
7.895609024204031101e-02 -1.190414797485364606e-02 3.979599681746590067e-03 -5.441047307898766450e-04
7.899394547913982101e-02 -1.132528648726133236e-02 3.924755392160278467e-03 -8.717009345624998629e-04
7.915503810333276991e-02 -1.164330836132075608e-02 2.588743725262826478e-03 -1.318365855098591055e-03
7.961012517978691139e-02 -1.160585539496139518e-02 2.551623611418890603e-03 -8.874920234160643684e-04
7.944232730618891458e-02 -1.236752949652920874e-02 3.056561514267516766e-03 -4.820318257422323560e-04
7.959238697537018847e-02 -1.177686906145844481e-02 3.061693868231712967e-03 -1.861811704196872364e-03
7.896887861912593731e-02 -1.308272476362438985e-02 3.337589147470246265e-03 -5.649004829465786859e-04
7.952107301269259465e-02 -1.241716511633118858e-02 3.008643321381357372e-03 -1.437619118281469044e-03
8.031248429281750978e-02 -1.121874001880356075e-02 3.746387076494481216e-03 -1.984331035094460960e-03
7.953087538088601804e-02 -1.229982210074422044e-02 2.753694096356867904e-03 -1.433168322888894730e-03
7.792298829804375493e-02 -1.283248918178653275e-02 3.327686744507313277e-03 -7.501622224758142110e-04
7.938144367713176330e-02 -1.314025583525728347e-02 2.707168635363549347e-03 -1.101538506928803618e-03
7.939647489274542780e-02 -1.268501640846486644e-02 2.533209575398515101e-03 -4.212124751841739290e-04
7.875865414020283284e-02 -1.212545162265503407e-02 4.057187072112361514e-03 -1.373264235045940085e-03
7.901863280641432952e-02 -1.245078611875871655e-02 3.376188160496479407e-03 -1.042577442077224914e-03
7.977606386537569594e-02 -1.213360198457141825e-02 2.526257473426024580e-03 -1.534187430556249732e-03
7.982380820126802612e-02 -1.213659903226818604e-02 3.380695112392223534e-03 -9.134396235254277352e-04
7.834888354848326686e-02 -1.205511560739071231e-02 3.771481810843968496e-03 -8.694234856240906639e-04
7.793884918271992701e-02 -1.286960769610312472e-02 4.456422550181152187e-03 -5.174697054925736506e-04
7.885527993481822318e-02 -1.198796276685828999e-02 3.615425893024576398e-03 -9.043729135577716072e-04
7.909369650015976583e-02 -1.208948047257416003e-02 2.908951715436813856e-03 -2.080583892616172381e-03
7.896887861912593731e-02 -1.308272476362438985e-02 3.337589147470246265e-03 -5.649004829465786859e-04
7.904233258323636879e-02 -1.240199969397530466e-02 3.166909863942218850e-03 -1.913042086947036591e-04
7.891378700777645916e-02 -1.085149229410665994e-02 4.106580153769773256e-03 -1.597266072945094373e-03
7.855948920568583960e-02 -1.207450367471571417e-02 3.642586625973470715e-03 -1.237604802481445665e-03
7.817010019743136917e-02 -1.172347050371638777e-02 2.961350509478807846e-03 -1.172935223788529324e-03
7.908925545091896603e-02 -1.234017892561248275e-02 4.147338569261443952e-03 -8.844736643430217704e-04
7.866749660671848443e-02 -1.274300140812303916e-02 3.432233921587007908e-03 -2.438732567232967940e-03
7.975483353344178794e-02 -1.290874923860194090e-02 4.072872915796249549e-03 1.289683669006558286e-04
7.825455477876294696e-02 -1.181161906878205881e-02 4.268063406852734554e-03 -1.762100495507040732e-03
7.883845117520080215e-02 -1.276839807737989441e-02 3.229104557604986492e-03 -1.227692894308934912e-03
7.851869634990921165e-02 -1.312811398319338463e-02 3.397205786834139873e-03 -9.787757793211920854e-04
7.906996589549739052e-02 -1.316971831664243142e-02 3.591470291507234402e-03 -9.555278818151047293e-04
7.982002407412699951e-02 -1.177325632677792000e-02 3.205722507695824008e-03 -1.341668744018129078e-03
7.871713930842183515e-02 -1.215043342986346642e-02 4.184378018102674623e-03 -7.462142416055500549e-04
7.959801829741364187e-02 -1.172285872554809649e-02 3.657269368067470050e-03 -1.452788053933146140e-03
7.911073006151134179e-02 -1.171938924424119344e-02 3.943019161298549902e-03 -7.241759190045188310e-04
7.876044435163137569e-02 -1.298398243549672704e-02 2.584448481146389698e-03 -1.204077766041242170e-03
7.856900861594184882e-02 -1.245068847165074766e-02 4.365279357907494995e-03 -3.348481466180774913e-04
7.911811391826720219e-02 -1.082033567960513643e-02 4.015805174879621964e-03 -1.147741586345576992e-03
7.934628653979675095e-02 -1.269412288323382154e-02 4.177988980082661397e-03 -4.811137703712858871e-04
7.952174759210425825e-02 -1.170037366157745951e-02 4.008019169061724507e-03 -1.251398739076536870e-03
7.928858405096181339e-02 -1.244252633113948625e-02 3.291022017049033410e-03 -1.532870409550163293e-03
7.905542734548917649e-02 -1.239374058936351664e-02 3.473758188458547780e-03 -1.353223654244242735e-03
7.894683488079798361e-02 -1.142438028092226943e-02 2.861633282637401909e-03 -2.495236993533961334e-03
7.914804313246356915e-02 -1.258683034001734091e-02 2.953103930933509425e-03 -1.578207354985497468e-03
7.861664953105304554e-02 -1.273600612530320642e-02 3.838691339312555462e-03 -1.155902445354309305e-03
7.856362437736089110e-02 -1.369551079544376049e-02 2.773388583479446945e-03 -7.266552459881808756e-04
7.870256173552264700e-02 -1.118245443692149343e-02 4.813032103208117474e-03 -1.206850914764773242e-03
7.864592595696659472e-02 -1.230602562734287031e-02 3.053838990074761450e-03 -2.073339530117443430e-03
7.821745411828107120e-02 -1.264188298206464500e-02 3.039644004007385769e-03 -9.924990217183016217e-04
7.960914718827857839e-02 -1.205945564377244872e-02 4.078078384225664044e-03 -5.315558779856593974e-04
7.848980677549283191e-02 -1.309064249336969188e-02 4.670942174278408521e-03 -7.342426974313032151e-04
8.023941868507830644e-02 -1.209102444746686100e-02 3.459966268165332037e-03 -1.215187097878142608e-03
7.861077430049132064e-02 -1.235265609580030177e-02 3.140649146327834096e-03 -1.838841767139082206e-03
7.795046608971689661e-02 -1.248717297505305690e-02 3.158084079267070576e-03 -1.337541201339248476e-03
7.865853669173453189e-02 -1.213281008902047930e-02 3.062968508904750919e-03 -1.381020951172207134e-03
7.999465805251790296e-02 -1.170006230621692400e-02 4.223789970904959223e-03 -3.867505817072985908e-04
7.843986543695455338e-02 -1.305776726290144851e-02 2.768527336136458739e-03 -7.109969519835251939e-04
7.928347821287906605e-02 -1.195022383700344859e-02 3.000018768143222769e-03 -1.387302282117905405e-03
7.870679924353837786e-02 -1.191327832620159288e-02 3.526347671294297048e-03 -1.165855573845436810e-03
7.868959166515090975e-02 -1.152093977946869185e-02 3.487960585686539217e-03 -1.345641946162157154e-03
7.911272036777247663e-02 -1.133200863496372501e-02 4.417479945601959779e-03 -3.708491078825981724e-04
7.973726072121944952e-02 -1.122254287514358462e-02 2.762474717303356475e-03 -1.272179349162169681e-03
7.905717799702091653e-02 -1.208564302539483215e-02 3.293669958639416917e-03 -1.515071505362466930e-03
7.858675545999121992e-02 -1.163441733536171863e-02 4.034874529347212690e-03 -1.770061164328762260e-03
