,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,theta28,theta29,theta30,theta31
241,-0.4676147900486,-2.94714391652007,-2.22732010592131,-1.06042785445972,0.522090343207662,-2.07296905644612,2.67196476447382,3.08034758412922,2.07956061289994,2.35157637856534,-0.723161756249115,-1.0048217502484,0.06806119568571554,-1.36103441058774,1.69293906902391,0.851242830962939,1.45462284540404,0.675740345966887,-1.88236509383098,1.30393439514726,-0.300777317701697,-0.164028493239262,0.326812003503955,-2.47071217674291,2.52699183045802,1.00314387900075,-1.57136127625866,-0.668462963937127,1.11527130405098,0.410859144249307,-1.21191683583738,0.229875336456506
242,-0.542905756222798,-2.98823141809432,-2.36075229507693,-1.08412799906809,0.594280564867581,-2.06352498348641,2.43994154742349,2.89410970008601,1.86321085541547,2.04724950925663,-0.794956590538368,-1.00249322080101,-0.102211398917455,-1.5258638955193,1.59815602390908,0.80671893368615,1.39577447914411,0.644496976657357,-1.99031534813112,1.29619502422218,-0.325562485832353,-0.240690346471047,0.09234241477615435,-2.63279715879378,2.16620251592322,0.954784439883976,-1.69097117877087,-0.743121994210852,1.09687111920236,0.243264210166143,-1.41261798369144,-0.02181570431509625
243,-0.357114535389942,-2.42822421833272,-1.74224800803405,-0.774904868472733,0.763772688930378,-1.60333967911041,-3.06840708008835,-2.59397048937008,2.3820809160423,2.73751076143766,-0.531035229969535,-0.652042404258039,0.218062998223783,-0.967096845913525,2.10215518925161,1.04488770998647,1.98921214380294,0.950855561447048,-1.48641129942945,1.62105650563788,-0.164817449136217,0.02786255526604247,0.549960541226178,-2.25637880004956,2.78622627316089,1.35127540315486,-1.21562744651427,-0.433967779487003,1.54013742110587,0.663072221179473,-0.887669972037057,0.362141069624671
244,-0.352479050441165,-2.51249046670607,-2.0890001009119,-1.02565636425767,0.570465854992049,-1.92073677552395,2.99901311331595,-2.96513580464048,2.02032040214941,2.2414243861296,-0.707902757390521,-0.913480667752761,0.01719551269185956,-1.39208181890578,1.84574072392142,0.897198856408624,1.68695927532598,0.812350209521451,-1.86812579867934,1.49017743300419,-0.176982340727852,-0.04832388501310633,0.386570594046468,-2.33570179525585,2.38568249591231,1.13871617571431,-1.45769700240895,-0.480888449726679,1.21581275118071,0.457691953588906,-1.22215123347175,0.307114296510765
245,-0.480186948911601,-2.89425412631341,-2.17108073147183,-1.1030157983913,0.496862010619274,-1.99150213260522,2.83272168142489,3.01481021321195,1.8417094129892,2.25934348656785,-0.778852024748418,-0.960832166248457,0.04206725037205426,-1.23031577911107,1.74410236390707,0.861675966718193,1.58663569501566,0.667287463760603,-1.77490786345188,1.47194778488825,-0.252355516238062,-0.03614017344305576,0.222138911929896,-2.42041090096983,2.55555087811399,1.12860247202979,-1.46939235050735,-0.595328081618304,1.27987770176162,0.412537827630858,-1.13098128487991,0.109297061011771
246,-0.424175326014349,-2.79132242412705,-2.09812862856768,-0.991825699752044,0.610265548400897,-2.00317976959804,2.80691392243835,3.06757363615987,1.99902121158465,2.24631672945408,-0.760010524296866,-0.774521020698637,0.02088502884666799,-1.41894520482728,1.75237170427485,0.82800813243352,1.62983683042669,0.757316960546675,-1.7350422038991,1.44238699444259,-0.264017449805739,-0.173261351787761,0.278541799605755,-2.32627255787805,2.49233036978668,1.03540990019107,-1.57352074139446,-0.529035299513846,1.22797347094209,0.510279406837658,-1.25419723322969,0.09015615746045119
247,-0.359302475765623,-2.68026714493902,-1.9553776498174,-0.926421350971075,0.687900741190309,-1.6676730998091,2.97017268478587,-2.97441249632696,2.30152476525249,2.43787464249693,-0.626116427797395,-0.697699550918216,0.156383342512586,-1.2169298573374,1.99235820300915,1.08435555673215,1.84069532407489,0.840542965106894,-1.59572078953749,1.51508908438187,-0.114475957781469,-0.008579160262417299,0.391991273923463,-2.10672568832608,2.76680143282047,1.16484420465324,-1.32435847892274,-0.494603962380764,1.38608000794987,0.474232545569346,-1.04426100673571,0.180517429145568
248,-0.428143983201101,-2.38317879643476,-1.99045192875344,-0.96213405895854,0.775323427440464,-1.61044317999056,2.91810873654723,-2.7362429970911,2.28506118472978,2.61222212071192,-0.668367232663852,-0.858971606814739,0.210684773350112,-1.21142920239602,1.90079593725852,1.07190371742948,1.68612503901989,0.981322521296607,-1.51481381483748,1.53744869594853,-0.21076513788121,0.05034406865610787,0.56633328896179,-2.01405764363207,2.72175772122924,1.19379218909373,-1.30339634238654,-0.575665764142472,1.45237245854301,0.70399766059141,-1.04098117363778,0.435572954439199
249,-0.0887950093125804,-2.00647991118236,-1.51311671840751,-0.713748166832216,1.02303199046599,-1.43437180653293,-2.73892777760666,-2.24487094711536,2.55695730148816,2.8703587210176,-0.436580959742344,-0.669630514736623,0.435519621441024,-0.987261430813577,2.46246056886555,1.34604119970089,2.10873735487761,1.14241490657377,-1.26194876318368,2.05232175980014,0.05659843933332631,0.271302979092537,0.684713382894868,-1.57212777225293,-3.0362583319096,1.51831233440416,-1.07701451449466,-0.269885115018376,1.73402736166557,0.857865414247438,-0.814735670169331,0.607595427567341
250,-0.163487072502674,-2.13705531784977,-1.63033469627461,-0.667485865330105,1.03403250869937,-1.47637525913867,-2.73945684552205,-2.5947351692041,2.5418853258167,2.74163054581091,-0.441767798279528,-0.555959972253566,0.253520066600361,-0.937873892133806,2.30831004335433,1.27125446740693,1.94476612158746,1.08062272390143,-1.28698564722407,1.79596183313372,-0.01901376162313147,0.06109290684459127,0.594998733976754,-2.01560127437841,-2.94285024874078,1.46880950605002,-1.18873801936997,-0.229324941675344,1.57608946907701,0.72939481393666,-0.900770648857529,0.501077787197314
251,-0.07098583406667923,-2.09114163489149,-1.54027292393209,-0.668954419938757,1.04031879310757,-1.46085105551208,-2.54382987027697,-2.37270879213453,2.67545862757911,2.99970735846092,-0.377378075177967,-0.484500213855265,0.348105467049574,-0.991869780844917,2.30322952659016,1.20567709020277,1.98770716987155,1.11229739484318,-1.34094889101479,1.9498505890626,0.0889222754016767,0.174939473646693,0.718325724825469,-1.96576969476926,3.09683468082122,1.37511142810823,-1.12552625587079,-0.234678773537276,1.64173941961927,0.759039158195886,-0.870546087330112,0.448369280304034
