weight logl k1 k2
0.000000000000000000e+00 -3.978867040693712234e+07 9.544927465661952048e-01 7.284982797740779947e-02
0.000000000000000000e+00 -3.978867040693712234e+07 7.442849011870766862e-02 6.979749475014562776e-03
0.000000000000000000e+00 -3.978867040693712234e+07 9.944547157411826044e-01 1.032841293398545357e-01
0.000000000000000000e+00 -3.978867040693712234e+07 8.212809420805200489e-02 1.477773795739079077e-02
0.000000000000000000e+00 -3.978867040693712234e+07 1.491990804561430517e-01 2.115113934009882346e-02
0.000000000000000000e+00 -3.978867040693712234e+07 8.947418340206821918e-01 5.657137207947282587e-02
0.000000000000000000e+00 -3.978867040693712234e+07 9.294756531227014174e-01 2.928641158729183847e-02
0.000000000000000000e+00 -3.978867040693712234e+07 8.715656674385046099e-01 2.754150700103064064e-02
0.000000000000000000e+00 -3.978867040693712234e+07 9.993157779226317095e-01 1.078773861742553519e-01
0.000000000000000000e+00 -3.978867040693712234e+07 9.815195188069205656e-01 8.194521464731141513e-02
0.000000000000000000e+00 -3.978867040693712234e+07 1.593210978100839670e-01 3.860594671356354368e-03
0.000000000000000000e+00 -3.978867040693712234e+07 8.818814637041952897e-01 4.690489831081212646e-02
0.000000000000000000e+00 -3.978867040693712234e+07 9.642213836033749486e-01 1.270711247807507771e-01
0.000000000000000000e+00 -3.978867040693712234e+07 8.555888318056674713e-01 4.294318300622013140e-02
0.000000000000000000e+00 -4.089671950180417043e+05 1.008352195265695972e-01 1.194748372640273004e-01
0.000000000000000000e+00 -3.953294411826196010e+05 1.315503390824942498e-01 1.069453407479133977e-01
0.000000000000000000e+00 -3.941731710380510194e+05 1.217617675847654235e-01 1.214744613197502598e-01
0.000000000000000000e+00 -3.934486467723760870e+05 1.960188135285469979e-01 3.478990994819419758e-02
0.000000000000000000e+00 -3.928425682176481350e+05 1.186644260463456391e-01 1.285596825925724440e-01
0.000000000000000000e+00 -3.928418104725599405e+05 2.044288086386413239e-01 2.625002519863639527e-02
0.000000000000000000e+00 -3.884953382933216053e+05 1.363086642332871357e-01 1.181877426949311527e-01
0.000000000000000000e+00 -3.862473691513192025e+05 1.887107240507729378e-01 5.965297200680264034e-02
0.000000000000000000e+00 -3.856292901103452314e+05 1.216204579215163228e-01 1.459366934076502531e-01
0.000000000000000000e+00 -3.813248479579411796e+05 7.665600642342229598e-02 2.253543755599058951e-01
0.000000000000000000e+00 -3.796976891783481115e+05 1.081876336870031263e-01 1.873168698927973885e-01
0.000000000000000000e+00 -3.783922761972920853e+05 1.784355878583610000e-03 3.660833423776604922e-01
0.000000000000000000e+00 -3.774500598091755528e+05 5.261156606888783838e-02 2.835088379179873108e-01
0.000000000000000000e+00 -3.768995260609263787e+05 1.171685136307443198e-02 9.770554762308849561e-01
0.000000000000000000e+00 -3.754438922180588124e+05 3.575778007280039361e-03 9.528150532662904570e-01
0.000000000000000000e+00 -3.740809660491659306e+05 2.104628393746730275e-01 7.268980860533091892e-02
0.000000000000000000e+00 -3.733916535361997667e+05 4.854725512054791636e-03 9.313165856956941990e-01
0.000000000000000000e+00 -3.726944303339993348e+05 3.359714173422867489e-02 9.596270971010609774e-01
0.000000000000000000e+00 -3.715472653720199014e+05 7.075344428300045507e-03 4.191658028815208326e-01
0.000000000000000000e+00 -3.714148758548789192e+05 4.508955476544473928e-02 3.409873417528264117e-01
0.000000000000000000e+00 -3.709461831837387290e+05 1.539827985578346992e-01 1.648835799974112115e-01
0.000000000000000000e+00 -3.686259087662522797e+05 2.637861614572978297e-02 9.017148115119062446e-01
0.000000000000000000e+00 -3.671427826595919905e+05 1.045488497369537750e-01 9.772464836249655784e-01
0.000000000000000000e+00 -3.670569324516709894e+05 9.957683537572314947e-02 9.716780997045199042e-01
0.000000000000000000e+00 -3.670021672821131651e+05 8.078691174572938394e-03 8.420086261621803070e-01
0.000000000000000000e+00 -3.656202709864004282e+05 2.224865639614893587e-01 9.682463101687210916e-02
