,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
0,0.193690701144559,0.119494591520049,0.102551746165716,0.104080048421738,0.10218242677299,0.09961043870286991,0.104282005757425,0.118465924760938,0.120839373915629,0.118600491342916,0.118552178554145,0.116388915038144,0.125991963528446,0.127084329642031,0.134385678595882
1,0.191034755644315,0.12639663161614,0.105664084553329,0.09621487765021533,0.111134795380503,0.118842808291509,0.118555291626047,0.108770249360664,0.116708149512944,0.114132321482439,0.112896220994603,0.122317171989811,0.12134042739404,0.131737657283879,0.137304570774368
2,0.187518090924728,0.117310994362993,0.118407693963914,0.112163073263162,0.105842866571598,0.107213404288627,0.109388550601679,0.109116793084431,0.117472181781921,0.125154621668341,0.119570767369965,0.125173304694321,0.129121661495158,0.122435094875094,0.129085679605966
3,0.177534092249868,0.105286124042005,0.120936986483651,0.11299149934731,0.100790301567393,0.121741247516547,0.109919583912686,0.1136153396111,0.117889194216714,0.120174274142873,0.119800678946116,0.130098109566894,0.129647287563071,0.12850371799605,0.121232868950245
4,0.194565835825386,0.12302987703652,0.101525659395986,0.103818164616339,0.110391205316878,0.10870182716816,0.107957439026517,0.113791268012435,0.118714854598818,0.126059301838541,0.115316124800906,0.114013948659549,0.123112916508857,0.121872530710648,0.127124830012057
5,0.21124090401049,0.120854803862206,0.110304809831764,0.114840040678756,0.110072569232632,0.1107600954316,0.110858002355849,0.122542857975428,0.120663358977558,0.120077057091437,0.124190985847077,0.127185268353559,0.120741138734293,0.122790253295994,0.133073222639286
6,0.190313708543496,0.103189703888292,0.106199382851039,0.09382688343110002,0.105508419270295,0.105200211915243,0.114620753823382,0.108900125962332,0.111854884667767,0.111552043359105,0.11732274252191,0.120288526714112,0.12097573993531,0.124904871901552,0.122966578753353
7,0.200621122734858,0.128099186095203,0.10935225804245,0.09884392090077883,0.105514092029559,0.110064928334914,0.11517227445923,0.107565142364704,0.114383121894776,0.109788117716461,0.12464534299899,0.119730772128679,0.122681781125661,0.124277793632646,0.130149012495024
8,0.185436631666793,0.120034677792238,0.113653253471092,0.111226851868686,0.110464519265594,0.117036286133689,0.116080083921427,0.113452928162017,0.118845051803842,0.113803558991377,0.117057168583962,0.117489580422423,0.131073421657184,0.128996479130592,0.134723570942935
9,0.220000326638926,0.119185129260422,0.109102996868609,0.109806865355319,0.117148714724518,0.112898409549051,0.112578568557326,0.107479093271459,0.118045997034651,0.124734870831964,0.121104681940527,0.117106502143683,0.122645783232953,0.136433813336067,0.133755038666868
10,0.188526320788619,0.120970850920171,0.110076656945422,0.1102036531132,0.113086924060684,0.109895307661392,0.122070511420873,0.11609988502676,0.119878305375391,0.119659650491372,0.121821422375628,0.117098248175184,0.12033868781295,0.132294550082157,0.125021501273008
