k1 k2 k3 k4 k5
7.916188818487651657e-02 -1.621404209205594416e-02 3.208401621834958140e-03 -2.507422009545234864e-03 1.323256112734358392e-03
7.847402836213521193e-02 -1.472269416429379529e-02 4.598403220228780564e-03 -1.605771178758180762e-03 2.301883152152905954e-04
7.979919282446346074e-02 -1.617760230383728792e-02 3.977063748910908414e-03 -1.370805850488696076e-03 1.254011934299817388e-03
7.849471049155318236e-02 -1.404526328256947010e-02 4.615452993034230289e-03 -2.990950674415196464e-03 1.287505727743679107e-03
7.951164320623388404e-02 -1.496370478888402189e-02 4.640089625623761149e-03 -7.083855131669036798e-05 2.311249151817171277e-03
8.020577388329128143e-02 -1.516497599497981796e-02 4.195093702554622550e-03 -1.349052177695569954e-03 1.567990735422408743e-04
7.881976834586384983e-02 -1.321083229857798746e-02 5.219903004382436817e-03 -5.990208439653338379e-04 1.589520742838065881e-03
7.898749366181598286e-02 -1.381339881737989050e-02 3.909023744881445772e-03 -1.321330982836210755e-03 1.004985797243035384e-03
8.003437071335026132e-02 -1.332301013405169654e-02 4.405527634659761604e-03 -1.695480845432903449e-03 -2.813401031405426966e-05
7.974620662733136744e-02 -1.511963820396841629e-02 3.569093190882388633e-03 -2.757594634506602138e-03 9.729959447818126161e-04
7.946183168499246219e-02 -1.451018966818240497e-02 2.789395004863637340e-03 -1.243624250948330290e-03 1.501704644799081723e-03
7.965949491080837053e-02 -1.443134071288350306e-02 3.982746087068014806e-03 -3.484831216617356731e-03 -7.838891469741093854e-04
7.975103453323684199e-02 -1.406489128108077968e-02 5.227231887379280018e-03 -2.129222511942488461e-03 3.843808967351619588e-04
8.043490583162005159e-02 -1.411861130875549653e-02 4.037045316994475330e-03 -1.949077588297931651e-03 6.588979459447169562e-04
8.093666027334492363e-02 -1.263010231744081391e-02 4.651861652570560279e-03 -1.596838571130049234e-03 8.438672827488363781e-04
7.843004248206819629e-02 -1.417515683559986139e-02 4.375356491054110952e-03 -7.250180210654211255e-04 1.466255149523809642e-03
7.999756335081889547e-02 -1.528508756755889153e-02 2.974742291664805860e-03 -1.083040611850050183e-03 1.574071978823490814e-03
7.940381905400636930e-02 -1.471642687960306173e-02 4.639721167933402723e-03 -1.143964883840442592e-03 1.338932502536555047e-03
7.867946962179561687e-02 -1.537365865049838964e-02 4.682367288753527812e-03 -1.831291625824404967e-03 1.008886818700663324e-03
8.104381375485730787e-02 -1.474643719356456828e-02 2.896287781193301880e-03 -1.388077777922561151e-03 1.685525908941082340e-03
8.019368546910776718e-02 -1.500204056822426746e-02 4.327009688196437054e-03 -1.831290158952031399e-03 5.806060556184239330e-04
7.761957805947430900e-02 -1.448761391240993568e-02 2.555303562616753621e-03 -1.894947969536597832e-03 7.451160151632080231e-04
7.819341527843312600e-02 -1.426235848107121340e-02 5.033297635857053587e-03 -1.661181178374784850e-03 2.404019006662094782e-03
8.023280572875332584e-02 -1.398902559231371412e-02 2.838185567470882797e-03 -1.669942560114670571e-03 3.095493026950404958e-03
8.081356218822113857e-02 -1.344871528088606438e-02 4.302157051049901315e-03 -7.682940347386729707e-04 4.063078123769658934e-04
7.928247360452297943e-02 -1.461934668371235591e-02 4.772450436278802277e-03 -1.640030361650404722e-03 8.605935240430795385e-04
8.070572138273010565e-02 -1.271617898646895672e-02 3.710253599396889923e-03 -2.636565327477899401e-03 1.075110378673332923e-03
8.062245511813134757e-02 -1.406934540858542637e-02 5.085273459163763832e-03 -1.495260673718606936e-03 4.573455628321398958e-04
7.962602509172608811e-02 -1.525181593573118888e-02 3.763635549658889135e-03 -9.170717623155633103e-04 1.350109990308684393e-03
7.958198478945688326e-02 -1.382744924502121719e-02 4.470795419189932396e-03 -2.262041369122461121e-03 1.392277640103051217e-03
7.904293730870601276e-02 -1.490928435664438945e-02 5.041420879471972261e-03 2.858722590080714498e-04 2.604706867226663780e-03
7.979167448689447606e-02 -1.350506220669901725e-02 4.309161601169009259e-03 -3.024981949020094651e-03 1.680226817657448635e-03
7.931404348614315425e-02 -1.578687273393519774e-02 3.730515319183294598e-03 -2.235458719677979600e-03 2.733224975347142705e-04
7.957629512664593507e-02 -1.613787307350991740e-02 4.387899736187472755e-03 3.806835206538322636e-04 1.428489438221491881e-03
7.946917628652824805e-02 -1.394995509070776074e-02 3.811429808633318150e-03 -8.066476314710219198e-04 2.566319632549121654e-03
8.036965302804008338e-02 -1.478335754583318118e-02 4.874516082390575877e-03 -1.807892912000411134e-03 6.002321849271075038e-04
7.902690117846472573e-02 -1.568551516574731575e-02 3.254851217828716448e-03 -1.317201070985957179e-03 2.979752435867233373e-03
8.015712666775082207e-02 -1.528649470391182930e-02 4.156619035553268948e-03 -1.450927855613237671e-04 1.830963187296877348e-03
7.937781486031156297e-02 -1.498268228699299598e-02 4.167359372535830997e-03 -2.728457640587420019e-03 1.322979209256142097e-03
7.938975656378619017e-02 -1.499043600277043253e-02 4.243041566718369628e-03 -2.086829313544175113e-03 1.096522929882756681e-03
7.983566638820638328e-02 -1.453642920827677432e-02 4.358571132882960164e-03 -3.260864175254771236e-03 1.609922385663195565e-03
7.961551509451772479e-02 -1.525958575067516698e-02 4.739374702630000380e-03 -2.434894524204589406e-03 1.232788769879158974e-03
7.977523273067288478e-02 -1.466471383403769591e-02 2.400238312394734064e-03 -1.559308183852428642e-03 1.365829267272980485e-03
7.799338941405012382e-02 -1.631646016422508283e-02 4.585900869357575904e-03 -2.255116850279667573e-03 6.207665323468558594e-04
7.971962914932329003e-02 -1.452138347171756660e-02 3.697460211104314221e-03 -2.052996557333860994e-03 7.850318258955102380e-04
7.909772094347619631e-02 -1.245326453303577385e-02 5.318513241397898605e-03 -1.457854017398799162e-03 9.514031528815997119e-04
8.000021498123216501e-02 -1.498806428902396681e-02 4.350381106446810087e-03 -2.251132862243446220e-03 1.642984896146754137e-03
7.964346423965301680e-02 -1.518609264226804256e-02 3.015824658401042302e-03 -1.137275641016705086e-03 1.214638632913087046e-03
