weight logl k1 k2
0.000000000000000000e+00 -1.824752634495921433e+07 -9.024306370601789529e-02 -9.138411833924996175e-02
0.000000000000000000e+00 -1.824752634495921433e+07 8.104205398637906455e-02 -9.822686479760717182e-02
0.000000000000000000e+00 -1.824752634495921433e+07 9.984873530339447023e-02 -9.144910116006549350e-02
0.000000000000000000e+00 -1.824752634495921433e+07 8.334973469827461345e-02 -8.750172862168573151e-02
0.000000000000000000e+00 -1.824752634495921433e+07 8.135161521670142282e-02 -9.647696947939599088e-02
0.000000000000000000e+00 -1.824752634495921433e+07 -9.123700977124578337e-02 -9.260071684827664296e-02
0.000000000000000000e+00 -1.824752634495921433e+07 8.044546809978608826e-02 -7.909381058032115275e-02
0.000000000000000000e+00 -1.824752634495921433e+07 -8.485131595976486141e-02 -7.546555160011865493e-02
0.000000000000000000e+00 -1.824752634495921433e+07 -9.648884310747625481e-02 -8.142442530963876768e-02
0.000000000000000000e+00 -1.824752634495921433e+07 6.818359155823960904e-02 -9.319386417078856510e-02
0.000000000000000000e+00 -1.824752634495921433e+07 8.628961148094596578e-02 -8.032591388641011076e-02
0.000000000000000000e+00 -1.824752634495921433e+07 9.742874061762235582e-02 -6.899389802236928493e-02
0.000000000000000000e+00 -1.824752634495921433e+07 -9.749999923471719399e-02 -9.572417372011493564e-02
0.000000000000000000e+00 -1.824752634495921433e+07 7.952560698389987692e-02 -7.964002790783226982e-02
0.000000000000000000e+00 -1.824752634495921433e+07 -9.506442719082019988e-02 -9.998158361858494603e-02
0.000000000000000000e+00 -1.824752634495921433e+07 7.794938595932512926e-02 -8.138270943085255948e-02
0.000000000000000000e+00 -1.824752634495921433e+07 -8.243954630707082953e-02 -9.936160361778263728e-02
0.000000000000000000e+00 -1.824752634495921433e+07 9.874166508188039759e-02 -6.138652560415130272e-02
0.000000000000000000e+00 -1.824752634495921433e+07 9.935590913407990610e-02 -9.467979853802206691e-02
0.000000000000000000e+00 -1.824752634495921433e+07 -8.722128273272587717e-02 -9.465093340857960724e-02
0.000000000000000000e+00 -1.966259703913567937e+05 -9.509936416175726603e-02 -6.378740923833856047e-02
0.000000000000000000e+00 -1.946280064776041545e+05 -8.553639616300219572e-02 -7.342826850016995199e-02
0.000000000000000000e+00 -1.922793460320852464e+05 -9.883419121964319431e-02 -5.867614838553592005e-02
0.000000000000000000e+00 -1.878491938885354903e+05 -8.785644092355011925e-02 -6.896494250884764587e-02
0.000000000000000000e+00 -1.863330817864887649e+05 -6.191701462896046643e-02 -9.639882798850468726e-02
0.000000000000000000e+00 -1.838173333997097798e+05 -9.523390613485234468e-02 -5.762972075649333559e-02
0.000000000000000000e+00 -1.808298340597387287e+05 -9.022182851861795805e-02 -6.085281115640835126e-02
0.000000000000000000e+00 -1.803197566909924499e+05 -8.466291657990013264e-02 -6.715616471670171617e-02
0.000000000000000000e+00 -1.760625095344374422e+05 -7.923372308510907847e-02 -6.879063793096129587e-02
