,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15
0,-1.8542909245609,0.981944088132507,2.44835795324921,0.719203227743053,-0.713961602435112,1.8995203632589,0.05209784690587551,0.437172292179622,-1.04020251003844,0.221296978343541,-2.56030594141289,-2.99738029098147,-1.64141055603841,-0.08475203172880309,1.5552130224808,-0.544839033790447
1,-1.74815525148716,1.4434872273594,2.7052463889826,0.885990083566054,-0.528104206388608,2.35155308454196,0.119323191864131,0.684056268228314,-1.09164067490996,0.365719301553,-2.14995183777927,-2.36704123787253,-1.12567052022537,-0.03953032367263538,1.70606106829944,-0.145450460669014
2,-1.51284856018268,1.46216137696342,3.08756057199009,1.00967057770073,-0.498136951094555,2.20116037678494,0.241259197871641,0.664576536483852,-0.837704770957807,0.39362473479665,-1.94603138447981,-2.67338939993179,-1.26028446762405,-0.123227224747073,2.00581613201928,-0.173482385214144
3,-1.12023780356457,1.75447756947624,-2.91375403946751,1.6268110760475,-0.348061558433822,3.1312861067503,0.553462679967398,1.02936597039841,-0.677306662629408,0.930189729937278,-1.45235016000509,-1.78839572848494,-0.873978284089188,-0.02915452239454369,2.06599631701075,-0.198125314112274
4,-1.12120755179676,1.9040066245827,-2.55363342428841,1.55945965439757,-0.296017463432723,-2.91315434784389,0.645771922482284,1.12581010771549,-0.40113883978751,0.749381008940529,-1.47948220481919,-1.75917207698023,-0.939778389464114,0.26709185573932,2.28003512528692,-0.003837975410894587
5,-1.32148735597355,1.74711406451531,-2.46994048130268,1.45140006958769,-0.461736598946814,2.73830865873784,0.431275227274109,1.1891331023657,-0.615819149847627,0.753947639236171,-1.62020203275388,-1.88855463748494,-0.777693777981814,0.0648216890558278,2.09830661889203,-0.06444961760903946
6,-1.24896909798422,1.56539040568046,-2.73010992621486,1.47955243506504,-0.560900186356617,2.46556370949692,0.416577901933252,1.05767030415037,-0.789147335186619,0.726150178786615,-1.45162362320763,-2.04365711496188,-1.11917297587308,0.119931493120669,2.05142612765728,-0.195719095572357
7,-1.29833111452892,1.92559171816302,-2.66155983244917,1.34269857746323,-0.267705843887329,2.4241011851213,0.540681095706668,0.960197463369454,-0.745903312477282,0.626336927049012,-1.52582882417624,-1.95923224496975,-1.12431201562327,0.03736256414645422,2.14021382040871,-0.175449766167071
8,-1.17714744932944,1.64474655759568,-2.61777533464195,1.48851889358652,-0.363985625123554,-2.95094038078484,0.55854077363574,1.09900604081126,-0.537700620150356,0.908594725982136,-1.5748750682271,-1.85772736722117,-0.699242711118136,0.231283807877991,2.28718237935523,-0.102706294874398
9,-1.11339274976472,1.88572372678282,-2.29628569858618,1.54372115417758,-0.37684073669221,2.96910009718779,0.516148111707406,1.2879589062114,-0.449160126174594,1.03024787312614,-1.41738220464751,-1.53520104291584,-0.80810080112267,0.202794492916388,2.5886011131001,-0.001792261831033534
10,-0.955210523704857,2.16922362476563,-2.06741109320926,1.5863129378163,-0.288475062459169,3.12750032032459,0.684576061141731,1.2103510394784,-0.425745265509246,1.10915863201455,-1.33616943988595,-1.73520811999934,-0.691087394334928,0.185875965703055,2.59298015181308,-0.02029809238506147
11,-1.21834076101654,1.81001801007472,-2.41426840212117,1.23592442956239,-0.32020719810832,2.82555683774719,0.53800176751109,1.00086703140652,-0.741469930917509,0.779004527018062,-1.6014512768449,-1.78800531114213,-0.977893439981303,0.354544272012985,2.37845473785222,0.0769045822066503
12,-1.27752109433118,1.9098921847949,-2.22575501858516,1.56294072017788,-0.406979719699488,2.60314024958639,0.542853590185728,1.07849392985209,-0.829271509290097,0.844151902275272,-1.55033680473332,-1.78045261517753,-1.02727299348659,0.254948628634187,2.04916722805438,-0.02357571539119069
13,-1.22793844413787,1.99258677013946,-2.3991102766496,1.52428581410028,-0.219453476739546,2.76742849645597,0.468253323691379,1.17338711764129,-0.523875170213297,0.710190189754566,-1.51780737755575,-1.80123756524936,-0.745943000168009,0.160797176806347,2.48969861962344,-0.08235593944116444
14,-0.777219765178473,2.42607537684994,-1.80435402487506,2.02292720076093,-0.100107676418208,-2.12517922499408,0.906974066918951,1.59739856933369,-0.283400516238408,1.37000219524952,-1.04892720708259,-1.20734661237323,-0.514594512014551,0.645978771590467,2.8531300414902,-0.01149865398899447
15,-1.07238445253072,2.1470190950834,-2.40923043043613,1.49117593589373,-0.193989142811248,-2.59043532513856,0.587674504563287,1.21480174106869,-0.424676268746587,0.98033768811799,-1.31867577198898,-1.74973042141432,-0.860829215902572,0.304039851615861,2.29053708262555,0.178061892930006
16,-0.887857014144922,1.92113277525803,-2.28372013355242,1.5702284296273,-0.309828334386295,-2.82051660403649,0.692124066038263,1.14740992110508,-0.551119311602227,0.920418806750451,-1.5373708305539,-1.9117567439697,-0.716260165281437,0.250011038388411,2.4291850249124,0.08879690788556448
17,-1.36265929012264,1.5756693959787,-3.01986132680901,1.10310030749352,-0.484231572003769,2.52465086950933,0.303424318609291,0.857467757108085,-0.685780548412102,0.579703407740006,-1.82605296745787,-2.49382829822113,-1.06390137543452,-0.0591214582032483,1.93944346905584,-0.308583475094211
18,-1.14552969428904,1.69906858977498,-2.53039181669945,1.449670468817,-0.346509138294851,2.68283507364761,0.446979051687885,0.864363263984512,-0.754471487846357,0.683768268748657,-1.63782422309006,-2.23360452375736,-1.05744727765083,0.148632473339933,2.11668343458546,-0.08837731877295796
19,-1.30848541271329,1.75380260204274,-2.35621050774483,1.43354813048583,-0.272259308973509,-2.79406796629174,0.580698725279539,1.16964574357625,-0.398688169418337,0.825035183654245,-1.62308569128931,-1.97430447741749,-0.894252408971486,0.300419572067914,2.15458136726604,0.06068620552165443
20,-0.802558034833139,2.03844039390221,-2.01470600657723,1.91864387334377,-0.116327079814175,-2.23659077952737,0.963484766045487,1.46422992798816,-0.346523988780742,1.16080991665986,-1.17458459675905,-1.54790697558919,-0.602103049260299,0.45308334493386,2.95919736435486,0.169283583810267
21,-0.684184633338664,2.47925256837554,-1.85490173100814,1.7559997404647,0.137906963086931,-2.15734788366931,0.874242190864234,1.66623962307617,-0.356069958531203,1.08500159062756,-1.14072048839694,-1.47145874247197,-0.561361126211831,0.684956246462215,-2.93923064405976,0.407098114652643
22,-1.09279836877402,2.04913870345985,-1.7615279856247,1.51490743543099,0.03442309013771584,-2.74242112226486,0.854551454733987,1.24875916665618,-0.498644490198646,1.03262205916087,-1.3626491273633,-1.59356087246872,-0.8354077976512,0.540840208383643,2.92482957506333,0.246844632355022
