,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9
43,1.9780588140539763,0.025105925216215696,0.7510231903814307,-0.26594715357621446,2.706053027707163,1.2921072451937647,-2.29476641663036,-1.6477975573264991,-3.1333158206851235,-1.4418403119076368
44,-1.613124682360997,2.1075425659930893,3.1305091392337516,1.893346776285171,-1.2256149323893974,-2.2402807193667513,-0.3399351949405865,1.105293733235826,-0.7130652474565938,1.5348769590241294
45,-0.5296126392509489,-2.5215763023162587,-1.4863145757272271,-3.0226301354246274,-0.15258360778783914,-1.1746848916461903,1.3798208351195629,1.8975594565026204,1.0136873098198258,2.620035664008121
46,-3.0354071853845497,1.6562760999173256,2.069752681923884,0.7856807170857928,-2.2809403514012625,2.709201445433589,-0.7743659044569854,-0.40299876673525503,-1.743380544476572,-0.05997704527849366
47,-2.4197088052853464,2.0688991008720086,2.7710148862037114,1.2460931495004526,-1.8385715768192767,3.1227618022277275,-0.47990640453220906,0.10495822443905871,-1.0642038987399942,0.7066312913314685
48,0.062262556613138946,-1.8883373000515349,-1.0297783988599531,-2.4264733787633044,0.6566610724311956,-0.41466597081381407,2.2227820968992953,2.5154439763387306,1.2765189494420823,-2.9962451679988287
49,-0.4941029570142582,-2.6052730174926624,-2.2674529340838934,3.06701868061676,-0.18345719396398016,-1.9782264980764899,0.809115152309312,1.2486276739308355,0.5177175449255439,2.4840787707786
50,-2.2272903562803297,1.806295070927185,2.5649259978111125,1.178266211473456,-1.7347157909185678,3.131387376855475,-0.8258456772196751,0.27168411124695513,-1.3693611736466622,0.8843446639403962
51,-3.075353355378007,1.125198814540197,1.9126477380228963,0.5323179970442123,-2.3670303726888315,2.3946272372442463,-1.3761843478671993,-0.6288720252020045,-2.076833463331682,0.1791426135741173
52,1.14774049710459,-0.3085834288886065,0.012572895697591562,-1.2010972746414474,2.053649665083001,0.7286310160531787,-2.9662234181785183,-2.4372649265897546,2.6050440501701506,-1.9499786654023268
53,-2.8492200489046273,1.5254884629378738,1.8912958558736561,0.7017696011760618,-2.4695032791010427,2.686288014573195,-0.9533695647957983,-0.5635422855793364,-1.7862425670430426,0.20536584605788158
54,0.10799611454151956,-1.7106520736573936,-1.1219499319324504,-2.432103148811132,0.7264110556819559,-0.7771584523870363,2.17388988605091,2.4352894269292076,1.1896694258950637,3.070479364324269
55,-2.0183905362664456,2.3315943137895365,2.6401111126386843,1.3787813875277122,-1.7016623155331672,3.026945213325205,-0.5607267964350636,0.20826649108335266,-1.0243023317010982,0.880881648525931
56,2.7566855168936355,0.6256816805003094,1.0945862515919722,0.29255844585316976,-2.8290962908120187,1.6761823202745765,-2.16013199804138,-1.189829671928611,-2.5927008226447414,-0.5751058832150956
57,-2.541906436376267,1.750954344385384,2.622108161912467,1.3124217655647126,-1.9437632127901356,2.945135295197931,-0.5878571123422999,-0.06869396502587354,-1.2864155427875141,0.45163564347714175
58,-2.348470152664195,2.2959454064534506,2.6442865112733456,1.2511155857364147,-1.4658803280509536,3.0197010600149836,-0.5762996991196098,0.16575709029104793,-1.2239603730225155,0.8198474725057844
59,3.0526707386746734,1.163437411155111,1.3748315198434133,0.32819527743124766,-2.743174064032808,2.447391309181873,-1.6201766185000617,-0.8825457810104435,-2.0069962711334286,0.11578056388480007
60,1.5487368596405673,-0.3861904366948192,-0.02311461979699665,-1.0915182182522623,2.025905170758871,0.28191023728666204,-3.0845003235199835,-2.667193139271988,2.4975412643103168,-1.7920068557547861
61,-1.977325506281578,2.32876069535039,2.900888358863025,1.6068447301294844,-1.4469187528913245,-2.902151822111605,-0.09830481262400365,0.09344877707028296,-0.8649228504714581,1.2529166697410694
62,-2.047802027889781,2.3809737223544176,-3.0149952316538573,1.691785668183435,-1.5822732795608818,-2.8269851338879213,0.027723539707788215,0.42889109438235323,-0.656012125005579,0.9413098936667893
63,2.12578601812758,0.22102217124721918,0.43419937489667376,-0.6989444364758176,2.484223719158652,1.5140793397502967,-2.6042295761070817,-1.4093636085063264,-3.124000115864527,-1.2207978228535032
64,0.5353238160484708,-1.3619888953176624,-0.666571322010026,-1.8162891744346628,1.2835094138615581,0.06329298432145966,2.500971346225916,2.9902389523724393,1.8975960463494663,-2.418989079992774
65,-2.234595572104177,2.1874165543409587,2.8096373172725455,2.003505299449059,-1.3566826101464575,-2.790042772122022,-0.026500384031291544,0.041180821854839976,-0.8126132664537814,0.880452749452835
66,-1.448399182687215,2.880656513921943,3.117054471857832,2.07980382020151,-1.1035285856751773,-2.286164078464387,0.027815492078109887,0.8311794807410545,-0.28315676113672905,1.6446622198329435
67,3.1415325575045823,1.0980270546836368,1.6125459830615838,0.5225061326346705,-2.769345015286693,1.9278494317203567,-1.7104317536755196,-1.0085360862515185,-1.924128214572907,-0.18834104174758867
68,-2.1469730409222745,2.4274032916736576,-2.981979766008378,1.8203522917848902,-1.0456988295982,-2.549231483532912,0.06561367575347347,0.6537782654496044,-0.8735482114542475,1.097153670382193
69,3.0276384185544036,1.1543858663919238,2.11147735155247,0.3240201764852988,-2.987895558137193,2.3548531087008193,-1.157846627067787,-0.8531965680474937,-1.7507760600390503,-0.10597855028335301
70,-3.122218403630617,1.1554246573864246,1.561478065766006,0.4735421607851593,-2.6845383591165,2.455839944362379,-1.444230791413033,-0.742879049205117,-2.0541650405781464,0.01030640967742413
71,-2.8072720978102277,1.3996311479396042,2.1711421242850113,0.8688533760572302,-2.529380165213511,2.762434257843416,-1.1087180240865324,-0.154786297874474,-1.5114446630903302,0.006087927712431345
72,-2.216636790188174,1.9658847709199005,2.683594364744964,1.6640793718759146,-1.8488277092084553,-3.0682140251092194,-0.44412007274093884,-0.09177442564689502,-0.7962627290673496,0.787785193255489
73,2.8142010425325763,0.721952346395425,1.5586036033363115,0.12676851475731152,-2.953931152804018,2.169341295589809,-1.6895744957347754,-1.0752317431667118,-2.2230539668283322,-0.08109359069566681
74,3.034641860794525,0.915316699856457,2.012768694331263,0.5246311361198535,-2.9163481940892497,2.673537328055036,-1.1197696423699752,-0.6803430018123082,-1.9477070511313141,-0.07331305720638158
75,2.0275917119593867,0.461766138857596,0.8841430511088695,-0.5609649076807224,2.6093391897934004,1.3854817941781628,-2.3765517113609556,-1.4356548998906098,-2.6965594153280876,-1.2898269025716493
