k1 k2
7.858832302489709987e-02 -1.285892304731661717e-02
7.860450036919996997e-02 -1.305691098258036920e-02
7.865573025689415188e-02 -1.278040724978980747e-02
7.863499151351296956e-02 -1.259850965114671373e-02
7.872220959654760430e-02 -1.255542954745347828e-02
7.899846412479913371e-02 -1.229662935119311962e-02
7.936372155107643267e-02 -1.177644984875855783e-02
7.944887482943169266e-02 -1.182713726901535312e-02
7.913440508211547209e-02 -1.237805477018426303e-02
7.822933238412510537e-02 -1.288349017226936288e-02
7.921669666645533847e-02 -1.321397706212924794e-02
7.964400283522829471e-02 -1.329704260354556966e-02
7.962122496115206505e-02 -1.257966354778709828e-02
7.957079440768052847e-02 -1.220288839690734928e-02
7.784664119917769631e-02 -1.375822171633631075e-02
7.892299893704757263e-02 -1.258445978404199028e-02
7.889916395816265471e-02 -1.260938848389957234e-02
7.850008364599719846e-02 -1.251373879224562669e-02
7.865248457948692540e-02 -1.306755450487659398e-02
7.882752692517919213e-02 -1.274412741215996681e-02
7.894972916976397692e-02 -1.212826073381863268e-02
7.832399989598251566e-02 -1.251336993944292264e-02
7.875067359899604047e-02 -1.297950472002266931e-02
7.937117310153096739e-02 -1.266435727195888705e-02
7.779095528758325773e-02 -1.278033471542526500e-02
7.817865701512227705e-02 -1.336163256158894030e-02
7.853663018468765022e-02 -1.272084572208040387e-02
7.903446248490478276e-02 -1.197557239081524505e-02
7.847372617252806881e-02 -1.302352102747529605e-02
7.889890261505413949e-02 -1.307450940925748706e-02
7.855378220155448399e-02 -1.162266474107780112e-02
7.840055690755565188e-02 -1.303083962376486160e-02
7.964456477842427051e-02 -1.248231784615221052e-02
7.837899718581797792e-02 -1.282337445324162328e-02
7.878385734719697830e-02 -1.294516255352418099e-02
7.852879839960613673e-02 -1.291069518239032488e-02
7.874142514025156414e-02 -1.241773499349532739e-02
7.897920794262375255e-02 -1.204226777003197801e-02
7.918035082670160651e-02 -1.206871802771969371e-02
7.822868430899970749e-02 -1.305739792498734897e-02
7.861331797046575143e-02 -1.320698494613989360e-02
7.871292652645103805e-02 -1.320442184565341626e-02
7.881184896716472710e-02 -1.246696587118893695e-02
7.814841718577844598e-02 -1.341396953385209923e-02
7.835323706938310262e-02 -1.348676388567685014e-02
7.877105491789501701e-02 -1.255493441193464288e-02
7.946921493002742642e-02 -1.212989500647485008e-02
7.846553482412807479e-02 -1.321332859897647594e-02
7.859300763420146163e-02 -1.265843930987378685e-02
7.827710386726241532e-02 -1.258186230018296103e-02
7.873052588222440029e-02 -1.245382816911864976e-02
7.818619630895415340e-02 -1.326438642414241864e-02
7.934329065352316301e-02 -1.223238639408134876e-02
7.929372653100241752e-02 -1.289926900915897012e-02
7.848641037781547980e-02 -1.240102666409512167e-02
7.822061383481934693e-02 -1.257538744206926351e-02
7.886765619074251332e-02 -1.227111666479065166e-02
7.850683510244915730e-02 -1.310684925886779206e-02
7.879241684575452598e-02 -1.228405365120929793e-02
7.920243615046829166e-02 -1.261915688272134684e-02
7.787966078166227990e-02 -1.336537276910904071e-02
7.834911430398264209e-02 -1.340140758118882336e-02
7.877569103364762126e-02 -1.305048087494789510e-02
7.803111445906679711e-02 -1.306894292165181048e-02
7.891985108529900317e-02 -1.299491851709277945e-02
7.834911430398264209e-02 -1.340140758118882336e-02
7.844289869964965467e-02 -1.268907757080295351e-02
7.847506107557042365e-02 -1.148961997944789037e-02
7.886666022026442291e-02 -1.291923954566008559e-02
7.836685234949467005e-02 -1.275914228831090402e-02
7.792829560774805486e-02 -1.309596370881258021e-02
7.906405112092268483e-02 -1.269716801273070017e-02
7.878826322280316208e-02 -1.286844710946957737e-02
7.864939527330402913e-02 -1.250102601738209418e-02
7.883691573203502334e-02 -1.307221675556438645e-02
7.891777241566341750e-02 -1.240881212753544571e-02
7.884524713432641829e-02 -1.263524288313119803e-02
7.819801294034464667e-02 -1.284059462440696742e-02
7.878701544829141978e-02 -1.226178434228926417e-02
8.000410871054572381e-02 -1.213317645188458083e-02
7.837491284439876416e-02 -1.246116392224595748e-02
7.866663422259120853e-02 -1.336682226042949784e-02
7.841471663750890220e-02 -1.262308158072486530e-02
7.855503322271947808e-02 -1.240151146245371816e-02
7.821714480179542406e-02 -1.284117315968547057e-02
7.897254181006890805e-02 -1.277711229022610029e-02
7.855012940324174187e-02 -1.338590588237795198e-02
7.913440508211547209e-02 -1.237805477018426303e-02
7.869931795067031111e-02 -1.298454303254545361e-02
7.901424620120472975e-02 -1.346966006834207641e-02
7.895632778560573994e-02 -1.327384897522013163e-02
7.866755158849203511e-02 -1.347245920995047974e-02
7.819108227254933929e-02 -1.332081607619985120e-02
7.829137371785255262e-02 -1.280093793084072229e-02
7.934623932029444271e-02 -1.264770720614889765e-02
7.946921493002742642e-02 -1.212989500647485008e-02
7.863558253833768941e-02 -1.291879430120203287e-02
7.810647797528069702e-02 -1.338990117950039638e-02
7.918612462380830719e-02 -1.304973453322685883e-02
7.892564791132411495e-02 -1.240254996918829788e-02
7.918767981700494674e-02 -1.284959738256659378e-02
7.861899749415721117e-02 -1.294298849678326979e-02
7.868501255259680027e-02 -1.301110649730793933e-02
7.866755158849203511e-02 -1.347245920995047974e-02
7.852256178987115920e-02 -1.233820302052793250e-02
7.876456255247496485e-02 -1.316423541055886104e-02
7.873588758461952386e-02 -1.319478529328022010e-02
7.895957519414725789e-02 -1.258147944732648793e-02
7.849252145251203738e-02 -1.352427795409204270e-02
7.833706857373332055e-02 -1.284353445081819201e-02
7.840374493552917934e-02 -1.293691214148286195e-02
7.848145901820285930e-02 -1.295383104958794385e-02
7.855704946154248858e-02 -1.238846792839402855e-02
7.820314197805738887e-02 -1.362086275656701484e-02
7.842048462432105183e-02 -1.287786777091734502e-02
7.799499521438954530e-02 -1.228630597939524283e-02
7.935149028840218777e-02 -1.331388785505595307e-02
7.829969972162639791e-02 -1.345377622134744100e-02
7.819518516985923817e-02 -1.280930468619205509e-02
7.845446305620998317e-02 -1.316929416001402786e-02
7.823673150548593469e-02 -1.261273696037654157e-02
7.860499453722724628e-02 -1.345348799487959546e-02
7.812230386766635948e-02 -1.360947689960542717e-02
7.819475852425522566e-02 -1.346018008282201528e-02
7.923796741230057505e-02 -1.210321041196496528e-02
7.862922210205047779e-02 -1.283314136744387324e-02
7.877097408776562171e-02 -1.250234160272285788e-02
7.824954497578182067e-02 -1.330661654082139489e-02
7.887652850491666534e-02 -1.195394583484001017e-02
7.888002638608823669e-02 -1.235763518681669282e-02
7.850420963888446457e-02 -1.309054803193268612e-02
7.824525685174785194e-02 -1.291567050267210248e-02
7.807900216335117438e-02 -1.303866273316803270e-02
7.907201389906412525e-02 -1.213832070728121382e-02
7.923374651797104873e-02 -1.237182097222377930e-02
7.865141946818840490e-02 -1.301271488399864673e-02
7.890630948524435251e-02 -1.263274407590825321e-02
7.822573704121180138e-02 -1.233848443860205424e-02
7.822456394808502411e-02 -1.343092236686464769e-02
7.787511378548520047e-02 -1.286020248550381884e-02
7.821287752884234501e-02 -1.301808301649656774e-02
7.881066137313680331e-02 -1.335129572796471542e-02
7.918807905066574393e-02 -1.280981628277857998e-02
7.855917530055428477e-02 -1.281434981763365788e-02
7.819108227254933929e-02 -1.332081607619985120e-02
7.817066169317940516e-02 -1.222175576992223789e-02
7.926918165101071168e-02 -1.255702188343016390e-02
7.773300317526482539e-02 -1.242486251167632116e-02
7.839953048749848108e-02 -1.199769788107467317e-02
7.838692558847557001e-02 -1.298358254869230732e-02
7.766901124144925950e-02 -1.239893170134302725e-02
7.854073494289068313e-02 -1.241055096033774618e-02
7.904341825713545600e-02 -1.244731759376146996e-02
7.896029782465455171e-02 -1.221032056883428196e-02
7.923534877538757071e-02 -1.225683808147522147e-02
7.828289391166848299e-02 -1.266235296431898749e-02
7.931812080829309108e-02 -1.234401732899488568e-02
7.885425691236894186e-02 -1.277108053421441292e-02
7.934832949541775760e-02 -1.266457871429596538e-02
7.880339121316912165e-02 -1.228606204101002908e-02
7.868903189664896991e-02 -1.218792766348186785e-02
7.886709624043297673e-02 -1.274364568779903784e-02
7.874195102471318042e-02 -1.323788972266586039e-02
7.779577658612576996e-02 -1.275989112397270253e-02
7.851299626331886827e-02 -1.284162741353789272e-02
7.838346397343562422e-02 -1.264107237958765617e-02
7.875571008850335009e-02 -1.260202054726644594e-02
7.878385734719697830e-02 -1.294516255352418099e-02
7.820300780728556278e-02 -1.218706447821685246e-02
7.878467606716585414e-02 -1.275211630174788446e-02
7.939448216943614800e-02 -1.271237450358179977e-02
7.886734045857413111e-02 -1.282605110217455158e-02
7.825334282915846762e-02 -1.323825165486727795e-02
7.852409022279191464e-02 -1.201100357641173011e-02
7.890173091887367485e-02 -1.291787682377019963e-02
7.772157311211022601e-02 -1.284316694577306017e-02
7.911435104741873503e-02 -1.252262790167978090e-02
7.948314287819938095e-02 -1.261281522269834532e-02
7.872297077569814783e-02 -1.325182526477115819e-02
7.879091566269641467e-02 -1.262942474592312903e-02
7.868903189664896991e-02 -1.218792766348186785e-02
7.844083280364930189e-02 -1.276410369698309510e-02
7.835161597394557642e-02 -1.330540593445127262e-02
7.872297077569814783e-02 -1.325182526477115819e-02
7.861467322736656604e-02 -1.253701896238958169e-02
7.865323218435754660e-02 -1.234592052675480278e-02
7.812953074240189255e-02 -1.249844916954614971e-02
7.794492532127419993e-02 -1.222122979833904777e-02
7.852256178987115920e-02 -1.233820302052793250e-02
7.806388749095213853e-02 -1.300405401201791544e-02
7.851123634823439779e-02 -1.229711588133658440e-02
7.775407967222700001e-02 -1.253470173243625974e-02
7.853829191742831006e-02 -1.263171449524391754e-02
7.810138001087138515e-02 -1.242546941992289655e-02
7.880658947364213573e-02 -1.227916153061145432e-02
7.790857411922919029e-02 -1.300854678636328976e-02
7.930513874393793627e-02 -1.279807673965260850e-02
7.879174716762554764e-02 -1.355973556718442774e-02
