weight logl k1 k2
0.000000000000000000e+00 -1.381551055796427280e+07 3.989402534806829603e-02 1.047576753215774259e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.835237599559987220e-01 7.122997136171183019e-02
0.000000000000000000e+00 -1.381551055796427280e+07 5.645305232885899915e-02 7.852465981463729872e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.672314619108785649e-01 3.338014863363647500e-02
0.000000000000000000e+00 -1.381551055796427280e+07 8.579586035356767670e-02 3.553125063525275351e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.024831063788307794e-01 7.448630051121019058e-02
0.000000000000000000e+00 -1.381551055796427280e+07 3.475384121916791358e-02 3.545242421215299977e-02
0.000000000000000000e+00 -1.381551055796427280e+07 4.782275301204252926e-02 8.854444242036796364e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.499176570319977086e-01 8.284414725025823767e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.867738063579183372e-01 1.474957164110390906e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.960101230025532049e-01 1.363503739625959721e-01
0.000000000000000000e+00 -1.381551055796427280e+07 4.248527328706652728e-02 1.012348776040714604e-01
0.000000000000000000e+00 -1.381551055796427280e+07 9.425530770704224626e-01 6.444610093262237438e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.784499522816937356e-01 7.186586892394497550e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.543527994654521507e-03 1.049337709482429659e-01
0.000000000000000000e+00 -1.381551055796427280e+07 8.952554760255505562e-01 7.925515394022109028e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.983782954410084232e-01 1.177359542638395373e-01
0.000000000000000000e+00 -1.381551055796427280e+07 2.402058724916822374e-02 8.913109743502223292e-02
0.000000000000000000e+00 -1.381551055796427280e+07 9.484802196655539586e-01 1.440561423586161904e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.145652128868092090e-01 5.092596174947405796e-02
0.000000000000000000e+00 -1.381551055796427280e+07 1.312572762373092061e-01 5.301056864270925484e-02
0.000000000000000000e+00 -1.363528297379552096e+05 1.302903762286640177e-01 1.012794755158796800e-01
0.000000000000000000e+00 -1.363285603506405314e+05 3.301914251711068893e-02 2.199007053588986071e-01
0.000000000000000000e+00 -1.334213238054110843e+05 4.189518400920788643e-02 2.359930208021442377e-01
0.000000000000000000e+00 -1.322636685893428512e+05 1.086122900855719386e-01 1.596059265937405103e-01
0.000000000000000000e+00 -1.279812015652094706e+05 4.037871382095015171e-02 9.784878568804959986e-01
0.000000000000000000e+00 -1.276634117816739163e+05 5.284655675509963846e-02 9.814612709541058466e-01
0.000000000000000000e+00 -1.268365186252659332e+05 4.815767933918913002e-04 4.410040366780311194e-01
0.000000000000000000e+00 -1.267208277423428517e+05 8.445970051842688342e-02 9.838630665213453641e-01
0.000000000000000000e+00 -1.266714104198732239e+05 1.572754935822676670e-01 1.693957489080643031e-01
0.000000000000000000e+00 -1.265870227453875414e+05 2.679127609468201499e-02 9.181064613463315593e-01
0.000000000000000000e+00 -1.264323288297765976e+05 3.075868369337741992e-02 3.874097917325404206e-01
0.000000000000000000e+00 -1.262019579351922876e+05 1.084000711626220692e-01 9.898768220498315173e-01
0.000000000000000000e+00 -1.257579898326578696e+05 5.906902630491617234e-02 3.511416596128457135e-01
0.000000000000000000e+00 -1.257450886760548601e+05 7.692508164675682103e-02 9.473396446197602794e-01
0.000000000000000000e+00 -1.257223726519311749e+05 2.466048563748691747e-01 6.504183798691587359e-02
0.000000000000000000e+00 -1.256656934455407609e+05 2.352699295727941342e-01 8.047346062378912812e-02
0.000000000000000000e+00 -1.253195708403121535e+05 1.943371663008897077e-02 8.504158556020574578e-01
0.000000000000000000e+00 -1.251149382951418665e+05 1.548445153173583222e-02 4.795611767342861098e-01
0.000000000000000000e+00 -1.249790676116010145e+05 2.850781152842607469e-02 4.496179462523000048e-01
0.000000000000000000e+00 -1.246605182926092530e+05 4.795452951951961751e-02 4.145645646370215154e-01
0.000000000000000000e+00 -1.245184602176811459e+05 1.120677784539814148e-02 7.760593663325275893e-01
0.000000000000000000e+00 -1.245173576054511068e+05 4.733971183997520704e-02 8.597688303888405548e-01
0.000000000000000000e+00 -1.244522657453247666e+05 3.051911397543735083e-01 1.285093582967133941e-02
0.000000000000000000e+00 -1.244214070644494932e+05 3.476183908631447217e-02 8.308944768349872945e-01
0.000000000000000000e+00 -1.242422617157358764e+05 1.247418001492601736e-01 9.457363366569168095e-01
0.000000000000000000e+00 -1.242248287461034488e+05 1.155533567751583224e-01 9.361158053421063663e-01
0.000000000000000000e+00 -1.241794354549974087e+05 1.925756024217598616e-01 9.982887781235527669e-01
0.000000000000000000e+00 -1.240532260672117554e+05 8.908843777818042931e-02 8.999152203283785623e-01
0.000000000000000000e+00 -1.240035503541074286e+05 1.037749148252697928e-02 7.076834977790052994e-01
0.000000000000000000e+00 -1.239403792368187424e+05 7.223446001810107653e-02 8.718882804240962736e-01
0.000000000000000000e+00 -1.239389488477511768e+05 1.622979294400028749e-02 5.688059496572152041e-01
0.000000000000000000e+00 -1.237271369996201247e+05 5.860356458896098797e-02 4.308202282856002929e-01
0.000000000000000000e+00 -1.236927564881652797e+05 1.699285092219193771e-02 6.979861876822368583e-01
0.000000000000000000e+00 -1.236104394671213813e+05 5.272165892299773837e-02 8.197537996388880588e-01
0.000000000000000000e+00 -1.235839934176699608e+05 2.257317327226462389e-01 1.320161423212976581e-01
0.000000000000000000e+00 -1.233909988069186657e+05 9.815676536062878377e-02 3.522514484718021199e-01
0.000000000000000000e+00 -1.232015665246110439e+05 6.983724842634497776e-02 4.277910806177195324e-01
0.000000000000000000e+00 -1.228362982649136829e+05 1.354625285952170133e-01 9.064497687411341431e-01
0.000000000000000000e+00 -1.227313883199075353e+05 7.555688743696853393e-02 8.127718613908900824e-01
0.000000000000000000e+00 -1.225739678457016271e+05 2.391204414641120435e-01 9.852899519952333929e-01
0.000000000000000000e+00 -1.225567784602161410e+05 4.215213089697966709e-02 6.397147058237642181e-01
0.000000000000000000e+00 -1.223631081407680176e+05 2.684905515630454653e-01 9.941855501325869149e-02
0.000000000000000000e+00 -1.223345675580891111e+05 1.838052479159866248e-01 2.273035118751894901e-01
