logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595584351367503e+07 nan -2.503130218118530294e-03 3.990000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595515036649629e+07 nan -5.012541823544281946e-03 3.980000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595474490138888e+07 nan -7.528266420791573932e-03 3.970000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595445721931756e+07 nan -1.005033585350144018e-02 3.960000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595423407576606e+07 4.453484801922836800e-01 -1.257878220686011773e-02 3.950000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595405175421014e+07 3.209437640462777241e-01 -1.511363781004817011e-02 3.940000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595389760353044e+07 3.237146877359007302e-01 -1.765493523872075157e-02 3.930000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595376407213882e+07 3.642736532329275412e-01 -2.020270731751944854e-02 3.920000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595364628910273e+07 2.568373281336827074e-01 -2.275698712261621515e-02 3.910000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595354092858732e+07 2.314009935172039734e-01 -2.531780798428987650e-02 3.900000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595344561840594e+07 2.337734574601267323e-01 -2.788520348953569400e-02 3.890000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595335860702768e+07 2.066667575770152476e-01 -3.045920748470854617e-02 3.880000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595327856431901e+07 1.832094195276511850e-01 -3.303985407820018289e-02 3.870000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595320445634797e+07 1.676386734357953046e-01 -3.562717764315112556e-02 3.860000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595313546347618e+07 1.925753952217295895e-01 -3.822121282019776134e-02 3.850000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595307092495635e+07 1.706554042172889474e-01 -4.082199452025513098e-02 3.840000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595301030033454e+07 1.778356712816273333e-01 -4.342955792733600023e-02 3.830000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595295314192027e+07 1.803187806476768684e-01 -4.604393850140681144e-02 3.820000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595289907469973e+07 1.545983806608213496e-01 -4.866517198128102878e-02 3.810000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595284778140485e+07 1.616650052321304820e-01 -5.129329438755053650e-02 3.800000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595279899124056e+07 1.523538650482162693e-01 -5.392834202555564505e-02 3.790000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595275247122347e+07 1.420485493021198808e-01 -5.657035148839430205e-02 3.780000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595270801946148e+07 1.284912522837209914e-01 -5.921935965997122964e-02 3.770000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595266545984522e+07 1.332625358292676698e-01 -6.187540371808748080e-02 3.760000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595262463784963e+07 1.253448629503235157e-01 -6.453852113757117814e-02 3.750000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595258541713655e+07 1.092572174773636384e-01 -6.720874969345005945e-02 3.740000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595254767680913e+07 1.049217950440582831e-01 -6.988612746416644761e-02 3.730000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595251130916551e+07 1.043679637575021940e-01 -7.257069283483542910e-02 3.720000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595247621784732e+07 9.559545986390086125e-02 -7.526248450054684458e-02 3.710000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595244231629372e+07 9.489673878485208047e-02 -7.796154146971186194e-02 3.700000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595240952647105e+07 8.937623427688315414e-02 -8.066790306745480477e-02 3.690000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595237777777389e+07 1.002040821132516163e-01 -8.338160893905106896e-02 3.680000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595234700611606e+07 9.073501387478127844e-02 -8.610269905341172425e-02 3.670000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595231715315208e+07 8.705545415107764085e-02 -8.883121370661574423e-02 3.660000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595228816561401e+07 8.152565944793790931e-02 -9.156719352549048951e-02 3.650000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595225999473780e+07 8.552303215440264228e-02 -9.431067947124133211e-02 3.640000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595223259576410e+07 7.939467458164463365e-02 -9.706171284313121206e-02 3.630000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595220592751727e+07 7.938164111829677794e-02 -9.982033528221093133e-02 3.620000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595217995202914e+07 8.005336581724971368e-02 -1.025865887751010730e-01 3.610000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595215463422239e+07 8.232819724095340186e-02 -1.053605156578263091e-01 3.600000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595212994160876e+07 9.101890574679984136e-02 -1.081421586197031243e-01 3.590000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595210584405810e+07 9.399078112505475369e-02 -1.109315607072816900e-01 3.580000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595208231355995e+07 8.994758520142970282e-02 -1.137287653283429179e-01 3.570000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595205932404101e+07 8.471233656674913293e-02 -1.165338162559515361e-01 3.560000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595203685118631e+07 8.388815863943456519e-02 -1.193467576325661916e-01 3.550000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595201487227902e+07 8.679277998403531202e-02 -1.221676339742075318e-01 3.540000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595199336607382e+07 8.178248019680936509e-02 -1.249964901746852125e-01 3.530000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595197231266275e+07 8.510453932514824849e-02 -1.278333715098848855e-01 3.520000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595195169337466e+07 8.839106679955285872e-02 -1.306783236421161787e-01 3.510000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595193149066716e+07 9.211257181172090303e-02 -1.335313926245226268e-01 3.500000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
-1.812595191168804094e+07 9.268472214113969432e-02 -1.363926249055548157e-01 3.490000000000000000e+02 -1.812594985204912722e+07 -1.812595584351367503e+07 nan
