weight logl k1 k2 k3 k4 k5
0.000000000000000000e+00 -1.812594985204912722e+07 3.883255169320993794e-01 2.863188239135641133e-01 1.183743415282638711e-01 3.542593882608313649e-02 3.484131336668360168e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.898744280563749331e-01 2.879005472857042447e-01 3.635715182804434287e-01 5.921613449990381639e-02 5.163526221703697017e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.886854974841230437e-01 7.082607705431066547e-01 9.579520298607336892e-01 3.201744543610552940e-01 9.519124260901286050e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.684738961542455282e-01 9.975229835990742089e-01 1.367311803553619143e-01 9.435020747824950371e-01 8.804318758547299284e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.385209853291457405e-01 2.617990491259836183e-02 5.169092170704594480e-01 6.388954579332170036e-01 2.990368728168498746e-01
0.000000000000000000e+00 -1.812594985204912722e+07 3.024137115110101526e-01 2.765440688456025642e-01 8.461443014764937764e-01 8.396296506151266215e-01 9.102357289818089336e-01
0.000000000000000000e+00 -1.812594985204912722e+07 3.626925966307470439e-02 4.857800229288096183e-01 4.828683096780047590e-01 7.484661798850980041e-01 9.397175173161286255e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.314555638960970052e-01 4.526467377977702045e-01 1.472639602594829622e-01 9.932005077365393397e-01 3.693299674514146647e-01
0.000000000000000000e+00 -1.812594985204912722e+07 5.101816230205769021e-02 1.298691369059790102e-01 4.038464285889710181e-01 7.532136644688325333e-02 1.609191837435255401e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.880852507282323449e-01 2.980408965697275425e-01 5.800622008975990784e-01 8.762139102781493216e-01 9.762581844337266945e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.238394379582781868e-01 7.612808027911600606e-01 2.187587943651158051e-01 3.575776749196296622e-01 8.657228518952538865e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.115338681318068570e-01 7.858146203081447512e-01 4.217173464707846264e-04 3.862137789629205287e-02 4.375015741866619123e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.202175407825136322e-01 4.543095175758716797e-01 6.453470932615454903e-01 8.163557296038117528e-01 9.984534422338375848e-03
0.000000000000000000e+00 -1.812594985204912722e+07 8.931907337595218488e-01 2.642554008226807305e-01 1.881236745836715185e-01 6.558618528531094949e-01 2.862764764075208523e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.360518393099132028e-01 4.408978806624018754e-01 9.338970093933914862e-01 7.485351154621411318e-01 7.686156079728001522e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.822921394345484059e-01 9.478095646064976787e-01 6.645182363129176206e-01 1.566201080056710548e-01 1.892912797463131014e-01
0.000000000000000000e+00 -1.812594985204912722e+07 2.958143111288420446e-01 2.090118638029896392e-01 5.718358303363213491e-02 1.652036889907255723e-01 4.603914112208996601e-01
0.000000000000000000e+00 -1.812594985204912722e+07 5.823684439853116235e-01 9.723783449885756713e-01 9.006101631970231391e-02 2.206918912588355930e-01 8.707776424873530097e-01
0.000000000000000000e+00 -1.812594985204912722e+07 2.850121044385676150e-01 9.699493030998063148e-01 6.349672733853630735e-01 8.851843314580831734e-02 2.793997384301771802e-02
0.000000000000000000e+00 -1.812594985204912722e+07 8.672355310724287891e-01 2.655112143395228497e-01 9.918882005965609094e-01 7.957582803107295932e-01 6.118295720174372621e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.083553935921280909e-01 7.943341532212621070e-01 6.668451149245341325e-01 1.373463334908475719e-02 3.061194036379978334e-01
0.000000000000000000e+00 -1.812594985204912722e+07 2.629735734555876947e-01 4.594180146645793217e-01 9.928518325374878772e-01 7.309674124895245706e-01 8.541064901873391957e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.114774341782284184e-01 3.717708822220741061e-01 3.835591037384948887e-01 8.214662034753438258e-01 9.911324470349670568e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.643132331340714014e-01 5.155116593672762759e-01 4.692643640388380888e-01 8.222195624755691545e-01 1.463258437916820087e-01
0.000000000000000000e+00 -1.812594985204912722e+07 6.205978728808287936e-01 5.665614295555811974e-01 3.486530659106827912e-01 8.352265691949545268e-02 9.067095487266956244e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.059293151457443294e-01 9.155072515759199447e-03 6.761684807639947170e-01 1.494514722190976030e-01 2.222455117910842048e-01
0.000000000000000000e+00 -1.812594985204912722e+07 2.046783855810467845e-01 3.843837002818437654e-01 9.275922468191866166e-02 4.130257500424231454e-01 5.828842341945922323e-01
0.000000000000000000e+00 -1.812594985204912722e+07 4.883143512197207770e-03 8.618693366506070541e-01 6.934529813277346966e-01 8.494148995148553816e-03 6.341968800183708233e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.564137183101524498e-01 4.098183500356826769e-01 8.987360714905554548e-01 2.725804770413532419e-01 6.632465836277497973e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.883982800944251190e-01 1.027208059940742935e-01 6.353939971150236454e-01 3.503557787593237771e-01 2.596096892226269492e-01
0.000000000000000000e+00 -1.812594985204912722e+07 2.863490150908685195e-01 6.682198217253371153e-01 1.994188818155261389e-01 9.745949434295474445e-01 5.573164252261086915e-02
0.000000000000000000e+00 -1.812594985204912722e+07 9.742899304108040281e-01 5.071523309249684752e-01 7.650004054133857645e-01 7.237431480017366692e-01 4.970656298555198305e-03
0.000000000000000000e+00 -1.812594985204912722e+07 3.633796058584826127e-01 8.986244233197101527e-01 9.641692783854043380e-01 9.378673927491847362e-01 7.432766812133135836e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.962486194101890513e-01 4.542420059120855225e-01 9.106031362351733049e-01 1.282266536826914827e-01 6.976013460585229753e-01
0.000000000000000000e+00 -1.812594985204912722e+07 4.655562361115213044e-01 9.299208415532140837e-01 1.927937757934647944e-01 1.468194565192583179e-01 8.940300291453507908e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.521575303394210321e-01 2.044413349079869935e-01 4.900913512934147453e-01 1.355820990081446631e-02 7.808515836881954053e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.619190878475144091e-01 1.545640629430634627e-01 2.678182116669369783e-01 6.100643732415190756e-01 4.084465012200361178e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.489529658696690850e-01 4.005579381077274403e-01 9.224495529686154160e-01 1.163681972760233219e-02 2.929507880039926571e-01
0.000000000000000000e+00 -1.812594985204912722e+07 5.939154307998302240e-01 2.001537776898679732e-01 3.311215994014375941e-01 1.213613063412278814e-01 7.986715743331563866e-01
0.000000000000000000e+00 -1.812594985204912722e+07 4.764025245506723349e-01 5.920577618319797786e-01 9.005461363203841607e-01 3.196432393957013840e-01 8.584131109538584159e-02
0.000000000000000000e+00 -1.812594985204912722e+07 7.701662930832202658e-01 3.767678344117180167e-01 7.442164400485181686e-01 3.734846505471691724e-01 7.793417151736583559e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.356653342614655422e-02 8.466445690310224759e-01 7.883676955596853331e-01 8.946084534940019761e-01 2.129137648365698743e-01
0.000000000000000000e+00 -1.812594985204912722e+07 2.841043230471318459e-02 6.351670160838899237e-01 7.179053689022171225e-01 1.949968863335282965e-01 1.414632794155162854e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.684129881751521340e-01 8.485324124233678544e-01 3.671004749141404400e-01 5.789761992902286991e-02 4.804152073643371823e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.692055771676098663e-01 2.906996658498952613e-01 3.222977374782507454e-01 2.212136680278908862e-01 5.313212289679465350e-01
