P,all $N$,rmv. $N=16$,rmv. $N=24$,rmv. $N=32$,rmv. $N=64$
$0.2$,1.730(15),1.733(19),1.730(15),1.729(17),1.729(28)
$0.25$,1.702(16),1.722(22),1.702(16),1.710(19),1.663(27)
