P,all $N$,rmv. $N=16$,rmv. $N=24$,rmv. $N=32$,rmv. $N=64$
$0.2$,1.7248(59),1.7343(74),1.7271(59),1.7221(64),1.718(11)
$0.25$,1.7117(64),1.7215(82),1.7122(64),1.7133(72),1.692(12)
