P,all $N$,rmv. $N=16$,rmv. $N=24$,rmv. $N=32$,rmv. $N=64$
$0.2$,1.721(17),1.731(21),1.719(17),1.731(19),1.691(31)
$0.25$,1.702(16),1.708(20),1.702(16),1.703(17),1.703(31)
