P,all $N$,rmv. $N=16$,rmv. $N=24$,rmv. $N=32$,rmv. $N=64$
$0.2$,1.7248(59),1.7343(74),1.7271(59),1.7221(64),1.718(11)
$0.25$,1.7030(66),1.7122(86),1.7039(66),1.7029(74),1.692(12)
