P,all $N$,rmv. $N=16$,rmv. $N=24$,rmv. $N=32$,rmv. $N=64$
$0.2$,1.7281(55),1.7335(66),1.7288(55),1.7229(58),1.729(11)
$0.25$,1.7170(78),1.732(10),1.7193(79),1.7195(86),1.682(15)
