P,all $N$,rmv. $N=16$,rmv. $N=24$,rmv. $N=32$,rmv. $N=64$
$0.2$,1.7340(67),1.7346(83),1.7341(68),1.7338(74),1.737(13)
$0.25$,1.7091(74),1.7241(95),1.7093(74),1.7152(83),1.692(14)
