P,all $N$,rmv. $N=16$,rmv. $N=24$,rmv. $N=32$,rmv. $N=64$
$0.2$,1.742(14),1.729(17),1.741(14),1.737(16),1.779(29)
$0.25$,1.701(18),1.724(23),1.702(18),1.707(19),1.596(35)
