,sweep,permcount,dH,pdeconfined,pconfined,action,wilson,acceptance,nmat,ndec,ntime,ntau,udtau,adtau,temperature,pdec,pdec_var,pcon,pcoeff,utau,atau,mdtu,freq
0,10.0,2.0,0.370053166931029,0.437118068326687,0.005104597545505386,35.9102987082059,0.01582539956641324,1.0,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,10.0,
1,20.0,4.0,0.140064243110828,0.439463573822796,0.00468771884517068,35.9711279338951,0.01561380890401515,1.0,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,20.0,10.0
2,30.0,8.0,0.14966732589528,0.443368330368488,0.005014975235448501,35.9554896392627,0.01501834700969474,1.0,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,30.0,10.0
3,40.0,10.0,0.103711361414753,0.436922967273537,0.002316200427971594,35.9502515512769,0.02510548716588802,0.925,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,40.0,10.0
4,50.0,13.0,-0.07483957649674267,0.436299965148834,0.004619412269329481,35.8347804327906,0.01175219745467458,0.94,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,50.0,10.0
5,60.0,18.0,0.04208122380077839,0.437510007318787,0.003030867685940323,36.0898116036721,0.01100856309252764,0.916666666666667,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,60.0,10.0
6,70.0,21.0,0.01031073404010385,0.442109754377392,0.004934824353877505,36.0661105746782,0.0193654046016109,0.914285714285714,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,70.0,10.0
7,80.0,24.0,-0.003693129168823361,0.443059301458071,0.002959207149886576,36.0736791918256,0.0219840540550466,0.925,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,80.0,10.0
8,90.0,29.0,-0.342150059470441,0.44236329324889,0.005298386256613279,36.0955982965656,0.020775222870705,0.933333333333333,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,90.0,10.0
9,100.0,33.0,-0.09396443964214996,0.441444351029189,0.004132746476370448,35.9184134697815,0.01456301562088585,0.93,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,100.0,10.0
10,110.0,36.0,0.07820684282341972,0.440720516732725,0.005145110880795023,35.9527722823731,0.01566942587470788,0.909090909090909,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,110.0,10.0
11,120.0,38.0,0.238914598186966,0.439176736637352,0.003742591379533153,36.0842503831074,0.01392485721712881,0.908333333333333,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,120.0,10.0
12,130.0,40.0,0.1044728338602,0.440733540897017,0.00249438265829894,36.0060536605616,0.01538144547632128,0.915384615384615,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,130.0,10.0
13,140.0,41.0,-0.15314644749742,0.436507771891794,0.001232749383433509,36.0057820001469,0.02005977004338244,0.9,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,140.0,10.0
14,150.0,45.0,0.125030303141102,0.446281819860408,0.003448326723384313,36.0555430634978,0.01754517616035016,0.886666666666667,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,150.0,10.0
15,160.0,46.0,0.184474747453351,0.440623588135665,0.003753450246066577,35.9435717334285,0.01292967652351272,0.88125,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,160.0,10.0
16,170.0,47.0,-0.274714015016798,0.443370839515746,0.004494787047893112,35.8291939664702,0.01357911415895893,0.888235294117647,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,170.0,10.0
17,180.0,49.0,0.125629289541394,0.442382405232121,0.002364332472101507,35.9463008449557,0.01446755610401015,0.894444444444444,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,180.0,10.0
18,190.0,54.0,0.00930160901043564,0.442124680054857,0.00500215983362864,35.9294285961401,0.01380996962794273,0.9,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,190.0,10.0
19,200.0,55.0,-0.17725644010352,0.43972620936383,0.003841948561447919,35.8723390246827,0.01746781599885928,0.895,64,29,24,800,0.00125,0.0008,0.29,0.4414,0.005,0.005,20000000.0,1.0,0.64,200.0,10.0
