weight logl k1 k2
0.000000000000000000e+00 -1.812594985204912722e+07 5.530356397682845149e-03 1.869055693582102329e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.414089191473333784e-01 5.224086743368550056e-02
0.000000000000000000e+00 -1.812594985204912722e+07 2.797262901553354553e-02 1.051516177818776487e-01
0.000000000000000000e+00 -1.812594985204912722e+07 2.519524850698717788e-02 1.085524232896580843e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.818045890722386204e-02 1.474173204797224468e-02
0.000000000000000000e+00 -1.812594985204912722e+07 9.433874283880799849e-01 1.230313883255673701e-03
0.000000000000000000e+00 -1.812594985204912722e+07 8.842699961150146670e-02 1.155139622906881103e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.826977453952371988e-02 1.764107992964781824e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.965448935779209982e-01 4.414589783478406471e-02
0.000000000000000000e+00 -1.812594985204912722e+07 1.658332352795464093e-01 1.622011615306662158e-02
0.000000000000000000e+00 -1.812594985204912722e+07 3.703604931523840627e-02 1.415797815139885341e-01
0.000000000000000000e+00 -1.812594985204912722e+07 6.506042280554880097e-02 1.176585240672719523e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.344510451275093166e-01 3.781531409058924709e-02
0.000000000000000000e+00 -1.812594985204912722e+07 2.743235492802975628e-03 9.004881611610116021e-02
0.000000000000000000e+00 -1.812594985204912722e+07 8.845790729250873063e-01 8.345565962283574279e-02
0.000000000000000000e+00 -1.865870372174833610e+05 1.217390494462481376e-01 8.907517735198200448e-02
0.000000000000000000e+00 -1.834355387383851630e+05 5.115122224459844880e-02 1.766233355438511232e-01
0.000000000000000000e+00 -1.797214113048425643e+05 1.503957736086399821e-01 7.616935867223695311e-02
0.000000000000000000e+00 -1.777454038650793955e+05 2.257405469567996814e-02 2.425497166653570735e-01
0.000000000000000000e+00 -1.757735421969707531e+05 8.759130126727843191e-02 1.718447140220649150e-01
0.000000000000000000e+00 -1.744044086599282164e+05 1.079872837953199660e-01 1.556060069159544978e-01
0.000000000000000000e+00 -1.721331146779698902e+05 1.140149906522347489e-02 3.132096684378187224e-01
0.000000000000000000e+00 -1.719856367021357873e+05 3.896876714997565827e-02 2.725482064514460623e-01
0.000000000000000000e+00 -1.717631811634094629e+05 1.480530010575159539e-01 1.251641409471058175e-01
0.000000000000000000e+00 -1.715443343715247174e+05 9.783486171360444850e-02 1.932053833246438757e-01
0.000000000000000000e+00 -1.706117871109276020e+05 1.444794298990951242e-01 1.398283666994257768e-01
0.000000000000000000e+00 -1.700416504570246034e+05 3.839529714314615649e-02 2.983313994348748555e-01
0.000000000000000000e+00 -1.691996668736583088e+05 2.237055368948434042e-01 5.271316596196395921e-02
0.000000000000000000e+00 -1.691086294632459176e+05 1.036036054019607855e-01 2.115987813656405869e-01
0.000000000000000000e+00 -1.690304459390843112e+05 2.558539834424597981e-01 1.573238290133138761e-02
0.000000000000000000e+00 -1.689942132234326855e+05 2.095502502119827026e-01 7.189730841714292442e-02
0.000000000000000000e+00 -1.683303621382344281e+05 2.080306841528414274e-01 8.001126622719423320e-02
0.000000000000000000e+00 -1.681452495499251527e+05 3.779872527510752533e-02 9.845028457196152161e-01
0.000000000000000000e+00 -1.673187043653422734e+05 1.952230687832415823e-01 1.067661849520425976e-01
0.000000000000000000e+00 -1.672091303049316921e+05 5.907825194040294825e-02 9.847431040513763278e-01
0.000000000000000000e+00 -1.669168012955489103e+05 1.195031982433680806e-02 9.259307094341522326e-01
0.000000000000000000e+00 -1.667350623513702885e+05 2.619970671688254260e-02 3.785635539155943752e-01
0.000000000000000000e+00 -1.661007429158463492e+05 2.146166435763907643e-02 9.154672909615975129e-01
0.000000000000000000e+00 -1.656086642331223702e+05 1.164231640113673194e-01 2.415276260423252497e-01
