weight logl k1 k2 k3
0.000000000000000000e+00 -1.812594985204912722e+07 2.224998164588501970e-01 2.156619411277066467e-01 1.519191099718919524e-02
0.000000000000000000e+00 -1.812594985204912722e+07 9.854866365054369970e-01 1.093016006634476289e-01 4.570845668821078567e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.775474656124763184e-01 1.199111323661110617e-01 5.982973256986128252e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.199632050157106722e-02 4.637466232030497126e-01 3.869307390149612225e-02
0.000000000000000000e+00 -1.812594985204912722e+07 9.937459916452583419e-01 1.936267019543153056e-01 9.920410698561445972e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.210479151620858396e-01 4.192668107097224928e-01 8.947572006691937307e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.078835165326875067e-01 1.589368328945006681e-02 5.517214900619610285e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.174988261644609233e-01 1.350351894947340314e-01 8.032897096268615256e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.273226115502625211e-01 5.717986604149205565e-02 6.267806275410182648e-01
0.000000000000000000e+00 -1.812594985204912722e+07 4.930410682586394699e-02 4.975700904040247785e-02 1.120482976604213476e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.988430882439886416e-01 1.528851350149135202e-01 9.354349702751755258e-01
0.000000000000000000e+00 -1.812594985204912722e+07 4.609874451414953667e-01 9.211479818795220709e-02 9.420482785052457508e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.330231412562732363e-02 8.959031576956217879e-01 8.769866496779595844e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.851575636680079295e-01 7.146880675423061824e-02 5.854874709604749317e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.689357824735896463e-01 8.086658298333974093e-01 9.794137520822647769e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.139205915236350286e-01 3.614924150775483680e-01 8.127990813030592232e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.917484745735265061e-02 2.829060665340242808e-01 3.148546981341245887e-01
0.000000000000000000e+00 -1.812594985204912722e+07 6.508830430984595683e-01 9.603962720742043047e-02 9.340602430997294592e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.518114238569718388e-01 4.990614928263800154e-01 9.571385872659073923e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.163006559808242857e-01 1.362505978424892739e-01 1.574823064213003443e-01
0.000000000000000000e+00 -1.812594985204912722e+07 6.429112285090931023e-01 6.344883673371548571e-02 9.240976115687501435e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.520777232052960004e-01 2.505763564255502063e-01 1.871166756513473750e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.784603083748570018e-01 9.432190253615754250e-01 4.696240568611342869e-02
0.000000000000000000e+00 -1.812594985204912722e+07 3.590776800073272046e-01 2.767576593404896812e-01 2.473766177075031880e-02
0.000000000000000000e+00 -1.812594985204912722e+07 4.502962103222898360e-01 4.613515606748530562e-02 1.364006946080918992e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.852476626227520073e-01 3.026538418043878131e-02 8.102939462786087343e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.230484999271508340e-02 1.939543336358217074e-01 4.120347824568956208e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.413032679790372281e-01 2.599144354399066659e-01 9.986258232866421780e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.684454524800691910e-01 1.232863140186054585e-01 6.228001421630123824e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.759245517100545442e-02 3.174834511230887335e-01 1.809099214195756256e-01
0.000000000000000000e+00 -1.812594985204912722e+07 6.196660422479705055e-02 3.159378401006094350e-01 2.442058408465319630e-02
0.000000000000000000e+00 -1.812594985204912722e+07 7.063689430908813849e-01 1.013735613636660426e-01 7.857997573008221881e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.832453763000034375e-01 4.441007382775919998e-01 8.802067863668416869e-01
0.000000000000000000e+00 -1.812594985204912722e+07 3.188813053592098878e-02 2.458674152828030923e-01 3.256861045487522421e-01
0.000000000000000000e+00 -1.812594985204912722e+07 5.778950310260017043e-01 3.498793035070424384e-02 9.906469963403349288e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.053219400104032921e-01 7.366728246040863404e-01 9.910878533844709182e-01
0.000000000000000000e+00 -1.812594985204912722e+07 5.071250159315273676e-01 8.854272904475268824e-03 8.725432013847800317e-01
0.000000000000000000e+00 -1.812594985204912722e+07 9.904862570984406256e-01 4.942755330157402316e-01 9.956081102508721470e-01
0.000000000000000000e+00 -1.812594985204912722e+07 8.909727846415340657e-01 6.503268459568467552e-02 9.344846843204192011e-01
0.000000000000000000e+00 -1.812594985204912722e+07 5.179298434321781830e-01 8.677333398467657055e-02 9.658007645203725566e-02
0.000000000000000000e+00 -1.812594985204912722e+07 6.772410886479951486e-03 2.795505805960200041e-01 7.331576720088239796e-02
0.000000000000000000e+00 -1.812594985204912722e+07 9.036508631277724302e-01 1.745867706715933387e-01 9.595206135081710830e-01
0.000000000000000000e+00 -1.812594985204912722e+07 3.693249338311719310e-01 3.213485765402124272e-02 6.373535109703742929e-02
0.000000000000000000e+00 -1.812594985204912722e+07 4.664833884612384907e-02 2.520602003523179091e-01 3.579209408464480990e-01
0.000000000000000000e+00 -1.812594985204912722e+07 1.954645806695664012e-01 1.054573163008052372e-01 3.136208330786961485e-01
0.000000000000000000e+00 -1.812594985204912722e+07 7.346719507691852336e-01 2.058203538940146515e-01 8.728885985852332663e-01
0.000000000000000000e+00 -1.812594985204912722e+07 3.456662418713318807e-01 4.143512877395783001e-02 2.485154036913109765e-01
